Title	Artist	Date	Subject	Description	Notes	Edition	Type	Original Format	Original Size	Digital Format	Repository	Repository Collection Guide	Restrictions	Cite As	Contact Info	Frame Size	Accession Number	Language	Object File Name	Item URL	Collection URL	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Cataloger	Cataloged Date	Digitized By	Publisher	Digitized Date	Credit Line	Contributors	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
the coach dogs, mardi gras day	Durieux, Caroline, 1896-1989	1946	Dogs; Standing	Carnival image of costumers at Mardi Gras.			Image	Black and white lithograph	13 x 8-2/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments	20-5/8X16-11/16	68.9.36		cd000115	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-19	PA		2004-08-03				2004-08-03	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/61	61	43715139102003_300.jp2		/CWD/image/43715139102003_300.jp2
In circles	Durieux, Caroline, 1896-1989	1956	Abstract Paintings	The work presents an abstract composition of lines, spots and cloud-like forms which spiral outward from the center of the picture.	Color electron print by the artist while at LSU. The isotope used for the printing was Sulphur 35. The print is in two colors -- blue and grayish brown., thus using two matrices.. The drawing for the print was done using brush and radioactive ink solution.		Image	Color electron	9-5/8 x 7-7/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.75		cd000146	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	PA		2004-08-10		Assisted by Dr. Olan Nance.		2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/62	62	25017139102003_341.jp2		/CWD/image/25017139102003_341.jp2
Peace	Durieux, Caroline, 1896-1989	1974	Skeletons; Legs	Human skeleton legs standing.	Long rectangular print with skeletal feet dominating the picture plane. The feet are situated in the midst of a small patch of yellow-green grass which is surrounded by bomb craters.	7 of 10	Image	Black and whit electron	9-15/16 x 18-3/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		76.12.4		cd000070	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-13	PA		2004-07-20				2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/63	63	32819139102003_388.jp2		/CWD/image/32819139102003_388.jp2
Flower form	Durieux, Caroline, 1896-1989	1963	Flowers	The cliche-verre is composed of a floriated central mass worked in shades of magenta, ranging from bright to a very deep magenta.	This work has been considered by the artist to be a most "...fun work to do...yet, a difficult work..  The print was the result of a simple printing. The fringed are of the composition was achieved by a vigorous scraping away of the emulsion. The scraping done to the matrix resulted in the large negative area surrounding the mass. The darkening of the colors was achieved by a double exposure to the light source. The first exposure consisted of allowing the entire matrix to be subjected to the light rays. The second exposure required the blocking out of the central massing and particular areas in order to allow for a color darkening of the unprotected areas.	7 of 12	Image	Color cliché- verre	12-1/2 x 16-3/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		64.3.13		cd000018	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-12	JC		2004-07-13		Printed with Christman,JF		2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/64	64	78112139102003_240.jp2		/CWD/image/78112139102003_240.jp2
Young Sarai	Durieux, Caroline, 1896-1989	1962	Men; Young adults	A young man with scarf and blue face.			Image	Color lithograph	20-3/8 x 15-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.93		cd000057	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-13	PA		2004-07-20				2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/65	65	14018139102003_361.jp2		/CWD/image/14018139102003_361.jp2
Mad woman	Durieux, Caroline, 1896-1989	1953	Women	Head of older woman turned three quarters to picture plane with leering somewhat mad smile. Woman possesses frizzy hair and eyes have been made crazy-looking by having irregularity-drawn circles about them. The subject reaches to grasp the front of her face with palsied hand. Figure is in an unhealthy yellowish tone against a mottled gray background.		Ed. 3	Image	Black electron	8-1/4 x  6-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		77.22.4		cd000032	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-12	JC		2004-07-13		Printed with Harry and Naomi Wheeler		2004-08-13	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/66	66	45320139102003_413.jp2		/CWD/image/45320139102003_413.jp2
NICE MEN	Durieux, Caroline, 1896-1989	1936	NA	This lithograph was printed in 1936. It was the first work in which the artist used a zinc plate rather than the usual lithographic stone. The print was printed by George Miller in New York. Ms. Durieux had never drawn on a zinc plate before and therefore was hesitant in her use of strong blacks. She related that, at the time of the print's planning, she figured scraping wouldn't work as well on the zinc plate as on the lithographic stone; therefore she minimized her use of scraping. The idea for the print becomes quite obvious when one compares how the "nice men" stand out vividly from their white background with the manner in which "American types" stand out when seen in a foreign country. This was the gist of the artist's intention. An added touch of humor is suggested by the handling of the conspicuous pockets and bow ties of the men.			Image	BLACK LITHOGRAPH	H: 13-1/4"" W: 14-1/2""	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments	18-3/8""X23-1/8""	68.9.7	NA	cd000121	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2004-06-30	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/67	67	98416139102003_335.jp2		/CWD/image/98416139102003_335.jp2
Shoe fetish	Durieux, Caroline, 1896-1989	1953	Shoes; Boots; Legs	Image of several pairs of legs with decorative shoes. The largest set is in the front, granny style boots with buttons and pointed toe. The next set of legs is smaller and behind the first and wears pointed toe boots with checkered cuffs. A final pair of legs is drawn in back and is wearing slippers or clogs.			Image	Black electron	9-25/32 x 6-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		84.20.14		cd000006	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	color	1:1				XZ	2003-11-11	PA		2004-07-13	Dr. & Mrs. Harry E. Wheeler, Lexington, KY			2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/68	68	4621139102003_426.jp2		/CWD/image/4621139102003_426.jp2
Fantomes	Durieux, Caroline, 1896-1989	1950	Abstract paintings; Hands; People	Unknown objects looks like human beings.		Ed. 13	Image	Color lithograph	21-1/2 x 13-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.56		cd000074	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-13	PA		2004-07-27				2004-08-13	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/69	69	40616139102003_322.jp2		/CWD/image/40616139102003_322.jp2
Shelter	Durieux, Caroline, 1896-1989	1962	Abstract paintings	The subject depicted is a creature who seems content and protected behind a shelter of cross bars.	The three colors used are dark purple, greenish- yellow and a white overprinting. The initial drawing made by the artist was done using a lithographic pencil. Scraping was used to create white lines throughout the composition. The creature, which is doglike in appearance, is claimed by the artist to be a figment of her own imagination. It is neither dog nor fox but is definitely a wild creature which has taken refuge from man and nature behind the shelter provided.	Ed. 20	Image	Color lithograph	12 x 17-7/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.103		cd000053	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-13	PA		2004-07-20		Printed by Joe Funk in Los Angeles, CA.		2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/70	70	14014139102003_270.jp2		/CWD/image/14014139102003_270.jp2
Montparnasse	Durieux, Caroline, 1896-1989	1951	People; Restaurants;	A crowded restaurant.			Image	COLOR LITHOGRAPH	21-3/8 x 14-3/8 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.64	NA	cd000185	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	2003-12-03	NA	NA	NA		NA		2003-12-05	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/71	71	79616139102003_331.jp2		/CWD/image/79616139102003_331.jp2
Plantation garden	Durieux, Caroline, 1896-1989	1946	Plantations; Women; Gardens;	A woman in a plantation garden.			Image	BLACK AND WHITE LITHOGRAPH	10-3/4 x 7-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments	18-5/16 x 14-5/16	68.9.44	NA	cd000183	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	2003-12-03	NA	NA	NA		NA		2003-12-05	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/72	72	82815139102003_309.jp2		/CWD/image/82815139102003_309.jp2
Dark hands	Durieux, Caroline, 1896-1989	1949	Hands; Smoke	This subject matter, as seen in the large dark hands which loom in the  central picture plane, reflects the artist's reaction to the growing public awareness of the racial problem in society which began to make itself heard during the fifties.	This lithograph was printed by the artist at LSU. The print was done using stone on which the drawing was made using a lithographic pencil. Scraping was employed in moderation. The lithograph displays some innovations used by the artist. Ms. Durieux was, at the time of the printing, interested in seeing how far she could carry the black and white lithograph technique. Here, she creates  the hazy areas and fuzz-like edges by rubbing these areas with a piece of felt which results in a smoky haze. The composition is printed on Basinwerk parchment, which is a quality  English paper.	Ed.20	Image	Black lithograph	13-5/8 x 6-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.51		cd000134	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-25	JC		08-03-2004				2004-08-03	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/73	73	18716139102003_317.jp2		/CWD/image/18716139102003_317.jp2
Through a glass, darkly - I Corinthians XIII,12	Durieux, Caroline, 1896-1989	ca. 1955-56	Abstract paintings	Abstract image featuring dark zig-zag lines of varied lightness. Energetic, scribbled lines follow the wavy lines and add texture, same background as is used in Acc. No. 87.32.2. Colored, egg-shaped forms are superimposed over lines in varied shades of red, blue and green.			Image	Color electron	18-1/8 x 14-1/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		87.31.4		cd000095	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-18	PA		2004-07-27				2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/74	74	34321139102003_433.jp2		/CWD/image/34321139102003_433.jp2
EXPLOSION	Durieux, Caroline, 1896-1989	1979	NA	NA			Image	COLORED ELECTRON PRINT	x	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		95.3.7	NA	cd000220	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	NA	NA	NA	NA		NA		2004-03-23	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/75	75	9322139102003_449.jp2		/CWD/image/9322139102003_449.jp2
Primitive feet	Durieux, Caroline, 1896-1989	1952	Feet	Image of shins and feet against a spongy textured dark background. Legs have horizontal stripes ending above the ankle. The striped patterns end with a spiral decoration with fringe or tassels attached which hang down towards the feet. The feet are long and angular.			Image	Black electron	10-1/16 x 6-15/16 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		84.20.12		cd000041	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1				KM Krolak	2001-02-06	PA		2004-07-13	Dr. & Mrs. Harry E. Wheeler, Lexington, KY			2004-08-13	2008-03-20	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/76	76	95320139102003_424.jp2		/CWD/image/95320139102003_424.jp2
On the levee or Harding field	Durieux, Caroline, 1896-1989	1942	Women; Houses	A handsome, idealized black woman with her face and body turned to the right of the picture plane three-quarters. She appears in the foreground, standing on the levee. It is a shoulder length study of a youngish woman looking imploringly towards the heavens.		Printer's proof, kept by the painter. A numbered edition of ten was printed.	Image	Black lithograph	15-7/8 x 11-3/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		79.19.2		cd000108	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-19	PA		2004-07-27		Printed in New York City by George Miller.		2004-07-27	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/77	77	76520139102003_420.jp2		/CWD/image/76520139102003_420.jp2
Lean fish	Durieux, Caroline, 1896-1989	1958	Fish	The subject matter is that of marine-life forms, a favorite subject and interest of the artist.	The isotope used in this print was Sulfur 35. The print was made up of three colors; dark green, brown, and chartreuse. The drawing was made using a brush and scraping. Ms. Durieux stated that a wide needle tool was used to create the curling areas seen in the background.	2 of 5	Image	Color electron	12-1/2 x 15 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.91		cd000097	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-11-18	PA		2004-07-27		assisted by Dr. John Christman, LSU, Baton Rouge, Louisiana.		2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/78	78	4618139102003_359.jp2		/CWD/image/4618139102003_359.jp2
Dames de pigalle	Durieux, Caroline, 1896-1989	1950	Women;	Two women stand together.			Image	COLOR LITHOGRAPH	22-1/8 x 13-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		68.9.62	NA	cd000184	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1	NA	NA	NA	NA	2003-12-03	NA	NA	NA		NA		2003-12-05	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/79	79	71816139102003_329.jp2		/CWD/image/71816139102003_329.jp2
Merger	Durieux, Caroline, 1896-1989	1977	Abstract paintings	Background is divided into black upper half and lower white half. Five sets of triangular forms are joined together by long, looped strings. As the strings move from the white to black spaves, their colors change in opposition. White strings on black, etc. Orange and green dash-like lines are added to the strings and triangular forms in a random pattern.			Image	Color cliché vérre	17 x 12-1/2 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art.  Copyright is retained in accordance with U S copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments		95.3.2		cd000169	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	Color	1:1					2003-12-02	JC		8-10-04	Charles W. Durieux			2004-08-10	2008-03-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/82	82	84321139102003_444.jp2		/CWD/image/84321139102003_444.jp2
Golfer	Durieux, Caroline, 1896-1989	1932	Golfers; Women; Golf	The drawing was done with a lithographic pencil, ink, and crayon. Scraping within the composition is used to create texturing. The flat black of the golfer's shoes was created by painting directly on the stone with ink applied with a brush. The satire is based on the ridiculousness of the golfer's mode of dress. The character is suggestive of an American appearing rather absurd in his blooming, bellowing plus fours. To emphasize this situation, the artist has placed the golfer against a background in which nature is not ridiculous. Ms. Durieux related that she obviously was not a golfer herself: "I don't love golf, although I've tried to learn...but, with the beautiful landscape of the Mexican countryside, I was more interested in the scenery than the game."	This lithograph was printed at the studio Senefelders in Mexico City in 1932.	8 of 10	Image	Black lithograph	13 x 8-3/4 in.	jpeg 2000	Louisiana State University Museum of Art (http://appl003.lsu.edu/museum/moa.nsf/index/)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/d3827.html	Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.	Caroline Wogan Durieux Collection at the LSU Museum of Art, LOUISiana Digital Library, Baton Rouge, La.	E-mail fhuber@lsu.edu with questions or comments	21-1/4 X 16-1/2	68.9.5		cd000003	See 'reference url' on the navigation bars.	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_CWD.php?CISOROOT=/CWD;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/CWD	300 dpi	36 Bit-depth	color	1:1				XZ	2003-11-11	PA		2004-07-13				2004-08-13	2008-03-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CWD/id/83	83	10916139102003_315.jp2		/CWD/image/10916139102003_315.jp2
