Title	Creator	Date	Physical Description	Description/Notes	Language	Type	Repository	Call Number / Shelving Location	Restrictions	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Lumières Fall 2001	Friends of the LSU Libraries.	2001-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/32	32	33.pdf	/p16313coll85/image/33.pdf
Lumières Spring 2000	Friends of the LSU Libraries.	2000-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/33	33	34.pdf	/p16313coll85/image/34.pdf
Lumières Fall 2000	Friends of the LSU Libraries.	2000-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/34	34	35.pdf	/p16313coll85/image/35.pdf
Lumières Spring 1999	Friends of the LSU Libraries.	1999-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/35	35	36.pdf	/p16313coll85/image/36.pdf
Lumières Fall 1999	Friends of the LSU Libraries.	1999-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/36	36	37.pdf	/p16313coll85/image/37.pdf
Lumières Spring 1998	Friends of the LSU Libraries.	1998-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/37	37	38.pdf	/p16313coll85/image/38.pdf
Lumières Fall 1998	Friends of the LSU Libraries.	1998-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/38	38	39.pdf	/p16313coll85/image/39.pdf
Lumières Spring 1997	Friends of the LSU Libraries.	1997-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/39	39	40.pdf	/p16313coll85/image/40.pdf
Lumières Fall 1997	Friends of the LSU Libraries.	1997-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/40	40	41.pdf	/p16313coll85/image/41.pdf
Lumières Spring 1996	Friends of the LSU Libraries.	1996-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/41	41	42.pdf	/p16313coll85/image/42.pdf
Lumières Fall 1996	Friends of the LSU Libraries.	1996-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/42	42	43.pdf	/p16313coll85/image/43.pdf
Lumières Spring 1994	Friends of the LSU Libraries.	1994-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/43	43	44.pdf	/p16313coll85/image/44.pdf
Lumières Fall 1994	Friends of the LSU Libraries.	1994-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/44	44	45.pdf	/p16313coll85/image/45.pdf
Lumières  Supplement Spring 1993	Friends of the LSU Libraries.	1993-01	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/45	45	46.pdf	/p16313coll85/image/46.pdf
Lumières Spring 1993	Friends of the LSU Libraries.	1993-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/46	46	47.pdf	/p16313coll85/image/47.pdf
Lumières Fall 1993	Friends of the LSU Libraries.	1993-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/47	47	48.pdf	/p16313coll85/image/48.pdf
Lumières Spring 1992	Friends of the LSU Libraries.	1992-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/48	48	49.pdf	/p16313coll85/image/49.pdf
Lumières Special Issue Fall 1992	Friends of the LSU Libraries.	1992-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/49	49	50.pdf	/p16313coll85/image/50.pdf
Lumières Special Issue 1992	Friends of the LSU Libraries.	1992	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/50	50	51.pdf	/p16313coll85/image/51.pdf
Lumières Fall 1992	Friends of the LSU Libraries.	1992-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/51	51	52.pdf	/p16313coll85/image/52.pdf
Lumières Spring 1991	Friends of the LSU Libraries.	1991-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/52	52	53.pdf	/p16313coll85/image/53.pdf
Lumières Fall 1991	Friends of the LSU Libraries.	1991-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/53	53	54.pdf	/p16313coll85/image/54.pdf
Lumières Spring 1990	Friends of the LSU Libraries.	1990-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/54	54	55.pdf	/p16313coll85/image/55.pdf
Lumières Special Issue 1990	Friends of the LSU Libraries.	1990-03	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/55	55	56.pdf	/p16313coll85/image/56.pdf
Lumières Spring 1995	Friends of the LSU Libraries.	1995-04	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/56	56	57.pdf	/p16313coll85/image/57.pdf
Lumières Fall 1995	Friends of the LSU Libraries.	1995-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/57	57	58.pdf	/p16313coll85/image/58.pdf
Lumières Fall 1990	Friends of the LSU Libraries.	1990-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/58	58	59.pdf	/p16313coll85/image/59.pdf
Lumières Fall 1987	Friends of the LSU Libraries.	1987-11	1 newsletter.	This newsletter was published "to enlighten members of the Friends of the LSU Library with news of the organization and with needs of the LSU Library. The bi-annual issues may include notes about upcoming and recent events, short descriptions of new collections, "desiderata," obituaries, gifts, and a list of members.	English.	Text.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Special Collections, University Archives Z733.L8835 F725	Copyright of federal and state documents is in the public domain. Permission to  reproduce this image must be requested through the Special Collections Department,  Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll85/id/59	59	60.pdf	/p16313coll85/image/60.pdf
