Title	Date	Caption/Description	Notes	Format	Cite as	Creator	Subject Headings	Category	Sub-category	Publisher	Restrictions	Repository	Contact and Ordering Information	File Name	Source	Type	Language	Relation	Coverage-Spatial	Coverage-Temporal	Cataloger	Cataloged Date	Object File Name	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Holly Beach Quadrangle, LA, 1935	1935	Planimetric map of Holly Beach Quadrangle, Cameron Parish, LA, 1935.		TIF	U.S. Geological Survey.   Holly Beach Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Reineck, R. H.	Cameron Parish (La.)--Maps, Topographic, Reineck, R. H.	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/68	68	105.jp2	/p15140coll35/image/105.jp2
Lake Charles Quadrangle, N.E. Quarter, LA, 1932	1932	Planimetric map of Lake Charles Quadrangle, N.E. Quarter,  Calcasieu Parish, LA, 1932.		TIF	U.S. Geological Survey.   Lake Charles Quadrangle, N.E. Quarter. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Calcasieu Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/69	69	106.jp2	/p15140coll35/image/106.jp2
Lake Charles Quadrangle, N.W. Quarter, LA, 1932	1932	Planimetric map of Lake Charles Quadrangle, N.W. Quarter, Calcasieu Parish, LA, 1932.		TIF	U.S. Geological Survey.   Lake Charles Quadrangle, N.W. Quarter. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Calcasieu Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/70	70	107.jp2	/p15140coll35/image/107.jp2
Lake Cataouatche West Quadrangle, LA, 1932	1932	Planimetric map of Lake Cataouatche West Quadrangle, St. Charles Parish, LA, 1932.		TIF	U.S. Geological Survey.   Lake Cataouatche West Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1932.		Saint Charles Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/71	71	108.jp2	/p15140coll35/image/108.jp2
Lake Charles Quadrangle, S.W. Quarter, 1932	1932	Planimetric map of Lake Charles Quadrangle, S.W. Quarter, Calcasieu Parish, LA, 1932.		TIF	U.S. Geological Survey.   Lake Charles Quadrangle, S.W. Quarter. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Calcasieu Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/72	72	109.jp2	/p15140coll35/image/109.jp2
Houma Quadrangle, N.E. Quarter, LA, 1932	1932	Planimetric map of Houma Quadrangle, N.E. Quarter, Lafourche Parish, LA, 1932.		TIF	U.S. Geological Survey.   Houma Quadrangle, N.E. Quarter. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Lafourche Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/73	73	110.jp2	/p15140coll35/image/110.jp2
Lake Charles Quadrangle, S.E. Quarter, LA, 1932	1932	Planimetric map of Lake Charles Quadrangle, S.E. Quarter, Calcasieu Parish, LA, 1932.		TIF	U.S. Geological Survey.   Lake Charles Quadrangle, S. E. Quarter. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Calcasieu Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/74	74	111.jp2	/p15140coll35/image/111.jp2
Lake Eloi Quadrangle, LA, 1935	1935	Planimetric map of Lake Eloi Quadrangle, St. Bernard Parish, LA, 1935.		TIF	U.S. Geological Survey.   Lake Eloi Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Saint Bernard Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/75	75	112.jp2	/p15140coll35/image/112.jp2
Lake Eugenie Quadrangle, LA, 1935	1935	Planimetric map of Lake Eugenie Quadrangle, St. Bernard Parish, LA, 1935.		TIF	U.S. Geological Survey.   Lake Eugenie Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Saint Bernard Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/76	76	113.jp2	/p15140coll35/image/113.jp2
Lake Felicity Quadrangle, LA, 1935	1935	Planimetric map of Lake Felicity Quadrangle, Terrebonne Parish, LA, 1935.		TIF	U.S. Geological Survey.   Lake Felicity Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Terrebonne Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/77	77	114.jp2	/p15140coll35/image/114.jp2
Lake Gero Quadrangle, LA, 1935	1935	Planimetric map of Lake Gero Quadrangle, Terrebonne Parish, LA, 1935.		TIF	U.S. Geological Survey.   Lake Gero Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Terrebonne Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/78	78	115.jp2	/p15140coll35/image/115.jp2
Lake La Graisse Quadrangle, LA, 1935	1935	Planimetric map of Lake la Grasse Quadrangle, Terrebonne Parish, LA, 1935.		TIF	U.S. Geological Survey.   Lake La Grasse Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Terrebonne Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/79	79	116.jp2	/p15140coll35/image/116.jp2
Houma Quadrangle, N.W Quarter, LA, 1932	1932	Planimetric map of Houma Quadrangle, N.W. Quarter, Lafourche and Terrebonne Parishes, LA, 1932.		TIF	U.S. Geological Survey.   Houma Quadrangle, N.W. Quarter. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1932.	Smith, Glenn S. (Glenn Shepard)	Lafourche Parish (La.)--Maps, Topographic, Terrebonne Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/80	80	117.jp2	/p15140coll35/image/117.jp2
Lake Mechant Quadrangle, LA, 1935	1935	Planimetric map of Lake Mechant Quadrangle, Terrebonne Parish, LA, 1935.		TIF	U.S. Geological Survey.   Lake Mechant Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Terrebonne Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/81	81	118.jp2	/p15140coll35/image/118.jp2
Lake Misere Quadrangle, LA, 1935	1935	Planimetric map of Lake Misere Quadrangle, Cameron Parish, LA, 1935.		TIF	U.S. Geological Survey.   Lake Misere Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Weber, D.W.	Cameron Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/82	82	119.jp2	/p15140coll35/image/119.jp2
Lake Penchant Quadrangle, LA, 1935	1935	Planimetric map of Lake Penchant Quadrangle, Terrebonne Parish, LA, 1935.		TIF	U.S. Geological Survey.   Lake Penchant Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Terrebonne Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/83	83	120.jp2	/p15140coll35/image/120.jp2
Lake Quitman Quadrangle, LA, 1935	1935	Planimetric map of Lake Quitman Quadrangle, Terrebonne Parish, LA, 1935.		TIF	U.S. Geological Survey.   Lake Quitman Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Terrebonne Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/84	84	121.jp2	/p15140coll35/image/121.jp2
LaPlace Quadrangle, LA, 1935	1935	Planimetric map of LaPlace Quadrangle, St. Charles and St. John the Baptist Parishes, LA, 1935.		TIF	U.S. Geological Survey.   LaPlace Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Law, J.A., Plushnick, A.W., Baird, W.E., Parker, S.L., Schultz, J.T.	Saint Charles Parish (La.)--Maps, Topographic, Saint John the Baptist Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/85	85	122.jp2	/p15140coll35/image/122.jp2
Latania Lake Quadrangle, LA, 1934	1934	Planimetric map of Latania Lake Quadrangle, Cameron Parish, LA, 1934.		TIF	U.S. Geological Survey.   Latania Lake Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1934.	Weber, D.W.	Cameron Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/86	86	123.jp2	/p15140coll35/image/123.jp2
Leeville Quadrangle, LA, 1935	1935	Planimetric map of Leeville Quadrangle, Lafourche Parish, LA, 1935.		TIF	U.S. Geological Survey.   Leeville Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Lafourche Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/87	87	124.jp2	/p15140coll35/image/124.jp2
Little Woods Quadrangle, LA, 1935	1935	Planimetric map of Little Woods Quadrangle, Orleans Parish, LA, 1935.		TIF	U.S. Geological Survey.   Little Woods Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Gouchenour, E.W.	Orleans Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/88	88	125.jp2	/p15140coll35/image/125.jp2
Leroy Quadrangle, LA, 1934	1934	Planimetric map of Leroy Quadrangle, Vermilion Parish, LA, 1934.		TIF	U.S. Geological Survey.   Leroy Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1934.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Vermilion Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/89	89	126.jp2	/p15140coll35/image/126.jp2
Lutcher Quadrangle, LA, 1935	1935	Planimetric map of Lutcher Quadrangle, St. James and St. John the Baptist Parishes, LA, 1935.		TIF	U.S. Geological Survey.   Lutcher Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Saint James Parish (La.)--Maps, Topographic, Saint John the Baptist Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/90	90	127.jp2	/p15140coll35/image/127.jp2
Luling Quadrangle, LA, 1938	1938	Planimetric map of Luling Quadrangle, St. Charles and Jefferson Parishes, LA, 1938.		TIF	U.S. Geological Survey.   Luling Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1938.	Law, J.A., Taubr, J.H.	Saint Charles Parish (La.)--Maps, Topographic, Jefferson Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/91	91	128.jp2	/p15140coll35/image/128.jp2
Madewood Quadrangle, LA, 1938	1938	Planimetric map of Madewood Quadrangle, Assumption and St. James Parishes, LA, 1938.		TIF	U.S. Geological Survey.   Madewood Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1938.	O'Hara, S.B.	Assumption Parish (La.)--Maps, Topographic, Saint James Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/92	92	129.jp2	/p15140coll35/image/129.jp2
Main Pass Quadrangle, LA, 1935	1935	Planimetric map of Main Pass Quadrangle, Plaquemines Parish, LA, 1935.		TIF	U.S. Geological Survey.   Main Pass Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Plaquemines Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/93	93	130.jp2	/p15140coll35/image/130.jp2
Malheureux Point Quadrangle, LA, 1935	1935	Planimetric map of Malheureux Point Quadrangle, St. Bernard Parish, LA, 1935.		TIF	U.S. Geological Survey.   Malheureux Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Saint Bernard Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/94	94	131.jp2	/p15140coll35/image/131.jp2
Mermentau Quadrangle, LA, 1933	1933	Planimetric map of Mermentau Quadrangle, Acadia Parish, LA, 1933.		TIF	U.S. Geological Survey.   Mermentau Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1933.	Smith, Glenn S. (Glenn Shepard)	Smith, Glenn S. (Glenn Shepard), Acadia Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/95	95	132.jp2	/p15140coll35/image/132.jp2
Martello Castle Quadrangle, LA, 1935	1935	Planimetric map of Martello Castle Quadrangle, St. Bernard Parish, LA, 1935.		TIF	U.S. Geological Survey.   Martello Castle Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1935.	Smith, Glenn S. (Glenn Shepard)	Saint Bernard Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/96	96	133.jp2	/p15140coll35/image/133.jp2
Milikin Quadrangle, LA, 1909	1909	Topographic map of Millikin Quadrangle, East Carroll Parish, LA, 1909.		TIF	U.S. Geological Survey.   Millikin Quadrangle. 1:31,660. 7.5-Minute Series. Washington, DC: USGS, 1909.	Marshall, R.B.	Marshall, R. B. (Robert Bradford), 1967-1949, East Carroll Parish (La.)--Maps, Topographic	Maps-Topographic		Geological Survey (U.S.)	Map Images Courtesy of the Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences.  Louisiana State University.  Further reproduction by any means is not permitted, See contact and ordering information.	Cartographic Information Center, Department of Geography & Anthropology, College of Humanities and Social Sciences, Louisiana State University.	Visit the Cartographic Information Center website, http://www.cic.lsu.edu/access.htm.																						2010-11-24	2010-11-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll35/id/97	97	134.jp2	/p15140coll35/image/134.jp2
