Title	Compound	Photographer	Notes	Biographical Information	Description	Type	Date	Original Format/Size	Subject(s)	Geographic Focus	Collection Name	Box	Folder	Series	Sub-series	Digital Format	Digital Reproduction Information	Repository	Dates	Item Number	Related Items	Restrictions	Cataloger	Contact and Ordering Information	Cataloged date	Item URL	OCR	Cite As	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Back											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-11-14	2008-11-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2562	2562	2846.jpg		/LSU_UAP/image/2846.jpg
Workshop, Robertson Hall 1865-1925	1	Unknown	Robertson Hall interior showing machine room. Engineering students at work in the workshop.  Handwritten on back- Workshop, Robertson Hall 1865-1925.				n.d.	Gelatin silver prints; 8.00in x 6.00in	Machine shops--Louisiana--Baton Rouge--Photographs.; Robertson Hall (Baton Rouge, La.)--Photographs.; Machine-tools--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	5	9	Colleges & Departments	Mechanical Engineering			Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-11-14	2008-11-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2563	2563	2847.cpd		/LSU_UAP/image/2847.cpd
Front											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-09	2008-12-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2564	2564	2848.jp2	Volume156\a50000110_Front.jpg	/LSU_UAP/image/2848.jp2
Back											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-09	2008-12-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2565	2565	2849.jp2	Volume156\a50000110v_Back.jpg	/LSU_UAP/image/2849.jp2
Touch Down against Auburn in 1902	1	unknown	Handwritten on front- The Touch Down against Auburn in Handwritten on front- The Touch Down against Auburn in Handwritten on front- The Touch Down against Auburn in 1902.				1902	Gelatin silver prints; 6.50in x 4.50in	Louisiana State University and Agricultural and Mechanical College--Football--Photographs.; Alabama Polytechnic Institute--Football--Photographs.; Football players--Louisiana--Baton Rouge--Photographs.; Football teams--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	1	4	Athletics				Louisiana State University Libraries, Special Collections		a50000110				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-09	2008-12-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2566	2566	2850.cpd		/LSU_UAP/image/2850.cpd
Front											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2567	2567	2851.jp2	Volume156\a50000106_Front.jpg	/LSU_UAP/image/2851.jp2
Back											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2568	2568	2852.jp2	Volume156\a50000106v_Back.jpg	/LSU_UAP/image/2852.jp2
Football Game 1902	1	unknown	Players on field.  Garig Hall and Hill Memorial Library in background.				1902	Gelatin silver prints; 6.50in x 4.50in	Louisiana State University and Agricultural and Mechanical College--Football--Photographs.; Football teams--Louisiana--Baton Rouge--Photographs.; Football players--Louisiana--Baton Rouge--Photographs.; LSU Tigers (Football team)--Photographs.		LSU Photograph Collection, 1886-1926	1	3	Athletics				Louisiana State University Libraries, Special Collections		a50000106				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2569	2569	2853.cpd		/LSU_UAP/image/2853.cpd
L.S.U. Football Team '96	1	unknown	Team photo of 1896 football players. Handwritten on front- L.S.U. Football Team '96. Names of players are on typed separate paper and handwritten on back.				1896	Albumen prints; 8.25in x 6.25in	Louisiana State University and Agricultural and Mechanical College--Football--Photographs.; Football players--Louisiana--Baton Rouge--Photographs.; Football teams--Louisiana--Baton Rouge--Photographs.; LSU Tigers (Football team)--Photographs.		LSU Photograph Collection, 1886-1926	1	5	Athletics	L.S.U. Football Team '96			Louisiana State University Libraries, Special Collections		a50000112				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2572	2572	2856.cpd		/LSU_UAP/image/2856.cpd
Front											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2573	2573	2857.jp2	Volume156\a50000113_Front.jpg	/LSU_UAP/image/2857.jp2
Back											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2574	2574	2858.jp2	Volume156\a50000113v_Back.jpg	/LSU_UAP/image/2858.jp2
Foot Ball Men L.S.U. 1901	1	unknown	Team photo of 1901 football players. On back- Foot Ball Men L.S.U. 1901.				1901	Gelatin silver prints; 6.75in x 4.50in	Louisiana State University and Agricultural and Mechanical College--Football--Photographs.; Football players--Louisiana--Baton Rouge--Photographs.; Football teams--Louisiana--Baton Rouge--Photographs.; LSU Tigers (Football team)--Photographs.		LSU Photograph Collection, 1886-1926	1	5	Athletics				Louisiana State University Libraries, Special Collections		a50000113				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2575	2575	2859.cpd		/LSU_UAP/image/2859.cpd
Front											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2576	2576	2860.jp2	Volume156\a50000115_Front.jpg	/LSU_UAP/image/2860.jp2
Front											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2577	2577	2861.jp2	Volume156\a50000115a_Front.jpg	/LSU_UAP/image/2861.jp2
Back											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2578	2578	2862.jp2	Volume156\a50000115av_Back.jpg	/LSU_UAP/image/2862.jp2
Back											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2579	2579	2863.jp2	Volume156\a50000115v_Back.jpg	/LSU_UAP/image/2863.jp2
Football Team of 1905	1	Unknown	Team photo of 1905 football players on steps of Alumni Hall. Typed on front- Football Team of 1905.				1905		Louisiana State University and Agricultural and Mechanical College--Football--Photographs.; Alumni Hall (Baton Rouge, La.)--Photographs.; Football players--Louisiana--Baton Rouge--Photographs.; Football teams--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	1	6	Athletics				Louisiana State University Libraries, Special Collections		a50000115				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2580	2580	2864.cpd		/LSU_UAP/image/2864.cpd
Front											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2581	2581	2865.jp2	Volume156\a50000116_Front.jpg	/LSU_UAP/image/2865.jp2
Back											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2582	2582	2866.jp2	Volume156\a50000116v_Back.jpg	/LSU_UAP/image/2866.jp2
Football Team 1905	1	Unknown	Handwritten on front- Football Team 1905; Handwritten on back- To Mr. Henry Fuqua from F.H. Burnette with the Compliments of the Seniors and Capt. Alva Read (right), Coach Killiam (left) on steps of old Hill Memorial Library.				1905		Louisiana State University and Agricultural and Mechanical College--Football--Photographs.; Hill Memorial Library (Baton Rouge, La. - 1903-1924)--Photographs.; Football players--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	1	6	Athletics				Louisiana State University Libraries, Special Collections		a50000116				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2583	2583	2867.cpd		/LSU_UAP/image/2867.cpd
Front											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2584	2584	2868.jp2	Volume156\a50000117_Front.jpg	/LSU_UAP/image/2868.jp2
Back											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2585	2585	2869.jp2	Volume156\a50000117v_Back.jpg	/LSU_UAP/image/2869.jp2
L.S.U. Football Team 1907	1	Andrew D. Lytle	Team photo of 1907 football players. Handwritten on back- L.S.U. Football Team 1907.				1907		Lytle, Andrew D., 1834-1917.; Louisiana State University and Agricultural and Mechanical College--Football--Photographs.; Football players--Louisiana--Baton Rouge--Photographs.; Football teams--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926	1	6	Athletics				Louisiana State University Libraries, Special Collections		a50000117				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2586	2586	2870.cpd		/LSU_UAP/image/2870.cpd
Front											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2587	2587	2871.jp2	Volume156\a50000118_Front.jpg	/LSU_UAP/image/2871.jp2
Back											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2588	2588	2872.jp2	Volume156\a50000118v_Back.jpg	/LSU_UAP/image/2872.jp2
Football Team of 1908	1	Unknown	Team photo of 1908 football players.				1908		Louisiana State University and Agricultural and Mechanical College--Football--Photographs.; Football teams--Louisiana--Baton Rouge--Photographs.; Football players--Louisiana--Baton Rouge--Photographs.; LSU Tigers (Football team)--Photographs.		LSU Photograph Collection, 1886-1926	1	6	Athletics				Louisiana State University Libraries, Special Collections		a50000118				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2008-12-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2589	2589	2873.cpd		/LSU_UAP/image/2873.cpd
Hobo Gang	0	unknown	Portrait of a group of men.  Various activities include- playing cards, drinking, smoking, playing dice, wearing boxing gloves, and reading "The Clansman" by Thomas Dixon Jr.				c. 1905		Louisiana State University and Agricultural and Mechanical College--Students--Photographs.		LSU Photograph Collection, 1886-1926			Clubs & Student Activities	Leisure clubs		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000641				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-10	2009-02-18	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2590	2590	2874.jpg		/LSU_UAP/image/2874.jpg
Hobo Gang on a Train		unknown	Group of men posing around and on top of an Illinois Central boxcar.				c. 1905		Louisiana State University and Agricultural and Mechanical College--Students--Photographs.		LSU Photograph Collection, 1886-1926			Clubs & Student Activities	Leisure clubs		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000642				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-12	2009-02-18	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2591	2591	2875.jpg		/LSU_UAP/image/2875.jpg
Hobo Gang Club List		the Hobo Gang Social Club.	A page from the 1905 Gumbo that details the members of the Hobo Gang Social Club.				1905				LSU Photograph Collection, 1886-1926			Clubs & Student Activities	Leisure clubs		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000643				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-12	2009-02-18	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2592	2592	2876.jpg		/LSU_UAP/image/2876.jpg
Polevaulter	0	unknown	Image of a polevautler				n.d.		Louisiana State University and Agricultural and Mechanical College--Sports--Photographs.; Track and field athletes--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926			Athletics	Track and field		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000645				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-12	2009-02-18	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2593	2593	2877.jpg		/LSU_UAP/image/2877.jpg
Track Team	0	unknown	Image of L.S.U. track Team				n.d.		Louisiana State University and Agricultural and Mechanical College--Sports--Photographs.; Track and field athletes--Louisiana--Baton Rouge--Photographs.		LSU Photograph Collection, 1886-1926			Athletics	Track and field		Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections		a50000646				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-12	2009-02-18	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2594	2594	2878.jpg		/LSU_UAP/image/2878.jpg
Front											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-17	2008-12-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2595	2595	2879.jp2	Volume156\a50000364_Front.jpg	/LSU_UAP/image/2879.jp2
Back											LSU Photograph Collection, 1886-1926						Scanned with Digibook 1000 at 300 ppi; saved as a TIFF and converted to JPEG2000	Louisiana State University Libraries, Special Collections						To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-17	2008-12-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2596	2596	2880.jp2	Volume156\a50000364v_Back.jpg	/LSU_UAP/image/2880.jp2
Inside the sugar experiment station	1	unknown	Three men stand around a piece of equipment in the Audubon sugar experiment station.  Audubon Sugar School is a branch of Louisiana State University.				n.d.				LSU Photograph Collection, 1886-1926	2	5	Audubon Sugar School				Louisiana State University Libraries, Special Collections		a50000364				To inquire about ordering copies of these images, email lsudiglib@lsu.edu See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Include the "Item URL" in your request.		See 'reference url' on the navigation bars.		LSU Photograph Collection, 1886-1926, Louisiana State University Archives, LSU Libraries, Baton Rouge, LA.	http://www.lib.lsu.edu/special/archives/digital		2008-12-17	2008-12-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_UAP/id/2597	2597	2881.cpd		/LSU_UAP/image/2881.cpd
