Title	Creator	Date	Subject(s)	Physical Description	Notes	Repository	Repository Collection Guide	Call Number/Location	Cite as	Restrictions	Publisher	Type	Format	Digital Collection	Language	Contact and Ordering Information	Item URL	Object File Name	Contributors	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Rex medal, 1885.	Krewe of Rex (Organization)	1885	Krewe of Rex (Organization); New Orleans (La.)--Social life and customs.; Carnival--Louisiana--New Orleans.	Medal ; 11 x 9 cm.	Medals such as these were worn by members of the Rex court.  This one is found among the papers of Captain Thomas P. Leathers, a New Orleans steamboat master and owner.  The Rex Organization was founded in 1872 in an effort to entertain Russia's Grand Duke Romanoff during his visit to the city, to attract visitors to New Orleans, and to provide a daytime parade as an alternative to the rowdy processions that had come to characterize Mardi Gras celebrations.  The following year, it began the tradition of holding a ball and selecting a Queen of Carnival.   Rex continues; its parade is held on  Mardi Gras day.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid: http://www.lib.lsu.edu/special/findaid/1548.pdf	Vault: 38	Thomas P. Leathers Family Papers, Mss. 1548, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/71	71	72.jp2	/p15140coll17/image/72.jp2
Rex medal, 1878.	Krewe of Rex (Organization)	1878	Krewe of Rex (Organization); New Orleans (La.)--Social life and customs.; Carnival--Louisiana--New Orleans.	Medal ; 12.5 x 6.5 cm.	Medals such as these were worn by members of the Rex court.  This one is found among the papers of Captain Thomas P. Leathers, a New Orleans steamboat master and owner.  The Rex Organization was founded in 1872 in an effort to entertain Russia's Grand Duke Romanoff during his visit to the city, to attract visitors to New Orleans, and to provide a daytime parade as an alternative to the rowdy processions that had come to characterize Mardi Gras celebrations.  The following year, it began the tradition of holding a ball and selecting a Queen of Carnival.   Rex continues; its parade is held on  Mardi Gras day.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid: http://www.lib.lsu.edu/special/findaid/1548.pdf	Vault: 38	Thomas P. Leathers Family Papers, Mss. 1548, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/72	72	73.jp2	/p15140coll17/image/73.jp2
Capital Heights children's parade photograph, circa 1940-1955.		1940-1955	Carnival--Louisiana--Baton Rouge.; Baton Rouge (La.)--Social life and customs.	Photographic print : b&w ; 3.5 x 5 in.	Capital Heights is a historic neighborhood in Baton Rouge, La., that held a children's Mardi Gras parade.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)		T:99	Stirling Poupard Hall letters, 1887-1966 (bulk 1918-1919)   Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/73	73	74.jp2	/p15140coll17/image/74.jp2
Daily picayune broadside for the Krewe of Momus, 1901 February 14.	Daily picayune (New Orleans, La. : 1837)	1901	Krewe of Momus (Organization); Parades--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans--Societies, etc.; New Orleans (La.)--Social life and customs.	Newspaper ; 72 x 106 cm.	Momus	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)		OS:P	Picture Collection, Mss. 1708,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/74	74	75.jp2	/p15140coll17/image/75.jp2
Daily picayune broadside for the Krewe of Rex, 1890 February 18.	Daily picayune (New Orleans, La. : 1837)	1890	Krewe of Rex (Organization); Parades--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans--Societies, etc.; New Orleans (La.)--Social life and customs.	Newspaper ; 72 x 106 cm.	Rex	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)		OS:P	Picture Collection, Mss. 1708,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/75	75	76.jp2	/p15140coll17/image/76.jp2
Daily picayune broadside for the Krewe of Comus, 1901 February 19.	Daily picayune (New Orleans, La. : 1837)	1901	Krewe of Comus (Organization); Parades--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans--Societies, etc.; New Orleans (La.)--Social life and customs.	Newspaper ; 72 x 106 cm.	Comus	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)		OS:P	Picture Collection, Mss. 1708,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/76	76	77.jp2	/p15140coll17/image/77.jp2
Daily picayune broadside for the Krewe of Rex, 1901 February 19.	Daily picayune (New Orleans, La. : 1837)	1901	Krewe of Rex (Organization); Parades--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans--Societies, etc.; New Orleans (La.)--Social life and customs.	Newspaper ; 72 x 106 cm.	Rex	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)		OS:P	Picture Collection, Mss. 1708,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/77	77	78.jp2	/p15140coll17/image/78.jp2
Daily picayune broadside for the Krewe of Comus, 1896 February 18.	Daily picayune (New Orleans, La. : 1837)	1896	Krewe of Comus (Organization); Parades--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans--Societies, etc.; New Orleans (La.)--Social life and customs.	Newspaper ; 72 x 106 cm.	Comus	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)		OS:P	Picture Collection, Mss. 1708,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/78	78	79.jp2	/p15140coll17/image/79.jp2
Daily picayune broadside for the Krewe of Comus, 1902 February 11.	Daily picayune (New Orleans, La. : 1837)	1902	Krewe of Comus (Organization); Parades--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans--Societies, etc.; New Orleans (La.)--Social life and customs.	Newspaper ; 72 x 106 cm.	Comus	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)		OS:P	Picture Collection, Mss. 1708,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/79	79	80.jp2	/p15140coll17/image/80.jp2
Daily picayune broadside for the Krewe of Proteus, 1896 February 17.	Daily picayune (New Orleans, La. : 1837)	1896	Krewe of Proteus (Organization); Parades--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans--Societies, etc.; New Orleans (La.)--Social life and customs.	Newspaper ; 72 x 106 cm.	Proteus	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)		OS:P	Picture Collection, Mss. 1708,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/80	80	81.jp2	/p15140coll17/image/81.jp2
Daily picayune broadside for the Krewe of Proteus, 1901 February 18.	Daily picayune (New Orleans, La. : 1837)	1901	Krewe of Proteus (Organization); Parades--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans.; Carnival--Louisiana--New Orleans--Societies, etc.; New Orleans (La.)--Social life and customs.	Newspaper ; 72 x 106 cm.	Proteus	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)		OS:P	Picture Collection, Mss. 1708,  Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/81	81	82.jp2	/p15140coll17/image/82.jp2
3053b04f36001a_Wynne Canal St. Photograph 1 front						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/82	82	83.jp2	/p15140coll17/image/83.jp2
3053b04f36001b_Wynne Canal St. Photograph 1 back						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/83	83	84.jp2	/p15140coll17/image/84.jp2
3053b04f36002a_Wynne Canal St. Photograph 2 front						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/84	84	85.jp2	/p15140coll17/image/85.jp2
3053b04f36002b_Wynne Canal St. Photograph 2 back						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/85	85	86.jp2	/p15140coll17/image/86.jp2
3053b04f36003a_Wynne Canal St. Photograph 3 front						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/86	86	87.jp2	/p15140coll17/image/87.jp2
3053b04f36003b_Wynne Canal St. Photograph 3 back						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/87	87	88.jp2	/p15140coll17/image/88.jp2
3053b04f36004a_Wynne Canal St. Photograph 4 front						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/88	88	89.jp2	/p15140coll17/image/89.jp2
3053b04f36004b_Wynne Canal St. Photograph 4 back						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/89	89	90.jp2	/p15140coll17/image/90.jp2
3053b04f36005a_Wynne Canal St. Photograph 5 front						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/90	90	91.jp2	/p15140coll17/image/91.jp2
3053b04f36005b_Wynne Canal St. Photograph 5 back						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/91	91	92.jp2	/p15140coll17/image/92.jp2
Mardi Gras floats on Canal Street in New Orleans, circa 1903-1905	Wynne, William Howell.	1903	Parades--Louisiana--New Orleans--Photographs.; Carnival--Louisiana--New Orleans--Photographs.	5 photographic prints : b&w ; 8 x 10 in.	Manuscript notes on back of photograph:  'A Mardi Gras Float on Canal Str. In New Orleans, LA. Taken by William Howell Wynne Between 1903-5'	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid: http://www.lib.lsu.edu/special/findaid/3053.pdf	W:35	Michael D. Wynne Collection, Mss. 3053, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/92	92	93.cpd	/p15140coll17/image/93.cpd
Arbour Album Page 1						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/93	93	94.jp2	/p15140coll17/image/94.jp2
Arbour Album Page 1 Detail 1						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/94	94	95.jp2	/p15140coll17/image/95.jp2
Arbour Album Page 1 Detail 2						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/95	95	96.jp2	/p15140coll17/image/96.jp2
Arbour Album Page 1 Detail 3						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/96	96	97.jp2	/p15140coll17/image/97.jp2
Arbour Album Page 1 Detail 4						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/97	97	98.jp2	/p15140coll17/image/98.jp2
Arbour Album Page 1 Detail 5						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/98	98	99.jp2	/p15140coll17/image/99.jp2
Arbour Album Page 1 Detail 6						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/99	99	100.jp2	/p15140coll17/image/100.jp2
Arbour Album Page 1 Detail 7						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/100	100	101.jp2	/p15140coll17/image/101.jp2
Arbour Album Page 1 Detail 8						Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)				Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				Mardi Gras Mambo: Selections from LSU Libraries Special Collections		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html.  Mention the “Item number” or “Item URL” in your request.	See ‘reference url’ on the navigation bar.				2012-02-16	2012-02-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll17/id/101	101	102.jp2	/p15140coll17/image/102.jp2
