Title	Compound	Photographer	Date	Dates	Subjects	Notes	Original Format/Size	Physical Description	Digital Format	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Interior of works on our left -  opposite Battery 20 -  Roy.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750021	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/127	127	128.jpg	/LSU_WLS/image/128.jpg
Interior view as the rebels left it - Augur's front.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750022	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/128	128	129.jpg	/LSU_WLS/image/129.jpg
Lady Davis -  to the right of the Jackson Sally-port. Augur's front.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750023	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/129	129	130.jpg	/LSU_WLS/image/130.jpg
Another view.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 3241141. This CDV carries no backstamp.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750024	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/130	130	131.jpg	/LSU_WLS/image/131.jpg
Still another.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 3241133, and Port Hudson CDVs (PHCDV), 487704. The PHCDV CDV carries the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750025	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/131	131	132.jpg	/LSU_WLS/image/132.jpg
Capt. Mack's Battery (Battery 11).	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750026	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/132	132	133.jpg	/LSU_WLS/image/133.jpg
32 disabled by Mack's Battery.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	[See Dunham, 3241134. This CDV carries the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750027	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/133	133	134.jpg	/LSU_WLS/image/134.jpg
Same.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750028	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/134	134	135.jpg	/LSU_WLS/image/135.jpg
Rebel 32, in an excavated Battery - struck eleven consecutive times by a 20 pdr. parrot at 150 yards.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750029	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/135	135	136.jpg	/LSU_WLS/image/136.jpg
Naval Battery (9 inch) (Battery 10).	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750030	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/136	136	137.jpg	/LSU_WLS/image/137.jpg
Section of Central Sap.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750031	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/137	137	138.jpg	/LSU_WLS/image/138.jpg
Cavalliere - taken from Central Sap.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750032	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/138	138	139.jpg	/LSU_WLS/image/139.jpg
Interior view.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750033	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/139	139	140.jpg	/LSU_WLS/image/140.jpg
Capt. Coxe's Battery (1 [x-ed through] Battery 9).	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750034	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/140	140	141.jpg	/LSU_WLS/image/141.jpg
Weitzel's battle ground - June 14th.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750035	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/141	141	142.jpg	/LSU_WLS/image/142.jpg
32 looking towards Grover's front.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750036	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/142	142	143.jpg	/LSU_WLS/image/143.jpg
Capt. Bainbridge's Battery (Battery 8).	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	notice makeshift shelter fortifications	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750037	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/143	143	144.jpg	/LSU_WLS/image/144.jpg
Interior view.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750038	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/144	144	145.jpg	/LSU_WLS/image/145.jpg
Interior view (opposite Bainbridge ?).	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750039	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/145	145	146.jpg	/LSU_WLS/image/146.jpg
Scene in front of Bainbridge's Battery.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	destruction [See Dunham, 3241137. This CDV carries the backstamp of McPherson & Oliver, Photographers.]	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750040	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/146	146	147.jpg	/LSU_WLS/image/147.jpg
Part of the rebel works.	No	unknown	ca. 1880		Port Hudson (La.)--History--Siege, 1863--Pictorial works;United States--History--Civil War, 1861-1865--Pictorial works	none	Lantern slides;3.25" x 4.00"		jpeg	John Langdon Ward Lantern Slides	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	John Langdon Ward Magic Lantern Slides (Mss. 4875).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4875.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John Langdon Ward Magic Lantern Slides (Mss. 4875), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	48750041	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_WLS.php?CISOROOT=/LSU_WLS	Lantern Slides	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_WLS/id/147	147	148.jpg	/LSU_WLS/image/148.jpg
