Title	Lingustic Category	Author	Author's Gender	Author's Occupation	Author's Social Class	Author's Place of Birth	Writing Location	Date	Addressee	Addressee's Location	Document Type	Notes	Extent (Pages)	Subject	Language	Repository	Repository Collection	Repository Collection Guide	Shelf Location	Cite As	Restrictions	Digital Collection	Contact and Ordering Information	Item URL	Transcription	Related Collections	Item Number	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
091205261866td_Transcription Page 4																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/202	202	203.pdf	/p15140coll41/image/203.pdf
091205261866te_Transcription Page 5																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/203	203	204.pdf	/p15140coll41/image/204.pdf
091205261866tf_Transcription Page 6																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/204	204	205.pdf	/p15140coll41/image/205.pdf
Edwina letter, 1866 May 26	Black Creole.		F	Student (?)	middle (?)	USA (?)	Natchitoches (La.)	1868-01-25	Tauzin, Ismerie.	(unknown)	personal	long letter of news	6	Education, Secondary--Louisiana.	en, fr	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Marcelin Tauzin and family papers, 1834-1944.	http://www.lib.lsu.edu/special/findaid/912.htm	A:60, Box 1, Folder 1:10	Marcelin Tauzin and Family Papers, Mss. 912, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/205	205	206.cpd	/p15140coll41/image/206.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/206	206	207.jp2	/p15140coll41/image/207.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/207	207	208.jp2	/p15140coll41/image/208.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/208	208	209.jp2	/p15140coll41/image/209.jp2
082504251896ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/209	209	210.pdf	/p15140coll41/image/210.pdf
082504251896tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/210	210	211.pdf	/p15140coll41/image/211.pdf
082504251896tc_Transcription Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/211	211	212.pdf	/p15140coll41/image/212.pdf
Ellen Chategnier letter, 1896 Apr. 25	Black Creole.	Chategnier, Ellen.	F			USA	Campti (La.)	1896-04-25	Badin, Aug (Mr.).	(unknown)	personal	news and condolances	3	Natchitoches Parish (La.)--History.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Norbert Badin papers, 1829-1937 (bulk 1870-1890).	http://www.lib.lsu.edu/special/findaid/b825.html	U:97-98	Norbert Badin Papers, Mss. 825, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/212	212	213.cpd	/p15140coll41/image/213.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/213	213	214.jp2	/p15140coll41/image/214.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/214	214	215.jp2	/p15140coll41/image/215.jp2
337105291865ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/215	215	216.pdf	/p15140coll41/image/216.pdf
337105291865tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/216	216	217.pdf	/p15140coll41/image/217.pdf
F. D. Conrad letter, 1865 May 29	Anglophone.	Conrad, F. D.	M	Sugar Planter	middle (?)		New Orleans (La.)	1865-05-29	Hart, Samuel M., 1816-1898.	Baton Rouge (La.)	legal	requests immediate return of siezed property	2	Real property -- Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Hart-Bonnecaze-Duncan family papers, 1775-1949 (bulk 1840-1875, 1905-1940).	http://www.lib.lsu.edu/special/findaid/h3371.html	T:18, Box 1, Folder 1:9	Hart-Bonnecaze-Duncan Family Papers, Mss. 3371, 4208, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/217	217	218.cpd	/p15140coll41/image/218.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/218	218	219.jp2	/p15140coll41/image/219.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/219	219	220.jp2	/p15140coll41/image/220.jp2
337110151863ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/220	220	221.pdf	/p15140coll41/image/221.pdf
337110151863tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/221	221	222.pdf	/p15140coll41/image/222.pdf
F. L. George letter, 1863 Oct. 15	White French.	George, F. L.	M	Cotton Planter	middle		(unknown)	1863-10-15	Hart, Samuel M., 1816-1898.	(unknown)	business	cotton in war	2	Cotton trade--Louisiana.  Louisiana--History--Civil War, 1861-1865.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Hart-Bonnecaze-Duncan family papers, 1775-1949 (bulk 1840-1875, 1905-1940).	http://www.lib.lsu.edu/special/findaid/h3371.html	T:18, Box 1, Folder 1:8	Hart-Bonnecaze-Duncan Family Papers, Mss. 3371, 4208, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/222	222	223.cpd	/p15140coll41/image/223.cpd
Page1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/223	223	224.jp2	/p15140coll41/image/224.jp2
337109171863ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/224	224	225.pdf	/p15140coll41/image/225.pdf
F. L. George letter, 1863 Sept. 17	White French.	George, F. L.	M	Cotton Planter	middle		(unknown)	1863-09-17	Hart, Samuel M., 1816-1898.	(unknown)	business	cotton in war	1	Cotton trade--Louisiana.  Louisiana--History--Civil War, 1861-1865.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Hart-Bonnecaze-Duncan family papers, 1775-1949 (bulk 1840-1875, 1905-1940).	http://www.lib.lsu.edu/special/findaid/h3371.html	T:18, Box 1, Folder 1:8	Hart-Bonnecaze-Duncan Family Papers, Mss. 3371, 4208, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/225	225	226.cpd	/p15140coll41/image/226.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/226	226	227.jp2	/p15140coll41/image/227.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/227	227	228.jp2	/p15140coll41/image/228.jp2
532212241844ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/228	228	229.pdf	/p15140coll41/image/229.pdf
F. M. Guyol letter, 1844 Dec. 24	White French. (?)	Guyol, F. M.	M	Lawyer	middle		New Orleans (La.)	1844-12-24	McDonogh, John, 1779-1850.	New Orleans (La.)	business	plea for money	1	Louisiana--Economic conditions--19th century.	en	Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University	John McDonogh papers, 1789-1869.	http://specialcollections.tulane.edu/archon/?p=collections/controlcard&id=122		John McDonogh papers, Manuscripts Collection 30, Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University, New Orleans, LA 70118	Physical rights are retained by the Louisiana Research Collection. Copyright is retained in accordance with U.S. copyright laws.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/229	229	230.cpd	/p15140coll41/image/230.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/230	230	231.jp2	/p15140coll41/image/231.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/231	231	232.jp2	/p15140coll41/image/232.jp2
532202281845ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/232	232	233.pdf	/p15140coll41/image/233.pdf
F. M. Guyol letter, 1845 Feb. 28	White French. (?)	Guyol, F. M.	M	Lawyer	middle		New Orleans (La.)	1845-02-28	McDonogh, John, 1779-1850.	New Orleans (La.)	business	letter claiming inability to reimburse loaned money	1	Louisiana--History--1803-1865.	en	Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University	John McDonogh papers, 1789-1869.	http://specialcollections.tulane.edu/archon/?p=collections/controlcard&id=122		John McDonogh papers, Manuscripts Collection 30, Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University, New Orleans, LA 70118	Physical rights are retained by the Louisiana Research Collection. Copyright is retained in accordance with U.S. copyright laws.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/233	233	234.cpd	/p15140coll41/image/234.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/234	234	235.jp2	/p15140coll41/image/235.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/235	235	236.jp2	/p15140coll41/image/236.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/236	236	237.jp2	/p15140coll41/image/237.jp2
532207141845ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/237	237	238.pdf	/p15140coll41/image/238.pdf
532207141845tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/238	238	239.pdf	/p15140coll41/image/239.pdf
F. M. Guyol letter, 1845 July 14	White French. (?)	Guyol, F. M.	M	Lawyer	middle		New Orleans (La.)	1845-07-14	McDonogh, John, 1779-1850.	New Orleans (La.)	business	letter claiming inability to reimburse loaned money	2	Plantations--Louisiana--Management.	en	Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University	John McDonogh papers, 1789-1869.	http://specialcollections.tulane.edu/archon/?p=collections/controlcard&id=122		John McDonogh papers, Manuscripts Collection 30, Louisiana Research Collection, Howard-Tilton Memorial Library, Tulane University, New Orleans, LA 70118	Physical rights are retained by the Louisiana Research Collection. Copyright is retained in accordance with U.S. copyright laws.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/239	239	240.cpd	/p15140coll41/image/240.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/240	240	241.jp2	/p15140coll41/image/241.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/241	241	242.jp2	/p15140coll41/image/242.jp2
091204181860ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/242	242	243.pdf	/p15140coll41/image/243.pdf
F. Milleaux legal summons, 1860 Apr. 18	Black Creole.	Milleaux, F.	M	Notary/Justice of the Peace	upper (?)		Natchitoches (La.)	1860-04-18	Tauzin, Marcelin, d. 1877.	Natchitoches (La.)	business	legal summons	1	Plantation owners--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Marcelin Tauzin and family papers, 1834-1944.	http://www.lib.lsu.edu/special/findaid/912.htm	A:60, Box 1, Folder 1:4	Marcelin Tauzin and Family Papers, Mss. 912, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/243	243	244.cpd	/p15140coll41/image/244.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/244	244	245.jp2	/p15140coll41/image/245.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/245	245	246.jp2	/p15140coll41/image/246.jp2
091206011863ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/246	246	247.pdf	/p15140coll41/image/247.pdf
F. Milleaux legal summons, 1863 June 1	Black Creole.	Milleaux, F.	M	Notary/Justice of the Peace	upper (?)		Natchitoches (La.)	1863-06-01	Tauzin, Marcelin, d. 1877.	Natchitoches (La.)	legal	summons for jury duty	1	Plantation owners--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Marcelin Tauzin and family papers, 1834-1944.	http://www.lib.lsu.edu/special/findaid/912.htm	A:60, Box 1, Folder 1:6	Marcelin Tauzin and Family Papers, Mss. 912, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/247	247	248.cpd	/p15140coll41/image/248.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/248	248	249.jp2	/p15140coll41/image/249.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/249	249	250.jp2	/p15140coll41/image/250.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/250	250	251.jp2	/p15140coll41/image/251.jp2
138208251817ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/251	251	252.pdf	/p15140coll41/image/252.pdf
138208251817tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/252	252	253.pdf	/p15140coll41/image/253.pdf
Flower and Finley letter, 1817 Aug. 25	Irish/Scots.	Flower & Finley.	M	Merchant Company	middle		New Orleans (La.)	1817-08-25	Pirrie, James, 1769-1824.	Sara, Bayou (La.)	business	cotton and goods	2	Cotton trade--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	James Pirrie papers, 1803-ca. 1830.		UU:104, Box 1, Folder 1:4	James Pirrie Papers, Mss. 1382, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/253	253	254.cpd	/p15140coll41/image/254.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/254	254	255.jp2	/p15140coll41/image/255.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/255	255	256.jp2	/p15140coll41/image/256.jp2
Page 3																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/256	256	257.jp2	/p15140coll41/image/257.jp2
138204011818ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/257	257	258.pdf	/p15140coll41/image/258.pdf
138204011818tb_Transcription Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/258	258	259.pdf	/p15140coll41/image/259.pdf
Flower and Finley letter, 1818 Apr. 1	Irish/Scots.	Flower & Finley.	M	Merchant Company	middle		New Orleans (La.)	1818-04-01	Pirrie, James, 1769-1824.	Saint Francisville (La.)	business	quality of cotton	2	Cotton trade--Louisiana.	en	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	James Pirrie papers, 1803-ca. 1830.		UU:104, Box 1, Folder 1:5	James Pirrie Papers, Mss. 1382, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana Early English Corpus	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the Item number or Item URL in your request.	See 'reference url' on the navigation bars.	See transcription link on the left navigation bar.	Early Louisiana French Correspondence (http://www.lib.lsu.edu/special/cffs/) and Lettres de Louisiane (http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6)			2011-11-01	2011-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/259	259	260.cpd	/p15140coll41/image/260.cpd
Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/260	260	261.jp2	/p15140coll41/image/261.jp2
Page 2																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/261	261	262.jp2	/p15140coll41/image/262.jp2
138203141818ta_Transcription Page 1																								See 'reference url' on the navigation bars.					2011-01-06	2011-01-06	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll41/id/262	262	263.pdf	/p15140coll41/image/263.pdf
