Title	Creator	Contributors	Date	Physical Description	Notes	Railroad	City	State/Province	Language	Type	Subjects	Coverage	Digital Collection	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	Cataloged Date / Cataloger Initials	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Crowley (1910): Oregon and Nebraska			1910			Oregon and Nebraska	Crowley (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/24	24	25.jp2	/p16313coll79/image/25.jp2
Crowley (1983): Missouri Pacific			1983			Missouri Pacific Railroad Company	Crowley (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/25	25	26.jp2	/p16313coll79/image/26.jp2
Cullen (1983): Louisiana and Arkansas			1983			Louisiana and Arkansas Railway Company	Cullen (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/26	26	27.jp2	/p16313coll79/image/27.jp2
Cypress (1941): Texas and Pacific			1941			Texas & Pacific Railway	Cypress (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 3	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/27	27	28.jp2	/p16313coll79/image/28.jp2
Delhi (1966): Illinois Central			1966			Illinois Central Railroad Company	Delhi (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 4	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/28	28	29.jp2	/p16313coll79/image/29.jp2
DeQuincy (1983): Kansas City Southern			1983			Kansas City Southern Railway Company	DeQuincy (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 4	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/29	29	30.jp2	/p16313coll79/image/30.jp2
DeRidder (between 1940 and 1970?): Kansas City Southern			1940?-1970?			Kansas City Southern Railway Company	DeRidder (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 4	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/30	30	31.jp2	/p16313coll79/image/31.jp2
DeRidder (1983): Southern Pacific			1983			Southern Pacific Company	DeRidder (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder 4	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/31	31	32.jp2	/p16313coll79/image/32.jp2
Des Allemans (1942): Texas and New Orleans			1942			Texas and New Orleans Railroad Company	Des Allemands (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 4	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/32	32	33.jp2	/p16313coll79/image/33.jp2
Dido (1921): Atchsion and Santa Fe			1921			Atchison, Topeka, and Santa Fe Railway Company	Dido (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 4	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/33	33	34.jp2	/p16313coll79/image/34.jp2
Donaldsonville (1978): Missouri Pacific			1978			Missouri Pacific Railroad Company	Donaldsonville (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 4	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/34	34	35.jp2	/p16313coll79/image/35.jp2
Dubach (1978) CRI&P			1978			Chicago, Rock Island, and Pacific Railroad Company (1948- )	Dubach (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 4	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/35	35	36.jp2	/p16313coll79/image/36.jp2
Elizabeth (1978): Santa Fe			1978			Atchison, Topeka, and Santa Fe Railway Company	Elizabeth (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 5	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/36	36	37.jp2	/p16313coll79/image/37.jp2
Elton (1983): Missouri Pacific			1983			Missouri Pacific Railroad Company	Elton (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 5	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/37	37	38.jp2	/p16313coll79/image/38.jp2
Eunice (1978): Missouri Pacific			1978			Missouri Pacific Railroad Company	Eunice (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 5	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/38	38	39.jp2	/p16313coll79/image/39.jp2
Eunice (1978): Southern Pacific			1978			Southern Pacific Company	Eunice (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 5	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/39	39	40.jp2	/p16313coll79/image/40.jp2
Ferriday (1940): Louisiana Midland			1940			Louisiana Midland Railway	Ferriday (La.)	Louisiana	English	Image	Railroad stations--Louisiana.; Railroad passenger cars--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 5	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/40	40	41.jp2	/p16313coll79/image/41.jp2
Ferriday (1970?): Missouri Pacific-			1970?			Missouri Pacific Railroad Company	Ferriday (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 5	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/41	41	42.jp2	/p16313coll79/image/42.jp2
Fisher (between 1940 and 1960?): Kansas City Southern			1940?-1960?			Kansas City Southern Railway Company	Fisher (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 5	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/42	42	43.jp2	/p16313coll79/image/43.jp2
Florein (1983): Kansas City Southern			1983			Kansas City Southern Railway Company	Florein (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 5	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/43	43	44.jp2	/p16313coll79/image/44.jp2
Franklin (1975): Southern Pacific			1975			Southern Pacific Company	Franklin (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 5	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/44	44	45.jp2	/p16313coll79/image/45.jp2
Franklin (1941): Texas and New Orleans-			1941			Texas and New Orleans Railroad Company	Franklin (La.)	Louisiana	English	Image	Railroad stations--Louisiana.; Steam locomotives--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 5	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/45	45	46.jp2	/p16313coll79/image/46.jp2
Gonzales (1940): Kansas City Southern			1940			Kansas City Southern Railway Company	Gonzales (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 6	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/46	46	47.jp2	/p16313coll79/image/47.jp2
Good Hope (between 1940 and 1960?): Illinois Central			1940?-1960?			Illinois Central Railroad Company	Good Hope (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 6	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/47	47	48.jp2	/p16313coll79/image/48.jp2
Gretna (1983): Southern Pacific			1983			Southern Pacific Company	Gretna (La.)	Louisiana	English	Image	Railroad stations--Louisiana.			Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4161.pdf	D:79 Folder.  Folder 6	Louisiana Railroad Depot Photograph Collection, Mss. 4161, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	JPG	Scanned on Epson 11000 as 600dpi TIFF; Converted with Photoshop to a 150dpi JPG; CONTENTdm upload processed as a JP2 file						2015-01-16	2015-04-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll79/id/48	48	49.jp2	/p16313coll79/image/49.jp2
