Title	Volume	Issue	Author	Publication Date	Call Number	Subject	Publisher	Description	Copyright	Notes	Type	Format	Language	Relation	Coverage	Audience	File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Louisiana Conservationist	12	No. 4	Department of Conservation, State of Louisiana	1960	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	4/1/1960									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/114	114	115.pdf	/p16313coll45/image/115.pdf
Louisiana Conservationist	12	No. 5-6	Department of Conservation, State of Louisiana	1960	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	5/1/1960 and 6/1/1960									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/115	115	116.pdf	/p16313coll45/image/116.pdf
Louisiana Conservationist	12	No. 7, 8, and 9	Department of Conservation, State of Louisiana	1960	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	7/1/1960 and 8/1/1960 and 9/1/1960									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/116	116	117.pdf	/p16313coll45/image/117.pdf
Louisiana Conservationist	13	No. 10	Department of Conservation, State of Louisiana	1961	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	10/1/1961									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/117	117	118.pdf	/p16313coll45/image/118.pdf
Louisiana Conservationist	13	No. 11	Department of Conservation, State of Louisiana	1961	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	11/1/1961									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/118	118	119.pdf	/p16313coll45/image/119.pdf
Louisiana Conservationist	13	No. 12	Department of Conservation, State of Louisiana	1961	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	12/1/1961									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/119	119	120.pdf	/p16313coll45/image/120.pdf
Louisiana Conservationist	13	No. 1	Department of Conservation, State of Louisiana	1961	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	1/1/1961									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/120	120	121.pdf	/p16313coll45/image/121.pdf
Louisiana Conservationist	13	No. 2	Department of Conservation, State of Louisiana	1961	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	2/1/1961									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/121	121	122.pdf	/p16313coll45/image/122.pdf
Louisiana Conservationist	13	No. 3	Department of Conservation, State of Louisiana	1961	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	3/1/1961									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/122	122	123.pdf	/p16313coll45/image/123.pdf
Louisiana Conservationist	13	No. 4, 5, and 6	Department of Conservation, State of Louisiana	1961	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	4/1/1961 and 5/1/1961 and 6/1/1961									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/123	123	124.pdf	/p16313coll45/image/124.pdf
Louisiana Conservationist	1	No. 3	Department of Conservation, State of Louisiana	1948	SK 351 L62	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/124	124	125.pdf	/p16313coll45/image/125.pdf
Louisiana Conservationist	13	No. 7-8	Department of Conservation, State of Louisiana	1961	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	7/1/1961 and 8/1/1961									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/125	125	126.pdf	/p16313coll45/image/126.pdf
Louisiana Conservationist	13	No. 9	Department of Conservation, State of Louisiana	1961	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	9/1/1961									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/126	126	127.pdf	/p16313coll45/image/127.pdf
Louisiana Conservationist	14	No. 1	Department of Conservation, State of Louisiana	1962	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/127	127	128.pdf	/p16313coll45/image/128.pdf
Louisiana Conservationist	14	No. 2	Department of Conservation, State of Louisiana	1962	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/128	128	129.pdf	/p16313coll45/image/129.pdf
Louisiana Conservationist	14	No. 3	Department of Conservation, State of Louisiana	1962	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/129	129	130.pdf	/p16313coll45/image/130.pdf
Louisiana Conservationist	1	No. 4	Department of Conservation, State of Louisiana	1948	SK 351 L62	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/130	130	131.pdf	/p16313coll45/image/131.pdf
Louisiana Conservationist	14	No. 4	Department of Conservation, State of Louisiana	1962	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/131	131	132.pdf	/p16313coll45/image/132.pdf
Louisiana Conservationist	14	No. 5-6	Department of Conservation, State of Louisiana	1962	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/132	132	133.pdf	/p16313coll45/image/133.pdf
Louisiana Conservationist	14	No. 7-8	Department of Conservation, State of Louisiana	1962	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/133	133	134.pdf	/p16313coll45/image/134.pdf
Louisiana Conservationist	14	No. 9-10	Department of Conservation, State of Louisiana	1962	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/134	134	135.pdf	/p16313coll45/image/135.pdf
Louisiana Conservationist	15	No. 1-2	Department of Conservation, State of Louisiana	1963	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/135	135	136.pdf	/p16313coll45/image/136.pdf
Louisiana Conservationist	15	No. 3-4	Department of Conservation, State of Louisiana	1963	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/136	136	137.pdf	/p16313coll45/image/137.pdf
Louisiana Conservationist	1	No. 5	Department of Conservation, State of Louisiana	1949	SK 351 L62	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	1/1/1949									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/137	137	138.pdf	/p16313coll45/image/138.pdf
Louisiana Conservationist	15	No. 5-6	Department of Conservation, State of Louisiana	1963	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/138	138	139.pdf	/p16313coll45/image/139.pdf
Louisiana Conservationist	15	No. 7-8	Department of Conservation, State of Louisiana	1963	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/139	139	140.pdf	/p16313coll45/image/140.pdf
Louisiana Conservationist	15	No. 9-10	Department of Conservation, State of Louisiana	1963	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/140	140	141.pdf	/p16313coll45/image/141.pdf
Louisiana Conservationist	16	No. 1-2	Department of Conservation, State of Louisiana	1964	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/141	141	142.pdf	/p16313coll45/image/142.pdf
Louisiana Conservationist	16	No. 3-4	Department of Conservation, State of Louisiana	1964	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/142	142	143.pdf	/p16313coll45/image/143.pdf
Louisiana Conservationist	1	No. 6	Department of Conservation, State of Louisiana	1949	SK 351 L62	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	2/1/1949									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/143	143	144.pdf	/p16313coll45/image/144.pdf
Louisiana Conservationist	16	No. 5-6	Department of Conservation, State of Louisiana	1964	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/144	144	145.pdf	/p16313coll45/image/145.pdf
Louisiana Conservationist	16	No. 7-8	Department of Conservation, State of Louisiana	1964	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/145	145	146.pdf	/p16313coll45/image/146.pdf
Louisiana Conservationist	16	No. 9-10	Department of Conservation, State of Louisiana	1964	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/146	146	147.pdf	/p16313coll45/image/147.pdf
Louisiana Conservationist	17	No. 1-2	Department of Conservation, State of Louisiana	1965	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.	1/1/1965 and 2/1/1965									2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/147	147	148.pdf	/p16313coll45/image/148.pdf
Louisiana Conservationist	17	No. 3-4	Department of Conservation, State of Louisiana	1965	SK 351 L6	Wildlife conservation--Louisiana--Periodicals.; Natural resources--Louisiana--Periodicals.; Wildlife conservation--Periodicals.; Conservation of natural resources--Louisiana--Periodicals.	New Orleans, La. : Dept. of Conservation	The Louisiana Conservationist magazine, published by the Louisiana Department of Wildlife and Fisheries, is dedicated to the conservation and restoration of Louisiana's natural resources. The first issue was published in 1923 and recent issues are available online via www.louisianaconservationist.org. Additional titles of the same magazine include: Louisiana Conservationist News, Louisiana Game Fur and Fish, and Louisiana Conservationist Review.	This document is in the public domain.										2013-07-23	2013-07-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll45/id/148	148	149.pdf	/p16313coll45/image/149.pdf
