Title	Compound	Photographer	Date	Dates	Subjects	Notes	Original Format/Size	Physical Description	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Digital Size	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Armand Tokatyan.		Unknown	1930		Singers--Portrait photographs.;Tokatyan, Armand--Portrait photographs.;Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.	Autographed studio portrait in costume.	Gelatin silver prints;9.00" x 12.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1884 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650023	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/21	21	22.jpg	/LSU_LHC/image/22.jpg
Gertrud Wettergren.		Unknown	Unknown		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Wettergren, Gertrud--Portrait photographs.	Autographed studio portrait.	Gelatin silver prints;9.25" x 11.75"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2059 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650024	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/22	22	23.jpg	/LSU_LHC/image/23.jpg
Clarence Whitehill.		Mishkin (New York, N. Y.)	1926		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Whitehill, Clarence, 1871-1932--Portrait photographs.;Mishkin (New York, N. Y.)	Autographed studio portrait in costume.	Gelatin silver prints;7.25" x 9.25"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2029 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650025	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/23	23	24.jpg	/LSU_LHC/image/24.jpg
Unidentified man in top hat.		Mishkin (New York, N. Y.)	1917		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Mishkin (New York, N. Y.)	Autographed studio portrait.	Gelatin silver prints;4.25" x 8.50"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1492 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650026	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/24	24	25.jpg	/LSU_LHC/image/25.jpg
Jose Mojica.		Unknown	1926		Opera--United States--History--Portrait prints.;Musicians--Portrait prints.;Singers--Portrait prints.;Mojica, Jose, 1896-1974--Portrait prints.;Carl Bohnen--Portrait photographs.	Autographed print from drawing, signed Carl Bohnen.	Planographic prints;8.00" x 10.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2082 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650027	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Planographic Prints	Image		2005-10-26	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/25	25	26.jpg	/LSU_LHC/image/26.jpg
Unidentified woman in costume.		V. Labully (Aix-les-Bains, France)	1932		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;V. Labully (Aix-les-Bains, France)	Autographed studio portrait in costume of "Ariane et Barbe-Bleue."	Gelatin silver prints;5.50" x 7.50" (Oval)		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1834 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650028	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/26	26	27.jpg	/LSU_LHC/image/27.jpg
Unidentified man with dog.		A. Louvois (Bruxelles, Belgium)	1927		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;A. Louvois (Bruxelles, Belgium)	Autographed postcard.	Postcards;3.50" x 5.50"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1641 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650029	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Postcards	Image		2005-10-26	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/27	27	28.jpg	/LSU_LHC/image/28.jpg
Pasquale Amato.		Adolfo Erminir (Milan, Italy)	Unknown		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Amato, Pasquale--Portrait photographs.;Louisiana State University (Baton Rouge, La.)--Faculty--Portrait photographs.;Adolfo Erminir (Milan, Italy)	Studio portrait costumed as Columbus.	Gelatin silver prints;10.50" x 15.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1805 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650031	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/28	28	29.jpg	/LSU_LHC/image/29.jpg
Michael Bohnen.		Binder (Berlin, Germany)	1925		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Bohnen, Michael--Portrait photographs.;Binder (Berlin, Germany)	Autographed studio portrait.	Gelatin silver prints;6.00" x 8.25"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1891 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650032	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/29	29	30.jpg	/LSU_LHC/image/30.jpg
Lucrezia Bori.		Unknown	1926		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Bori, Lucrezia, 1887-1960--Portrait photographs.	Autographed studio portrait in costume.	Gelatin silver prints;11.00" x 14.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1883 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650033	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/30	30	31.jpg	/LSU_LHC/image/31.jpg
Ana Bourskaya.		Mishkin (New York, N. Y.)	1926		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Bourskaya, Ana--Portrait photographs.;Mishkin (New York, N. Y.)	Autographed studio portrait in costume.	Gelatin silver prints;10.25" x 13.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1983 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650034	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/31	31	32.jpg	/LSU_LHC/image/32.jpg
Beniamino Gigli.		Mishkin (New York, N. Y.)	1923		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Gigli, Beniamino, 1890-1957--Portrait photographs.;Mishkin (New York, N. Y.)	Autographed studio portrait.	Gelatin silver prints;10.50" x 14.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1974 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650035	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/32	32	33.jpg	/LSU_LHC/image/33.jpg
Jeanne Gordon.		Unknown	1926		Opera--United States--History--Portrait photographs.;Musicians--Portrait Photographs.;Singers--Portrait Photographs.;Gordon, Jeanne--Portrait photographs.	Autographed studio portrait.	Gelatin silver prints;10.75" x 13.75"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2073 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650036	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/33	33	34.jpg	/LSU_LHC/image/34.jpg
Nanette Guilford.		Unknown	1923		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Guilford, Nanette, 1903-1990--Portrait photographs.	Autographed Studio portrait in costume.	Gelatin silver prints;10.00" x 13.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1995 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650037	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/34	34	35.jpg	/LSU_LHC/image/35.jpg
Hope Hampton.		G. I. Boris (New York, N. Y.)	1928		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Hampton, Hope--Portrait photographs.;G. I. Boris (New York, N. Y.)	Autographed studio portrait.	Gelatin silver prints;11.00" x 14.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2005 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650038	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/35	35	36.jpg	/LSU_LHC/image/36.jpg
Sammy Lee.		Apeda (New York, N. Y.)	1926		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Lee, Sammy, 1890-1968--Portrait photographs.;Apeda (New York, N. Y.)	Autographed studio portrait.	Gelatin silver prints;11.00" x 14.00"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2040 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650039	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/36	36	37.jpg	/LSU_LHC/image/37.jpg
Antonio Scotti.		Unknown	1926		Opera--United States--History--Portrait prints.;Musicians--Portrait prints.;Singers--Portrait prints.;Scotti, Antonio, 1866-1936--Portrait prints.	Autographed studio print in costume.	Planographic prints;12.50" x 16.50"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1838 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650040	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Planographic Prints	Image		2005-10-26	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/37	37	38.jpg	/LSU_LHC/image/38.jpg
Lily Pons.	Yes	Carlo Edwards (New York, N.Y.)	1931		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Pons, Lilly, 1898-1976--Portrait photographs.;Carlo Edwards (New York, N.Y.)	Autographed studio portrait in costume.  Additional manuscript note on verso.	Gelatin silver prints;7.50" x 9.75"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2015 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650012r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/38	38	39.jpg	/LSU_LHC/image/39.jpg
Lily Pons.	Yes	Carlo Edwards (New York, N.Y.)	1931		Opera--United States--History--Portrait photographs.;Musicians--Portrait photographs.;Singers--Portrait photographs.;Pons, Lilly, 1898-1976--Portrait photographs.;Carlo Edwards (New York, N.Y.)	Autographed studio portrait in costume.  Additional manuscript note on verso.	Gelatin silver prints;7.50" x 9.75"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	2008 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650012v	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/39	39	40.jpg	/LSU_LHC/image/40.jpg
Ambrogio Thomas.	Yes	Unknown	Unknown		Opera--United States--History--Portrait photographs.;Musicians--Portrait Photographs.;Singers--Portrait photographs.;Thomas, Ambroise, 1811-1896.	Autographed studio portrait in costume on postcard. Manuscript note on verso.	Postcards;3.50" x 5.50"		Louis Hasselmans Papers	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Louis Hasselmans Papers (Mss. 865).	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/0865.inv.pdf	1680 ppi x 2560 ppi	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louis Hasselmans Papers (Mss. 865), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	08650021r	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_LHC.php?CISOROOT=/LSU_LHC	Gelatin Silver Prints	Image		2005-10-26	2005-10-26	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_LHC/id/40	40	41.jpg	/LSU_LHC/image/41.jpg
