Title	Creator	Contributors	Date	Dates	Physical Description	Notes	Language	Type	Subjects	Coverage	Digital Collection	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Digital Format	Digital Reproduction Information	Item Number	Item URL	Collection URL	Cataloged Date / Cataloger Initials	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
South Baton Rouge, La., 1905.	Hart, R. A. (Robert)	Swart, Reinier, Sr., 1845-1917.	1905		Map	Full title from title block: 'Map of South Baton Rouge, laid out by Robert A. Hart. Surveyed by R Swart. 1905.' Laid out in 43 squares of numbered lots. Bounded on the north by Squares 1-4 on the north part of Washington Street; to the south by Monroe Street; to the east by Missouri Street; and to the west by the corporation line.  Some discoloration and damage from age and folding. Later number written in felt-tipped pen on bottom left of map: 'Key 36-$-9.' Scale: 1:2400.	English	Image	Historic neighborhoods--Baton Rouge (La.)--Maps.; Baton Rouge (La.)--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i12_South Baton Rouge 2	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/134	134	135.jp2	/p16313coll57/image/135.jp2
St. James Parish, La : southeastern district.			unknown		Map.	Undated map of properties and landowners in St. John the Baptist Parish, Louisiana. No scale given.	English	Image	Real property--Louisiana--St. John the Baptist Parish--Surveys.; Landowners--Louisiana--St. John the Baptist Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i11_South Eastern District	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/14/2014		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/135	135	136.jp2	/p16313coll57/image/136.jp2
St. James Parish, La. survey.			unknown		Map.	Undated survey map of St. James Parish, Louisiana. Shows many landowners' names. Scale not given.	English	Image	Real property--Louisiana--St. James Parish--Surveys.; Landowners--Louisiana--St. James Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i09_St James Parish	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/14/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/136	136	137.jp2	/p16313coll57/image/137.jp2
St. John the Baptish Parish, La., 1856.			1856		Map.	Cadastral survey of lands and landowners in St. John the Baptist Parish, Louisiana. Oriented with north at top of map. Portions of map creased, spotted, and torn from age. Some text illegible.	French	Image	Real property--Louisiana--St. John the Baptist Parish--Surveys.; Landowners--Louisiana--St. John the Baptist Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i25_St John Parish 1856	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/19/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/137	137	138.jp2	/p16313coll57/image/138.jp2
Steamboat Landing, Baton Rouge, La.			unknown		Map : hand drawn and colored.	Scale not given. Undated. Shows some owners' names, street names, and a few buildings. Gives some dimensions. Oriented east, with Mississippi River to the west (at bottom of map), Lafayette Street to the east, Florida Street to the north, and North Boulevard and the State House Grounds to the south. Steamboat Landing is shown due east of the Mississippi River, just west of Front Street. Pen-and-ink, blue and red crayon; annotated in pencil.	English	Image	Baton Rouge (La.)--Maps.; Louisiana--East Baton Rouge Parish--Maps.; Real property--Louisiana--Baton Rouge--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i07_Steamboat Landing	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/16/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/138	138	139.jp2	/p16313coll57/image/139.jp2
Street plan, North Boulevard intersection, Baton Rouge, La, 1930.	Swart, Reinier, Jr., 1885-1967.		1930		Map.	Street plan showing intersection of North Boulevard with Royal and St. Hypolite Streets; St. Napoleon and St. Anthony Streets; and  St. Joseph and Eighth Streets in downtown Baton Rouge. Oriented with north toward top of map. Scale 1:240.	English	Image	Streets--Louisiana--Baton Rouge--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i06_Street_plan	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/139	139	140.jp2	/p16313coll57/image/140.jp2
Sub-road District No. 1, East Baton Rouge Parish, La., 1926.	Swart, Reinier, Jr., 1885-1967.		1926		Map.	Map of Sub-Road District No. 1 of Road District No. 1, Sixth, Seventh, and Ninth Wards, East Baton Rouge Parish, Louisiana. Scale 1:63,360.	English	Image	Roads--Louisiana--East Baton Rouge Parish--Design and construction--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i05_Sub-road_District	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/19/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/142	142	143.jp2	/p16313coll57/image/143.jp2
Suburb Abramson broadside , 1907, c.2.	Swart, Reinier, Sr., 1845-1917.		1907		Map.	Map of planned community of Easy Street. Property owned by Abe Abramson, and subdivided into 10 blocks of numbered lots. Oriented north. Bounded by Claire Street on the north; Phelps Street on the south; LeJeune Street on the east; and Morrison Street to the west.  At head of page: ‘Lots for sale on Easy Street.’  Title block: ‘Suburb Abramson, Baton Rouge, Louisiana. Owned by Abe Abramson, Baton Rouge, La. Subdivided by R. Swart, January, 1907.’  At bottom of page: ‘Abe Abramson, Cor. Boulevard and Third Street, Baton Rouge, La. References: Bank of Baton Rouge; Louisiana State Bank.’  Panel on far right side of map contains advertising copy for Easy Street lots. No scale given.	English	Image	Historic neighborhoods--Baton Rouge (La.)--Maps.; Land subdivision--Louisiana--Baton Rouge--Maps.; Landowners--Louisiana--East Baton Rouge Parish--Maps.; Broadsides--Louisiana--Baton Rouge--Maps.; Abramson, Abe, 1863-1918.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i29_Suburb Abramson 2	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/29/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/143	143	144.jp2	/p16313coll57/image/144.jp2
Suburb Istrouma, Feb. 11, 1927.	Swart, Reinier, Jr., 1885-1967.		1927		Map.	Survey map of Istrouma suburb, Baton Rouge, Louisiana. Oriented north. Scale 1:2,400.	English	Image	Real property--Louisiana--East Baton Rouge Parish--Surveys.; Land subdivision--Louisiana--Baton Rouge--Maps.; Neighborhoods--Louisiana--Baton Rouge--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i12_Suburb_Istrouma_Feb_11_1927	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/144	144	145.jp2	/p16313coll57/image/145.jp2
Survey map of South Baton Rouge.			unknown		Map.	Undated cadastral map showing properties and landowners in Baton Rouge, Louisiana, between Highland Road, East Boulevard, and Railroad Street. Heavily annotated in black and red ink. Creased, faded, and torn from age. Scale 1:6096.	English	Image	Real property--Louisiana--Baton Rouge--Surveys.; Landowners--Louisiana--Baton Rouge--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 10	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f10i01_Map	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/147	147	148.jp2	/p16313coll57/image/148.jp2
Survey map of Tract T-3-S, R-1-E, East Feliciana Parish, Louisiana.			1936?		Map.	Undated map of East Feliciana Parish area, bounded on the east by Redwood Creek; and on the north by lands leased to the East Louisiana State Hospital. Gives names of some landowners. No scale given.	English	Image	East Feliciana Parish (La.)--Maps.; Real property--Louisiana--East Feliciana Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i25_T3S_R1E	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/148	148	149.jp2	/p16313coll57/image/149.jp2
Survey map of unknown lake and vicinity, Louisiana.			unknown		Map.	Undated map showing numbered blocks subdivided into unnumbered lots in unknown community. Much identifying information lacking. Only landmarks are University Ave., Landry Rd., a park south of Landry Rd.; a boat landing in center of map; and a large lake in north portion of map. Oriented with north down and toward the right.. Scale not given.	English	Image	Louisiana--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i30_Lake	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/29/2014		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/149	149	150.jp2	/p16313coll57/image/150.jp2
Survey map, Tract T-5-S, East Baton Rouge Parish, Louisiana.			1936?		Map.	Undated cadastral map of northern East Baton Rouge Parish, from the Comite River on the east; to the City of Baker on the west; to Zachary on the north. Gives property owners' names and lot sizes.  No scale given.	English	Image	Real property--Louisiana--East Baton Rouge Parish--Maps.; Landowners--Louisiana--East Baton Rouge Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i24_T5S	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/150	150	151.jp2	/p16313coll57/image/151.jp2
Survey of Convention Street area, Baton Rouge, La.			unknown		Map.	Image extremely faded, with most of lettering unreadable. Most lots numbered, and some owners' names readable, e.g., Waller, Davis, Jackson, Washington, Brown. Heavily annotated in pencil. Street names 7th-15th are readable. Western and eastern boundaries are 7th and 15th Streets, respectively. Convention Street appears to be the southern boundary. Undated; no scale given.	English	Image	Baton Rouge (La.)--History--Maps.; Real property--Louisiana--Baton Rouge--Surveys.;  Landowners--Baton Rouge (La.)--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i21_Convention	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/29/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/153	153	154.jp2	/p16313coll57/image/154.jp2
Survey of downtown Donaldsonville, La.			unknown		Map	Map showing streets and some properties in Donaldsonville, La. Oriented southeast. Bounded by Opelousas Street to the north; Williams Street, the Protestatnt Cemetery and Jesuit Cemetery on the south; St. Patrick Sttreet on the west; and St. Vincent Street on the east.  Heavily annotated in pencil and ink.  No scale given. Undated.	English	Image	Donaldsonville (La.)--Maps.; Ascension Parish (La.)--Maps.; Streets--Louisiana--Donaldsonville--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 02	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f02i26_St Vincent	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	09/29/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/154	154	155.jp2	/p16313coll57/image/155.jp2
Survey of property belonging to the Messers Kerman, East Baton Rouge Parish, Louisiana.			unknown		Map.	Survey of the area known as Bernard Plantation. Undated. 'Survey for Messers Kernan and Woodside ... situated about 3/4 of a mile east of the city of Baton Rouge La. Bounded south and west by the Claycut Road, north by 40 foot road forming the extension of Government Street and east by public road connecting said two roads. This tract contains 238 1/2 arpents which is equal to 202 acres.'--Surveyor's note.	English	Image	Real property--Louisiana--East Baton Rouge Parish--Surveys.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 03	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f03i03_Survey of Messeys Keyman	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/01/2014 rlh		2014-10-31	2015-04-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/155	155	156.jp2	/p16313coll57/image/156.jp2
Survey of Roseland Terrace and Garden District, Baton Rouge, La.	Swart, Reinier, Sr., 1845-1917.		1898? - 1918?	1898;  1899;  1900;  1901;  1902;  1903;  1904;  1905;  1906;  1907;  1908;  1909;  19010;  1911;  1912;  1913;  1914;  1915;  1916;  1917;  1918	Map.	Cadastral map of properties in South Baton Rouge, in area now called Roseland Terrace and the Garden District,  Oriented with north at top of map. Bounded on the west by Maximilian Street; on the east by S. 22nd Street; on the south by Myrtle Avenue; and on the north by the block due north of Government Street. Looking north.  Shows names of some landowners.  'Property of R. Swart - Civil Engineer, 708 East Blvd., Tel. 2-3382.'--Bottom of map.   Later names of some streets handwritten in red ink beside previous name: 'S. 10th St. (prev. 'Day Street'); S. 11th St. (prev. 'Mamie Street'); S. 12th St. (prev. 'Plum Street'); S. 13th St. (prev. 'Fannie Street'); S. 15th St. (prev. 'Feleciana [i.e., 'Feliciana'] Street'); S. 16th St. (prev. 'Middle Highland Road'); S. 17th St. (prev. 'Bryant Ave.'); Park Blvd. (prev. 'Golden Rod Blvd.').	English	Image	Real property--Louisiana--East Baton Rouge Parish--Maps.; Landowners--Louisiana--East Baton Rouge Parish--Maps.; Swart, R. (Reiner).		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 01	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3542ra104f01i10_Property of R. Swart	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	08/25/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/156	156	157.jp2	/p16313coll57/image/157.jp2
Survey of St. James Parish, east of Mississippi River, 1851 a.	Warren, V. A.		1851		Map.	Map of properties on east bank of Mississippi River in St. James Parish, Louisiana. Shows property lines and landowners' names. Scale 1:7920 (1 inch  = 10 chains).	English	Image	Real property--Louisiana--St. James Parish--Surveys.; Landowners--Louisiana--St. James Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 04	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f04i07_St James Parish E of R a	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/14/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/157	157	158.jp2	/p16313coll57/image/158.jp2
Survey of T. L. Mills and Delambre properties, East Feliciana Parish, La., 1928.	Young, T. W. (Surveyor)		1928		Map.	Survey map of East Feliciana properties of T. L. Mills and the heirs of Amedee Delambre. Scale not given.	English	Image	Real property--Louisiana--East Feliciana Parish--Surveys.; Landowners--Louisiana--East Feliciana Parish--Maps.		William Waller Survey Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/3592m.pdf	Range 104, folder 08	William Waller Survey Collection, Mss.  3592, 3910, 4326, Louisiana and  Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Access to unprocessed collections requires the permission of the curator, subject to   Special Collections’  Policy on Access to Unprocessed Collections   (http://www.lib.lsu.edu/special/about/unprocessed.html)	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering  reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the “Item number” or “Item URL” in your request.	JPEG	Digitized using a Canon EOS 5D Mark II.	3592ra104f08i18_TL_Mills_Delambree_Place	See 'reference URL' in the navigation bar.	http://www.louisianadigitallibrary.org/cdm/landingpage/collection/p16313coll57	10/17/2014 rlh		2014-10-31	2015-04-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll57/id/158	158	159.jp2	/p16313coll57/image/159.jp2
