Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Walter Savage Landor	No	none	unknown	J. Sartain, Engraver	Authors, English--19th century--Pictorial works.; Landor, Walter Savage, 1775-1864--Pictorial works.	03490034	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/32	32	33.jpg	/SartainEngravings/image/33.jpg
A. Lincoln 16th President of the United States.	No	none	unknown	Perine & Giles, Engravers	Presidents--United States--19th century--Pictorial works.; Politicians--United States--19th century--Pictorial works.; Lincoln, Abraham, 1809-1865--Pictorial works	03490035	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/33	33	34.jpg	/SartainEngravings/image/34.jpg
J. G. Lockhart	No	none	unknown	S. Sartain, Engraver	Authors, Scottish--19th century--Pictorial works.; Lockhart, J. G. (John Gibson), 1794-1854--Pictorial works.	03490036	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/34	34	35.jpg	/SartainEngravings/image/35.jpg
Louis XVI Threatened by the Mob on Their Visit to the Tuileries	No	none	unknown	John Sartain, Engraver	France--History--18th century--Pictorial works.; Louis XVI, King of France, 1754-1793--Pictorial works.	03490037	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/35	35	36.jpg	/SartainEngravings/image/36.jpg
A. A. Low, President of the New York Chamber of Commerce.	No	none	unknown	Perine & Giles, Engravers	Businessmen--United States--19th century--Pictorial works.; Low, A. A. (Abiel Abbot), 1811-1893--Pictorial works.	03490038	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/36	36	37.jpg	/SartainEngravings/image/37.jpg
Sir Charles Lyell.	No	none	unknown	Geo. E. Perine, Engraver	Geologists--England--19th century--Pictorial works.; Lyell, Charles, Sir, 1797-1875--Pictorial works.	03490039	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/37	37	38.jpg	/SartainEngravings/image/38.jpg
Lord Lyndhurst	No	none	unknown	John Sartain, Engraver	Politicians--England--19th century--Pictorial works.; Lyndhurst, John Singleton Copley, Baron, 1772-1863--Pictorial works.	03490040	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/38	38	39.jpg	/SartainEngravings/image/39.jpg
Lord  Macaulay	No	none	unknown	Geo. E. Perine, Engraver	Authors, English--19th century--Pictorial works.; Politicians--England--19th century--Pictorial works.; Macaulay, Thomas Babington Macaulay, Baron, 1800-1859--Pictorial works.	03490041	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/39	39	40.jpg	/SartainEngravings/image/40.jpg
The Grand Duchess Marie, Leuchtenberg	No	none	unknown	Perine & Giles, Engravers	Royal houses--19th century--Pictorial works.	03490042	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/40	40	41.jpg	/SartainEngravings/image/41.jpg
Mary Russell Mitford	No	none	unknown	Sartain, Engraver	Authors, English--19th century--Pictorial works.; Mitford, Mary Russell, 1787-1855--Pictorial works.	03490043	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/41	41	42.jpg	/SartainEngravings/image/42.jpg
The Morning of the 18th. Brumaire	No	Depicted individuals are identified.	unknown	Sartain, Engraver	France--History--19th century--Pictorial works.	03490044	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/42	42	43.jpg	/SartainEngravings/image/43.jpg
Prof. Samuel F. B. Morse. Inventor of the Magnetic Telegraph	No	none	unknown	John Sartain, Engraver	Inventors--United States--19th century--Pictorial works.; Morse, Samuel Finley Breese, 1791-1872--Pictorial works.	03490045	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/43	43	44.jpg	/SartainEngravings/image/44.jpg
The Kremlin of Moscow	No	none	unknown	Perine & Giles, Engravers	Kremlin (Moscow, Russia)--Pictorial works.	03490046	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/44	44	45.jpg	/SartainEngravings/image/45.jpg
Sir R. Murchison.  President of the Royal Geographical Society.	No	none	unknown	Geo. E. Perine, Engraver	Geologists--Scotland--19th century--Pictorial works.; Murchison, Roderick Impey, Sir, 1792-1871--Pictorial works.	03490047	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/45	45	46.jpg	/SartainEngravings/image/46.jpg
Napoleon Inducing Pope Pius VII to Sign the Concordat.	No	none	unknown	John Sartain, Engraver	Napoleon I, Emperor of the French, 1769-1821--Pictorial works.; Pius VII, Pope, 1742-1823--Pictorial works.	03490049	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 3/4"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/47	47	48.jpg	/SartainEngravings/image/48.jpg
Nicholas, Emperor of Russia.	No	none	unknown	John Sartain, Engraver	Kings and rulers--Russia--19th century--Pictorial works.; Nicholas I, Emperor of Russia, 1796-1855--Pictorial works.	03490050	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/48	48	49.jpg	/SartainEngravings/image/49.jpg
Honble. Mrs. Norton.	No	none	unknown	J. Sartain, Engraver	Authors, American--19th century--Pictorial works.; Norton, Caroline Sheridan, 1808-1877--Pictorial works.	03490051	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/49	49	50.jpg	/SartainEngravings/image/50.jpg
Miss Pardoe.	No	none	unknown	J. Sartain, Engraver	Authors, English--19th century--Pictorial works.; Pardoe, Miss (Julia), 1806-1862--Pictorial works.	03490052	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/50	50	51.jpg	/SartainEngravings/image/51.jpg
Dom Pedro II. Emperor of Brazil.	No	none	unknown	John Sartain, Engraver	Kings and rulers--Brazil--19th century--Pictorial works.; Pedro II, Emperor of Brazil, 1825-1891--Pictorial works.	03490053	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/51	51	52.jpg	/SartainEngravings/image/52.jpg
George Peabody  Banker of London	No	none	unknown	Geo. E. Perine, Engraver	Bankers--England--19th century--Pictorial works.; Philanthropists--United States--19th century--Pictorial works.; Peabody, George, 1795-1869--Pictorial works.	03490054	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/52	52	53.jpg	/SartainEngravings/image/53.jpg
Sir Morton Peto, Bart.	No	none	unknown	Perine & Giles, Engravers	Contractors--England--19th century--Pictorial works.; Peto, S. Morton (Samuel Morton), Sir, 1809-1889--Pictorial works.	03490055	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/53	53	54.jpg	/SartainEngravings/image/54.jpg
H. R. H. Albert, Prince of Wales	No	none	unknown	John Sartain, Engraver	Kings and rulers--England--19th century--Pictorial works.; Edward VII, King of Great Britain, 1841-1910--Pictorial works.	03490056	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/54	54	55.jpg	/SartainEngravings/image/55.jpg
Her Majesty the Queen of Prussia	No	none	unknown	Geo. E. Perine, Engraver	Queens--Germany (Prussia)--19th century--Pictorial works.	03490057	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/55	55	56.jpg	/SartainEngravings/image/56.jpg
Sir Henry Rawlings, Bart.	No	none	unknown	Perine & Giles, Engravers	Diplomats--England--19th century--Pictorial works.; Rawlinson, Henry Creswicke, Sir, 1810-1895--Pictorial works.	03490058	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/56	56	57.jpg	/SartainEngravings/image/57.jpg
Lord Viscount Stratford De Redcliffe	No	none	unknown	Geo. E. Perine, Engraver	Diplomats--England--19th century--Pictorial works.; Stratford de Redcliffe, Stratford Canning, 1st. Viscount, 1786-1880--Pictorial works.	03490059	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/57	57	58.jpg	/SartainEngravings/image/58.jpg
Lord John Russell	No	none	unknown	Sartain, Engraver	Politicians--England--19th century--Pictorial works.; Russell, John Russell, Earl, 1792-1878--Pictorial works.	03490060	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/58	58	59.jpg	/SartainEngravings/image/59.jpg
John Sartain	No	none	unknown	Henry Sartain, Engraver	Engravers--United States--19th century--Pictorial works.; Sartain, John, 1808-1897--Pictorial works.	03490061	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/59	59	60.jpg	/SartainEngravings/image/60.jpg
Sir Walter Scott and His Literary Friends at Abbotsford	No	Depicted individuals are identified.	unknown	J. Sartain, Engraver	Authors, Scottish--19th century--Pictorial works.; Scott, Walter, Sir, 1771-1832--Pictorial works.	03490062	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 3/8" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/60	60	61.jpg	/SartainEngravings/image/61.jpg
The Earl of Shaftesbury.  President of the British and Foreign Bible Society.	No	none	unknown	John Sartain, Engraver	Politicians--England--19th century--Pictorial works.; Shaftesbury, Anthony Ashley Cooper, Earl of, 1801-1885--Pictorial works.	03490063	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/61	61	62.jpg	/SartainEngravings/image/62.jpg
Goldwin Smith, Regius Professor of Modern History in the University of Oxford.	No	none	unknown	Geo. E. Perine, Engraver	Historians--England--19th century--Pictorial works; Smith, Goldwin, 1823-1910--Pictorial works.	03490064	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/62	62	63.jpg	/SartainEngravings/image/63.jpg
Rev. Sydney Smith.	No	none	unknown	John Sartain, Engraver	Clergy--England--19th century--Pictorial works.; Smith, Sydney, 1771-1845--Pictorial works.	03490065	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 11 7/8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/63	63	64.jpg	/SartainEngravings/image/64.jpg
The Discoverers of the Source of the Nile.	No	Depiction of John Hanning Speke and James Augustus Grant.	unknown	Geo. E. Perine, Engraver	Explorers--England--19th century--Pictorial works.; Speke, John Hanning, 1827-1864--Pictorial works.; Grant, James Augustus, 1827-1892--Pictorial works.	03490066	Perine - Giles - Sartain Engravings	jpg	640 x 480	Engravings; 9 1/2" x 12"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Perine-Giles-Sartain Engravings, Mss. 03490002-03490077, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-15	2005-11-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/SartainEngravings/id/64	64	65.jpg	/SartainEngravings/image/65.jpg
