Title	Series	Photographer	Date	Description of Original	Notes	Type	Subjects	Digital Collection	Repository	Shelving Location	Cite As	Restrictions	Contact and Ordering Information	Item URL	Collection URL	Digital Reproduction Information	Image ID (from Finding Aid)	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Loading logs onto rail car for transport to the mill.	Logging	Lytle, Andrew David, 1834-1917.	1881? - 1910?	Photograph : albumen print	'Logging in forests and lowlands is always a difficult proposition. Temporary narrow-gauge railroads had to be constructed to bring the raw materials from the source to the mill. Here, logs were floated in a bayou to a rail loading point.'   Mark E. Martin, in Andrew D. Lytle’s Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 102.	Still Image	Logging railroads--Louisiana--Photographs; Timber--Louisiana--Photographs; Loggers--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-194		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/512	512	513.jp2	/p15140coll12/image/513.jp2
United State Army artillery at the United State Army garrison sometime during the Federal occupation that began in 1862.	Civil War	Lytle, Andrew David, 1834-1917.	1861? - 1865?	Photograph : albumen print		Still Image	United States. Army--Artillery--Photographs; Louisiana State University and Agricultural and Mechanical College--Photographs; Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-195		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/513	513	514.jp2	/p15140coll12/image/514.jp2
Tugboat 'Ivy,' part of the Fisher & Wood Coal Company, on the Mississippi River.	Towboats	Lytle, Andrew David, 1834-1917.	1899? - 1910?	Photograph : albumen print	'The tugboat Ivy was owned by Fisher and Wood. Ivy and Mamie Wood have similar iconographic devices on the roof of their pilothouses. A John D. Fisher is listed in the 1899 Baton Rouge city directory as the proprietor of the Baton Rouge Gas Works' – Mark E. Martin, in Andrew D. Lytle's Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 116.	Still image	Ivy (Tugboat)--Photographs; Tugboats--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-196		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/514	514	515.jp2	/p15140coll12/image/515.jp2
An unidentified United States Navy gunboat off Baton Rouge.	Civil War	Lytle, Andrew David, 1834-1917.	1899? - 1910?	Photograph : albumen print		Still Image	Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs.; Armored vessels--Louisiana--Baton Rouge--Photographs; Gunboats--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-197		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/515	515	516.jp2	/p15140coll12/image/516.jp2
An unidentifed farm complex showing the main house and various out-buildings.	Plantations	Lytle, Andrew David, 1834-1917.	1900?	Photograph : albumen print		Still Image	Agriculture--Louisiana--Photographs.; Landscape photography--Louisiana.; Farm buildings--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-198		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/516	516	517.jp2	/p15140coll12/image/517.jp2
Fire hose carriage belonging to an unidentified fire company.	Firemen	Lytle, Andrew David, 1834-1917.	1885? - 1910?	Photograph : albumen print		Still Image	Fire departments--Equipment and supplies--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-199		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/517	517	518.jp2	/p15140coll12/image/518.jp2
Abandoned mill somewhere in the vicinity of Baton Rouge.		Lytle, Andrew David, 1834-1917.	1900?	Photograph : albumen print		Still Image	Ruins, Modern--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-200		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/518	518	519.jp2	/p15140coll12/image/519.jp2
Unidentified United States Navy gunboat off Baton Rouge.	Civil War	Lytle, Andrew David, 1834-1917.	1863?-1865?	Photograph : albumen print		Still Image	Baton Rouge (La.)--History--Civil War, 1861-1865--Photographs.; Armored vessels--Louisiana--Baton Rouge--Photographs; Gunboats--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-201		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/519	519	520.jp2	/p15140coll12/image/520.jp2
Pelican Hook and Ladder Company No. 1., in front of their fire house, Baton Rouge.	Firemen	Lytle, Andrew David, 1834-1917.	1885?-1900?	Photograph : albumen print		Still Image	Pelican Hook and Ladder Company (Baton Rouge, La.)--Photographs.; Fire fighters--Louisiana--Baton Rouge--Photographs; Parades--Louisiana--Baton Rouge--Photographs; Parade floats--Louisiana--Baton Rouge--Photographs; Children--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-202		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/520	520	521.jp2	/p15140coll12/image/521.jp2
Houmas House, Darrow, La.	Plantations	Lytle, Andrew David, 1834-1917.	1900?	Photograph : albumen print		Still Image	Houmas House (Darrow, La.)--Photographs.; Dwellings--Louisiana--Darrow--Photographs.; Plantations--Louisiana--Darrow--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-203		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/521	521	522.jp2	/p15140coll12/image/522.jp2
Houmas House, Darrow, La.	Plantations	Lytle, Andrew David, 1834-1917.	1900?	Photograph : albumen print	See also 1254_C-203.	Still Image	Houmas House (Darrow, La.)--Photographs.; Dwellings--Louisiana--Darrow--Photographs; Plantations--Louisiana--Darrow--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-204		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/522	522	523.jp2	/p15140coll12/image/523.jp2
An unidentified sugar plantation showing cane in the field.	Plantations	Lytle, Andrew David, 1834-1917.	1900?	Photograph : albumen print		Still Image	Sugar plantations--Louisiana--Photographs.; Sugarcane--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-205		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/523	523	524.jp2	/p15140coll12/image/524.jp2
The river steamer 'Valley Queen' loaded with cotton bales, Baton Rouge, 1890.	Steamships	Lytle, Andrew David, 1834-1917.	1890	Photograph : albumen print		Still Image	Valley Queen (Steamboat)--Photographs.; River steamers--Louisiana--Baton Rouge--Photographs.; Cotton--Transportation--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-207		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/524	524	525.jp2	/p15140coll12/image/525.jp2
Louisiana State Capitol and Baton Rouge Water Works Company pump house seen from Front Street.	Baton Rouge	Lytle, Andrew David, 1834-1917.	1890?-1900?	Photograph : albumen print		Still Image	Capitols--Louisiana--Baton Rouge--Photographs.; Waterworks--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-208		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/525	525	526.jp2	/p15140coll12/image/526.jp2
View of a warehouse complex sited on the banks of a canal or bayou with barges moored to docks.	Landscapes	Lytle, Andrew David, 1834-1917.	1890?-1900?	Photograph : albumen print		Still Image	Warehouses--Louisiana--Photographs.; Canal-boats--Louisiana--Photographs.; Waterways--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-209		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/526	526	527.jp2	/p15140coll12/image/527.jp2
Cadets on parade on LSU campus (1884-1924), Baton Rouge, La.	LSU	Lytle, Andrew David, 1834-1917.	1900?	Photograph : albumen print	'LSU cadets on parade, old LSU campus, ca. 1900. From the background it is easy to see why what is now Fourth Street used to be called Church Street' – Mark E. Martin, in Andrew D. Lytle's Baton Rouge: photographs 1863-1910, (Baton Rouge, LSU Press, 2008), p. 71.	Still image	Louisiana State University and Agricultural and Mechanical College. Corps of Cadets--Photographs; Military cadets--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-210		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/527	527	528.jp2	/p15140coll12/image/528.jp2
An unidentified sugar plantation showing cane in the field, out buildings, and fencing material.	Plantations	Lytle, Andrew David, 1834-1917.	1890?-1900?	Photograph : albumen print		Still Image	Sugar plantations--Louisiana--Photographs.; Sugarcane--Louisiana--Photographs.; Agriculture--Louisiana--Photographs.; Landscape photography--Louisiana.; Farm buildings--Louisiana--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-211		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/528	528	529.jp2	/p15140coll12/image/529.jp2
Centenary College, Jackson, Louisiana, 1885.	Jackson, La.	Lytle, Andrew David, 1834-1917.	1885	Photograph : albumen print		Still Image	Centenary College (Jackson, La.)--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-212		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/529	529	530.jp2	/p15140coll12/image/530.jp2
Washington Fire Company No. 3, with firemen's parade float, 1899.	Firemen	Lytle, Andrew David, 1834-1917.	1885?-1910?	Photograph : albumen print		Still image	Washington Fire Company Number 3 (Baton Rouge, La.)--Photographs; Parades--Louisiana--Baton Rouge--Photographs; Parade floats--Louisiana--Baton Rouge--Photographs; Fire fighters--Louisiana--Baton Rouge--Photographs; Children--Louisiana--Baton Rouge--Photographs.	'Andrew D. Lytle's Baton Rouge' Photograph Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special )	11:11	Andrew D. Lytle Collection, Mss. 893, 1254, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html . Mention the 'Item number' or 'Item URL' in your request.	See 'reference url' on the navigation bar.	Collection homepage: http://www.louisianadigitallibrary.org//cdm4/index_p15140coll12.php?CISOROOT=/p15140coll12; Related online exhibition: http://www.lib.lsu.edu/special/exhibits/e-exhibits/Lytle/index.html	Photograph : Original digitized in color using a Microtek Scanmaker 1000XL and converted from tiff to jpeg grayscale using Adobe Photoshop.	1254_C-213		2013-10-07	2013-10-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll12/id/530	530	531.jp2	/p15140coll12/image/531.jp2
