Title	Subject	Author	Date Written	Date on Item	Location	Type	Language	Author's Profession or Status	Rights	Item Number	Cite As	Source	Repository Collection	Repository	Transcription	Contact and Ordering Information	Restrictions	Item URL	Collection URL	Publisher	Contributors	Description	Notes	Format	Identifier	Relation	Coverage-Temporal	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Bernardin de Saint-Pierre letter, an 3 brumaire 9 [1794 Oct. 30]	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Saint-Pierre, Bernardin de, 1737-1814.	1794-10-30	9 brumaire III	Essonnes	lettre	fr			000030101794			TULANE 742 Lakanal, Joseph coll. Box.1 f.2	Tulane University, Louisiana Research Collection	See transcript link on the left navigation bar.	E-mail larc@tulane.edu with questions or comments. See instructions for ordering reprints of this item here: http://larc.tulane.edu/patron/copying.  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the Tulane University's Special Collections Library. Copyright is retained in accordance with U. S. copyright laws.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2010-10-28	2010-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/48	48	49.cpd	/p15140coll6/image/49.cpd
Page 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/49	49	50.jp2	/p15140coll6/image/50.jp2
Page 2	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/50	50	51.jp2	/p15140coll6/image/51.jp2
Page 3	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/51	51	52.jp2	/p15140coll6/image/52.jp2
Page 4	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/52	52	53.jp2	/p15140coll6/image/53.jp2
024404101795e_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/53	53	54.pdf	/p15140coll6/image/54.pdf
Bernardin de Saint-Pierre letter, an 3 germinal 10 [1795 Mar. 30]	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Saint-Pierre, Bernardin de, 1737-1814.	1795-03-30	10 germinal III	Essonnes	lettre	fr	littéraire		024404101795	Joseph Lankanal Papers, Mss. 244, 1312, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.		Joseph Lakanal papers, 1793-1834.	Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2010-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/54	54	55.cpd	/p15140coll6/image/55.cpd
000018131793b_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/56	56	57.pdf	/p15140coll6/image/57.pdf
Cambaceres [Cambrais] letter, 1793 Aug. 13	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803		1793-08-13	13 août 1793 l'an 2 de la Republique	Paris	lettre	fr	pdt du comité de législation de la convention nationale		000018131793			TULANE 742 Lakanal, Joseph coll. Box.1 f.1	Tulane University, Louisiana Research Collection	See transcript link on the left navigation bar.	E-mail larc@tulane.edu with questions or comments. See instructions for ordering reprints of this item here: http://larc.tulane.edu/patron/copying.  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the Tulane University's Special Collections Library. Copyright is retained in accordance with U. S. copyright laws.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2010-10-28	2010-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/57	57	58.cpd	/p15140coll6/image/58.cpd
Page 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/58	58	59.jp2	/p15140coll6/image/59.jp2
Page 2	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/59	59	60.jp2	/p15140coll6/image/60.jp2
015612031803c_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/60	60	61.pdf	/p15140coll6/image/61.pdf
Charles Gayarré commission, an 12 frimaire 11 [1803 Dec. 3]	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Laussat, Pierre-Clément de, 1756-1835.	1803-12-03	11 frimaire XII	Nelle Orléans	Brevet militaire	fr	Préfet colonial		015612031803	Charles Gayarré Papers, Mss. 156, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	U:131 box 14 fold.4 #156	Charles Gayarré papers, 1720-1895 (bulk 1845-1857).	Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-16	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/61	61	62.cpd	/p15140coll6/image/62.cpd
Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/63	63	64.pdf	/p15140coll6/image/64.pdf
Constantin-François Volney (?) letter, an 3 brumaire 14 [1794 Nov. 4]	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Volney, C.-F. (Constantin-François), 1757-1820.	1794-11-04	14 brumaire III	Nice	lettre	fr			000011041794			TULANE 742 Lakanal, Joseph coll. Box.1 f.2	Tulane University, Louisiana Research Collection	See transcript link on the left navigation bar.	E-mail larc@tulane.edu with questions or comments. See instructions for ordering reprints of this item here: http://larc.tulane.edu/patron/copying.  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the Tulane University's Special Collections Library. Copyright is retained in accordance with U. S. copyright laws.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2010-10-28	2010-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/64	64	65.cpd	/p15140coll6/image/65.cpd
Page 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/65	65	66.jp2	/p15140coll6/image/66.jp2
125708081807b_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/66	66	67.pdf	/p15140coll6/image/67.pdf
Fulwar Skipwith letter, 1807 Aug. 8	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	France. Directeur Particulier de la Liquidation Générale de la Dette Publique.	1807-08-08	8 août 1807	Paris?	liquidation dette publique	fr	fonctionnaire		125708081807	Fulwar Skipwith Letter, Mss. 1257, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.		Fulwar Skipwith letter, 1807.	Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2010-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/67	67	68.cpd	/p15140coll6/image/68.cpd
Page 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/68	68	69.jp2	/p15140coll6/image/69.jp2
259011281799b_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/69	69	70.pdf	/p15140coll6/image/70.pdf
Jean-Baptiste Drouillard passport, an 7 brumaire 19 [1798 Nov. 9]	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Letombe, Philippe Joseph, d. 1833.	1798-11-09	19 brumaire VII	Philadelphie	passeport	fr	consul de France		259011281799	Jean-Baptiste Drouillard Family Papers, Mss. 2590, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	#2590 box 1a S121 fold. 1b	Jean-Baptiste Drouillard family papers, 1787-1919 (bulk 1798-1817).	Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2010-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/70	70	71.cpd	/p15140coll6/image/71.cpd
Page 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/71	71	72.jp2	/p15140coll6/image/72.jp2
024411151795b_Transcript	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/72	72	73.pdf	/p15140coll6/image/73.pdf
Jérôme Lalande letter, an 3 brumaire 24 [1794 Nov. 14]	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803	Lalande, Joseph Jérôme Le Français de, 1732-1807.	1794-11-14	24 brumaire III	Paris	lettre	fr	astronome		024411151795	Joseph Lankanal Papers, Mss. 244, 1312, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	#244,1312	Joseph Lakanal papers, 1793-1834.	Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2010-10-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/73	73	74.cpd	/p15140coll6/image/74.cpd
Page 1	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/74	74	75.jp2	/p15140coll6/image/75.jp2
Page 2	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/75	75	76.jp2	/p15140coll6/image/76.jp2
Page 3	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/76	76	77.jp2	/p15140coll6/image/77.jp2
Page 4	Louisiana--Social life and customs--19th century; Louisiana--Economic conditions--19th century; France--History--Revolution, 1789-1799--Influence; Political culture--History--19th century; Spain--Colonies--North America; Louisiana--History--To 1803													Louisiana State University Libraries, Special Collections	See transcript link on the left navigation bar.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html  Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_p15140coll6.php?CISOROOT=/p15140coll6																						2009-10-01	2009-10-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll6/id/77	77	78.jp2	/p15140coll6/image/78.jp2
