Title	Author	Author's location	Author's profession	Author's social class	Author's gender	Author's birthplace	Date written	Language	Letter type	Transcription	Subject	Digital Collection	Repository	Repository Collection	Physical location	Original Type/format	Description	Digital reproduction information	Item number	Contact and Ordering Information	Restrictions	Cite as	Item URL	Collection URL	Cataloger	Cataloged date	Full Text	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
M7										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff &lt;br&gt;http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M 7  Nelle Orléans 26 Mai 1863.  Mon cher Mr Billaud,  Il y a aujourd’hui trente trois jours que vous nous avez quittés  et il me semble qu’il s’est déja écoulé un siècle tant notre malheureuse  vie actuelle est monotone, surtout dans ce moment où la ville est prèsqu’en-  tièrement déserte par suite d’un ordre du général commandant qui a  atteint tous ceux qui s’étaient déclarés ennemis du Gouvernement  et les a forcés à quitter la ville. Lapopulation ne se compte donc  actuellement que d’Unionistes et d’étrangers neutres qui attendent  impatiemment qu’il plaise a Dieu de mettre une fin à cette désolante  guerre civile. Plus heureux que nous, vous devez actuellement  vous trouvez à Paris et peut-être même aurez vous déja vû mon  ami de Chambon. Si par hazard vous ne l’avez pas encore  visité, rendez-moi le service de lui dire ou de lui faire savoir que  je suis encore sans lettres de lui, malgré mes lettres réitérées et  tous les soins que j’ai mis à renouer mes rapports avec lui. Si  par hazard, il avait adressé ses lettres aux soins de Messieurs  E. Rochereau Me de notre ville, il faudrait croire que cette voie  est vicieuse et que ses lettres ont été interceptées puis que jen’en ai  reçu aucune. Alors il faudrait qu’il n’usât plus de cette adresse  et qu’il employât tel autre moyen que vous même pourriez  lui suggérer, mon cher Mr Billaud. Il pourrait par exemple  m’adresser ses lettres aux soins de Mr Bernard Turpin, ou  simplement en mon nom seulement, dans lequel cas, ces  lettres seraient avisés dans nos Journaux. Comme je suis  convaincu que l’abbé de Chambon n’a pas manqué de m’écrire  et que ses lettres auront été interceptées, je vous prie de lui dire que  dans le cas où ces lettres auraient contenue quelque chose d’inté-  -ressant pour moi, de me les repéter dans celle qu’il vous  1  M 7  remettra pour moi. Jesais, Mon cher Monsieur Billaud, que  dans le cas où vous auriez déjà vû mon ami 67 Rue de Paris à  St Denis, cette recommandation de le revoir serait une indiscrètion  de ma part, aussi si votre visite lui a déja été faite, obligez-moi  seulement de lui écrire, ou envoyez lui tout simplement la  présente en lui donnant vos bons conseils pour me [rature]  diriger ses lettres.  Par moments je m’imagine qu’il est arrivé quelque malheur à  mon ami, dans le cas où vous n’auriez pu avoir de ses nouvelles  adressez vous je vous prie au premier venu chanoine qui vous  indiquerait à qui vous vous devrez vous adresser au chapitre de  St Denis pour avoir des nouvelles de son sort. Il était chanoine  Honoraire et Trésorier de Chapitre Impérial de St Denis.  En m’aidant à découvrir mon ami, vous aurez contribué  à mon bonheur beaucoup plus que vous ne le supposez, cher  Mr Billaud.  Depuis votre départ je suis allé me promener deux fois  cher vous pour retremper un peu mon ame de votre souvenir et  de celui non moins cher de la bonne Made Billaud que nous  affectionnons tant. Hélas je [rature] n’ai [rature] plus retrouvé là ces  bonnes figures aimées et mes promenades ont été courtes.  J’ai trouvé tout dans un ordre parfait et dans une grande  propreté aussi bien votre jardin que l’exterieur de votre maison  Anna m’a assuré que l’intérieur était aussi dans un grand  ordre et m’a même offert de le voir ce que je n’ai pas crû  nécessaire. Il n’y avait de nouveau chez vous alors que la maladie  très grave que faisait alors votre vielle Mary que Anna  considère comme perdue. Depuis une dizaine de jours je n’y  2  M 7  suis pas retourné ce qui m’empèche de vous donner le résultat  de la maladie de Mary pour laquelle Mr Boulin a été appelé.  C’est par Anna encore que nous avons appris qu’il était arrivé  un accident à notre ami William qui serait tombé avons-nous  compris à bord du Navire qui vous conduisait à New-York.  Nous sommes bien inquiets de cet accident et des suites qu’il apu  avoir. Nous espérons néanmoins que le bon Dieu vous aura  protégés et que notre [déchiré] bonne Made Billaud aura pu  achever sa travers [déchiré] avec tout le calme qui lui était nécessaire  pour supporter l’emotion du retour parmi les siens. Nous nous  faisons facilement lidée du bonheur qu’ont dû éprouver la  bonne Madame Duclos & sa famille à votre arrivée aprè [déchiré]  si longue absence. Faites à tout ce monde bien des complim [déchiré]  d’amitié pour nous tous. Jaurais voulu joindre à la présente  une réponse du bon Mr Adolphe à la lettre que ma laissé Mme Billaud  mais les évements des Attakapas ont empéché le depart du vieux  Français qui devait s’en charger.  Nous sommes tous en bonne santé à l’exception de moi dont  les membres se paralysent de plus en plus. Nayez aucune inquiétu  -de relativement à vos 4 volumes laissés à ma garde  Adieu mon cher Monsieur Billaud, recevez les compliments affectueux  de ma famille et croyez moi. V/ tout dévoué et affectionné  Nadau du Treil  Nous tous embrassons la bonne Made Billaud ainsi que  ses chers enfants. Jembrasse surtout mon petit filleul que sa  marraine et moi promettons de bien gater à l’arrivée.  3  4  M 7  Songez je vous prie à ma petite commission, à ma pipe décume. C’est  un respiratoire pour moi –  [fin de la troisième page] 				2010-04-07	2010-04-07	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/969	969	970.pdf		/LSU_CFF/image/970.pdf
Page_1										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M2  Le 10 Juillette 1863  A 3 P.M. Nous avons quittés Vicksburg pour sortir  en déhords des lignes des Fédéraux arrivants prés  des lignes notre Brigade composée du 26. 27. et 28  la nous somme mis en lignes de Bataille et les  Fédéraux ont commencé a examiner nos sac a  dos et nos pérole pensant de nous trouver des  armes en effet ils ont retiré des payniards de  nos soldats ver le soliel coucher nous somme  sortis et l’on à marcher environ quatre milles vers.  neuf heures du soir nous somme arrétés chacun  se mit arranger son lit afin de passer la nuit  agréable j’ai. oublié de parler du Régiment de  négre qui nous a passer pendant que nous étions  dans leurs lignes avec des armes manifique  l’ors que nous étions sur le point de sortir ils n’ont  pas voulu laisser les négres sortir excepté quelques  uns qui ont obtenu des passer.  Le l’endemain matin qui étaits le 12 nous  sommes repartis au petit jour et nous avons  marcher dix milles l’on s’est rendu a notre  ancien Camp par le non de Camp Hall, le  meillieure Camp que nous avons passes [rature] pendant  Cette route nos officiérs et les soldats ont acheté  des mulets a dix piastres avec les Fédéraux  Le 13 a 3 heures du matin nous avon laissé le  1 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/975	975	976.jpg		/LSU_CFF/image/976.jpg
Page_2										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M2  No2  Camp Hall à pas étendus enroute pour  Ray mond [rature] qui est une distance de quinze milles  pandants Ce voyage nous avons partie beaucoup  pour l’eau a causse que les habitants étaient trop  éloigner les un des autres arrivant a peu pres  trois milles de Raymond une idée nous a Pris de  manger du cochon frais en effet nous sommes  joint neuf ensemble et nous avons tué deux jeune  cochons et chacun se mit a faire sa broche oh :  cétait excellant pour nous soldats car ce nest pas  souvant que l’on peut mettre la main sur un  comme ce lui l a nous sommes arrivée a Ray mond  a Soleil Coucher ce même soir vers neuf heurs nous  avons quittés Ray mond et nous sommes marchés  un demie milles en arriere de la ville de la nous  sommes tous couchés comme des Bêtes férose  Le lendemain le 14 nous sommes parties au jours fièr  comme des papes en route pour Gallatin qui est  une distance de trente milles afin de tacher de  si rende chez nous notre Bande consisté de vingt  six, dix de notre compagnie et seize du cap Webre  voici les noms suivant de notre Compagnie Aucoin  Thibodaux Naquin N. Bourgeois, E. Mire Brown  Bergeron Roger J. Roger et Picou.  A trois milles de Ray mond nous avons étés très bien  reçu par un nommé Mr Fuch. il nous a donné  du lait doux caillièr et au Beure ainsi des pomes  à notre satisfaction de la ils nous a offert de  2 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/976	976	977.jpg		/LSU_CFF/image/977.jpg
Page_3										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M2  N’’3  Rester chez lui pendant deux jours pour  nous reposez nous l avons remercièr de Sa  Complaisance  Cette journée nous avons marchés vingt milles  et nous sommes couchés mort de fatique  Le lendemain matin le 15 nous Somme  repartie frais comme des lapain arrivant  prés de Gallatin nous avons tués deux cochons  et nous Somme [rature] mis à faire la tambouille,  Nous avons arrivait a Gallatin a deux  heures P.M. de la nous avons couchés a Cinq  milles plus loin Cettre journée l’on a marchés  dix huit milles  Le L’endemain le 16 nous Somme partis  comme à l’ardinaire a grand pas la route  pour liberty une distance 60 milles arrivant  Chez un habitants nous sommes rentrés pour  lui de mander du sel un petit morceaux a  peu prés dix arpents nous Sommes rentrés  dans son Parque et l’on a tué deux  de ces cochons avec un vis par consé-  quent son sel nous à Servi [rature] pour  faire cuire le viandre la raison pour  quoi que l’on a tuer ces cochons cest qui  nous a refuser de nous vandre ou donner  même nous louer un wagon pour tram-  porter notre bagage nous avons marchér  cette journée treize mille Seullement  3 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/977	977	978.jpg		/LSU_CFF/image/978.jpg
Page_4										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M2  N 4  A cause que le temps était a la [tache] pluie  et nous Somme arrêtés chez un nommé  W. Neivell qui nous a fait cuire du pain  et l’on a passer la nuit trés agréable chez  lui Le lendemain le 17 nous somme partie  a Sept heures et nous avons marchés huit  milles, pandant que l’on était a se  reposer il-y-a un Wagon qui a passé  nous Sommes embarquer et l’on a fait  treize milles il ce nommé Dr Rays nous  avons fait cette journée 21 milles  Le lendemain le 18 nous sommes repartis  au grand pas pour arrivait a vingt  milles de Liberty nous avons pri le  chemin de Greenburg une route de 40  milles a cause que tous les prisonièrs [rature]  de Port Hudson nous ont dit qu’ils  y avait rien à manger sur le che-  min Liberty n’y pour or n’y argent  et il-y-a plus uns habitants qui  nous ont conseilliers de prendre ce  chemin et que probablement que l’on  pouvait avoir tremportation pandant  que l’on était a faire cette route il  y-a plusieurs habitants qui ètait en  recherche pour leur chevaux qui avait  été volé par les soldats, nous avons  marchés cette journée dix milles l’on 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/978	978	979.jpg		/LSU_CFF/image/979.jpg
Page_5										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M2  No5  L’on voyer la pluis et nous Sommes  arrêtés chez un nommée Burris il a  preparer un bon souper pour nous  et nous en avons profités de la il  nous a donné une chambre a coucher  avec des lits trés bien arranger nous  avons dormis comme des Prince  Le lendemain matin le 19 au jour  nous sommes partis, et nous avons  rencontrés un mulets et un cheval  qui appartenait au gouvernement  nous les avons pris et mit notre  bagage de sue et l’on a dejeuner chez  Gardon de la nous avons marchés  chez Mrs Turnupseed qui est une dis-  tance de sept milles elle nous a en-  voyer amener dans un Wagon a  beuf huit milles ou nous sommes  arrivai chez un nommé Lée ce  monsieur nous a donner a souper  et nous sommes allait se coucher  dans une de cest cabanes nous avons  fait cette journée quinze milles  Le lendemain matin le 20 nous  sommes repartis avec le Wagon a  beuf ou nous avons faits trois milles  nous avons été obliger de renvoyer le  wagon a cause des bois qui était 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/979	979	980.jpg		/LSU_CFF/image/980.jpg
Page_6										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M2  No6  Tombé dans le chemin nous sommes  débarquer et l’on a prit cela a pied  Cette journée nous avons faits quinze  milles et demie Greenburg  Et nous avons tuée un cochons [rature] a deux  heurs du matin et nous sommes mis  a le faire cuire  Le lendemain le 21 nous sommes  partie comme des plus belles et nous  avons passé dans Greenburg a peu  prés a sept heures de la nous sommes  marchés six milles  et nous avons arrêtés chez un nommé  Peter Remp il nous avons prit un  gros diner et nous avons marchés  comme des Prince aprés il nous  a fait cuire du manger pour em-  porter avec nous pendants notre  route ces le meillieure diner que  nous avons eus sur notre voyage [rature]  cela ne pouvait pas manquer car  cest un Louisianais ce monsieur  nous a donnée des imformation pour  aller a la Côte Français qui est un  route de quarante milles il nous  a dit que cetait la route la plus  coute et par consequent nous avons  pris son avis de la nous sommes  6 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/980	980	981.jpg		/LSU_CFF/image/981.jpg
Page_7										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M2  No 7  Partis et l’on a marcher six  milles plus loin ou nous avons arrêtés  chez une veuve nommé Young a cause  quïl allait pleuvoire nous avons chou-  cher chez elle sur la gallerie et il nous  restait peut de viande fraiche elle a  fait cuire pour nous du pain le  totale de notre marche cette journée  était quinze milles et demie  Le lendemain le 22 nous sommes  partis de la veuve Young ou nous som-  mes randus chez un nommé  Mc Knabb, il nous a donné a souper  ainsi du logement cette journée  nous sommes Egarés en deux différente  foit a cause d’avoir prit le mauvais  chemain cela nous a retarder de  six milles cette journée nous avons  marchés quinze milles  Le lendemain le 23 nous sommes  préparés pour partis nous avons  marchés 25 milles cette journée nous  sommes rendu chez madame [Vve]  Halbert a la côte Française nous  avons eu un souper de maïs tendre  bien satisfait quand même  De la le 24 nous sommes partis nous  avons marchés quatorze milles 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/981	981	982.jpg		/LSU_CFF/image/982.jpg
Page_8										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M2  No8  Nous avons rendu chez un nommée  Robert un n est conomme nous  avons été trés bien reçu bon soupé et  déjeuner le matin le 25 nous avons  partie a huite heures a marches pour  arrivait se le fleuve nous étion arrêtait  sous un moulin asie a nous reposér  le propritaire du moulin Ne[rature]  enfin je me souvein plus de son nom  il nous a ainvitait de rentré chez  lui diner aprés le diner nous sommes  partie nous avons traversait a Donnal  son Ville a peux prés a quatre heure  P.M. de la nous avons continuer a désen-  dre le Bayou Lafourche  nous avons marchés six milles nous  avons restait coucher chez un nommer  Mr Auguste Landry de la nous avons  partie a prés deujeuner pour Thibodaux  Ville arriavit le 26 e 3 heures P.M. a  Thibodaux Ville  Juillette le 26 1863  G.C. Thibodeaux . 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/982	982	983.jpg		/LSU_CFF/image/983.jpg
Page_1										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M4  N. Orleans 5 Janv 1871  Ma Chére Cousine  Ta triste mi?sive  m’est parvenue il y a trois ou quatre  jours. C’est avec la plus vive peine que  j’ai appris le malheur qui vient de  frapper la famille. Mais, ma chère en  -fant, devant la volonté Divine, il faut  courber la tête et se soumettre à ses arrèts.  En implorant Dieu, n?. devons trouver  assez de résignation, & de forces pour surmon  -ter les chagrins qui nous accablent dans  de semblables circonstances.  J’ai fait part de ce malheur à la  famille Tarrien selon tes désirs  Ma femme se joint à moi pour  te témoigner, à toi, ton époux [tache] et la famille  la part de chagrin que nous prenons  à cette perte irréparable.  Embra?se ta bonne mère pour nous  Ton affectueux cousin  Leon Deregrouse 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/985	985	986.jpg		/LSU_CFF/image/986.jpg
Page_1										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M 3  Mansura Avoyelles Mai 2 1834.  Monsieur.  Veuillez m’excuser, si je prend  la liberté de vous écrire ces  trois mots ; j’Espère qu’ils  recevront votre bon accueil.  je vous dirai que je suis  le fils a jenty Dignac ;  votre Cousin. je me rappele  vous avoir vu en (Françe.)  ainsi qu’à votre Dame, et  votre petite Demoiselle. elle  ma paru très jentille, très  douce, depuis que je suis dans  ce pays, je me suis informé  bien souvent, pour avoir des  nouvelles de mes pays. et qui  plus est de mes parents. l’année  dernière, Gibert a passé aux 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/988	988	989.jpg		/LSU_CFF/image/989.jpg
Page_2										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M3  Avoyelles, il ma dit quil avait  passé à Donaldsonville. et  vous avez trouvé, en bonne santé  a tous. avant que je ne parte  de Françe. pour me rendre  ici. Eleonore votre belle soeur ma  remis une lettre, pour livrer  a Gustave Gibert. Afin quil  vous la fasse parvenir, vous  devez probablement l’avoir reçue.  Car Gibert. ma dit, lorsque  je la lui ai livré. Cela tombe  bien a propos j’ai une Occasion,  l’année d’ensuite, au mois de  juillet, ou Août, ils vous en  ont expedié une, laquelle vous  annonçait une triste nouvelle,  la mort de notre frère Carrière  (Boulanger.) ces jours derniers ;  je recois une lettre de mes  parents, dans laquelle votre 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/989	989	990.jpg		/LSU_CFF/image/990.jpg
Page_3										See transcript link on the left navigation bar.		Early Louisiana French Correspondence	Louisiana State University Libraries, Special Collections	Louisiana and Lower Mississippi Valley Collection (LLMCV)		letter		Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	See 'reference url' on the navigation bars.	Website: http://www.lib.lsu.edu/special/cff <br>http://louisdl.louislibraries.org/cdm4/index_LSU_CFF.php?CISOROOT=/LSU_CFF			M 3  pauvre belle soeur me dit, n’avoir  pas reçu aucune reponse, de  ces lettres. et deplus elle  m’apprend une bien triste  nouvelle, celle de la mort  de votre Chère mère, dans  les premiers jours de mars  dernier. pauvre vielle tante [rature] je l’ai  beaucoup regrettée, elle qui –  etait si bonne, si douce,  ah ! cetait une Ste femme  resignée, souffrant, sans se plaindre.  Car il y avait longtemps,  quelle etait infirme. je finis  ma lettre, et vous desire  une parfaite santé a tous.____  Veuillez faire mes Amitiés  a votre Dame, ainsi quà  votre petite Demoiselle, quoique  je n’ai pas l’honneur de les  connaître particulierement,  tout a vous.  Lt Dignac. 				2008-09-11	2008-09-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_CFF/id/990	990	991.jpg		/LSU_CFF/image/991.jpg
