Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Slaves Quarters New Orleans	No	View of courtyard and interior balconies.	ca. 1930	Hennette Moore (New Orleans, La.)	Courtyards--Louisiana--New Orleans--Photographs.;Saint Louis Cathedral (New Orleans, La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.;Hennette Moore (New Orleans, La.)	30430001	Vieux Carre Photographs	jpg	2560 x 1705	Gelatin silver prints<br>3 1/4" x 5"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Vieux Carre Photographs, Mss. 3043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/44	44	45.jpg		/NewOrleans/image/45.jpg
Road and adjacent trees	No	Unidentified area showing a road, sidewalk, and trees.	ca. 1930	Hennette Moore (New Orleans, La.)	Vieux Carre (New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.;Hennette Moore (New Orleans, La.)	30430002	Vieux Carre Photographs	jpg	2560 x 1851	Gelatin silver prints<br>3 1/2" x 5"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Vieux Carre Photographs, Mss. 3043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/45	45	46.jpg		/NewOrleans/image/46.jpg
St. Louis Cathedral New Orleans	No	Front facade from Jackson Square.	ca. 1930	Hennette Moore (New Orleans, La.)	Vieux Carre (New Orleans, La.)--Photographs.;St. Louis Cathedral (New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.;Hennette Moore (New Orleans, La.);Jackson Square (New Orleans, La.)--Photographs.	30430003	Vieux Carre Photographs	jpg	2560 x 1825	Gelatin silver prints<br>3 1/2" x 5"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Vieux Carre Photographs, Mss. 3043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/46	46	47.jpg		/NewOrleans/image/47.jpg
St. Louis Cathedral New Orleans	No	Image of Jackson Square, a gate to the square, and the fog-shrouded facade of the Cathedral.	ca. 1930	Hennette Moore (New Orleans, La.)	Vieux Carre (New Orleans, La.)--Photographs.;St. Louis Cathedral (New Orleans, La.)--Photographs.;Jackson Square (New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.;Hennette Moore (New Orleans, La.)	30430004	Vieux Carre Photographs	jpg	2560 x 1813	Gelatin silver prints<br>3 1/2" x 5"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Vieux Carre Photographs, Mss. 3043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/47	47	48.jpg		/NewOrleans/image/48.jpg
Pirate's Alley New Orleans	No	Pirate's Alley looking toward Royal St.	ca. 1930	Hennette Moore (New Orleans, La.)	Vieux Carre (New Orleans, La.)--Photographs.;Pirate's Alley (New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.;Hennette Moore (New Orleans, La.)	30430005	Vieux Carre Photographs	jpg	2560 x 1831	Gelatin silver prints<br>3 1/2" x 5"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Vieux Carre Photographs, Mss. 3043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/48	48	49.jpg		/NewOrleans/image/49.jpg
Arts & Crafts New Orleans	No	Courtyard of Arts and Crafts Club.	ca. 1930	Hennette Moore (New Orleans, La.)	Vieux Carre (New Orleans, La.)--Photographs.;Arts and Crafts Club (New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.;Hennette Moore (New Orleans, La.)	30430006	Vieux Carre Photographs	jpg	2560 x 1830	Gelatin silver prints<br>3 1/2" x 5"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Vieux Carre Photographs, Mss. 3043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/49	49	50.jpg		/NewOrleans/image/50.jpg
Two Sisters Courtyard, New Orleans.	No	Courtyard seen through arch and metal gate.  Background highly blurred.	ca. 1930	Hennette Moore (New Orleans, La.)	Vieux Carre (New Orleans, La.)--Photographs.;Court of Two Sisters ( Restaurant)--Photographs.;New Orleans (La.)--Photographs.;Hennette Moore (New Orleans, La.)	30430007	Vieux Carre Photographs	jpg	2560 x 1834	Gelatin silver prints<br>3 1/2" x 5"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Vieux Carre Photographs, Mss. 3043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/50	50	51.jpg		/NewOrleans/image/51.jpg
Patio Royal New Orleans	No	View of metal gate and patio through alcove.	ca. 1930	Hennette Moore (New Orleans, La.)	Vieux Carre (New Orleans, La.)--Photographs.;Patio Royal (New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.;Hennette Moore (New Orleans, La.)	30430008	Vieux Carre Photographs	jpg	2560 x 1828	Gelatin silver prints<br>3 1/2" x 5"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Vieux Carre Photographs, Mss. 3043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/51	51	52.jpg		/NewOrleans/image/52.jpg
Le Petit Theatre New Orleans	No	Exterior view of patio, plants, foliage, and open door.	ca. 1930	Hennette Moore	Vieux Carre (New Orleans, La.)--Photographs.;Petit Theatre du Vieux Carre (New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.;Hennette Moore (New Orleans, La.)	30430009	Vieux Carre Photographs	jpg	2560 x 1801	Gelatin silver prints<br>3 1/2" x 5"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Vieux Carre Photographs, Mss. 3043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/52	52	53.jpg		/NewOrleans/image/53.jpg
Lafitte	No	Image of boat at shore and moss-covered tree.	ca. 1930	Hennette Moore (New Orleans, La.)	New Orleans (La.)--Photographs.;Bayous--Louisiana--Photographs.;Hennette Moore (New Orleans, La.)	30430010	Vieux Carre Photographs	jpg	2560 x 1822	Gelatin silver prints<br>3 1/2" x 5"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Vieux Carre Photographs, Mss. 3043, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/53	53	54.jpg		/NewOrleans/image/54.jpg
Louis Abel Caillouet, Auxiliary Bishop of New Orleans.	No	Manuscript note on recto: To a tried & tested loyal friend of many years-Lancaster W. Collins. 3/4 portrait, seated. 1992 accretion.	1948 Dec. 13	Fine Arts Studio, Baton Rouge, La.	Caillouet, Louis Abel, 1900-1984--Photographs.;Catholic Church--United States--Bishops--Photographs.	02360001	Caillouet, Louis Abel	jpg	2560 x 2034	Gelatin silver prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Louis Abel Caillouet Photograph, Mss. 02360001, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/54	54	55.jpg		/NewOrleans/image/55.jpg
New Orleans Boy's High School Class of 1894 Reunion	No	Image of ten men posing for camera around a banquet table at Antoine's Restaurant.  Includes a newspaper clipping, a program, and photo of student autographs.	1944 June 15	F. A. McDaniels, New Orleans, La.	Boy's High School (New Orleans, La.)--Photographs;New Orleans (La.)--Photographs;Class reunions--Louisiana--New Orleans--Photographs	02380001	New Orleans Boys' High School Class Reunion	jpg	2560 x 1968	Gelatin silver prints<br>7" x 9"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Boy's High School Class Reunion Photograph, Mss. 02380001, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/55	55	56.jpg		/NewOrleans/image/56.jpg
Alcee Fortier High School Band of New Orleans, La. City and State Champions for 1933	No	Group portrait of band, in uniform on school steps.  Embossed studio imprint on recto: J. Schnetzer Photos New Orleans, La.	1933	J. Schnetzer, New Orleans, La.	Marching bands--Louisiana--New Orleans--Photographs.;Alcee Fortier High School (New Orleans, La.). Band--Photographs.;Bands (music)--Louisiana--New Orleans--Photographs.;New Orleans (La.)--Photographs.;J. Schnetzer (New Orleans, La.)	02620001	Alcee Fortier High School Band	jpg	2560 x 1984	Gelatin silver prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Alcee Fortier High School Band Photograph, Mss. 0262, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/56	56	57.jpg		/NewOrleans/image/57.jpg
Mardi Gras, New Orleans, ca. 1900	No	Image showing crowds and streetcar on Canal Street.	ca. 1900	unknown	Carnival--Louisiana--New Orleans--Photographs.;New Orleans (La.)--Photographs.	11890001	Mardi Gras, New Orleans, Canal Street	jpg	2560 x 1615	Halftone photomechanical prints<br>3 3/4" x 6"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Mardi Gras, New Orleans, Canal Street, Mss. 11890001-11890002, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/57	57	58.jpg		/NewOrleans/image/58.jpg
Mardi Gras, New Orleans, ca. 1900	No	Image showing crowds, streetcars, and statue.	ca. 1900	Unknown	Carnival--Louisiana--New Orleans--Photographs.;New Orleans (La.)--Photographs.	11890002	Mardi Gras, New Orleans, Canal Street	jpg	2560 x 2224	Half-tone photomechanical prints.<br>3 3/4" x 6"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Mardi Gras, New Orleans, Canal Street, Mss. 11890001-11890002, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/58	58	59.jpg		/NewOrleans/image/59.jpg
New Orleans Levee and Other Travel Photos	No	One album page containing four photographs: the French Market, docked fishing boats, and two images with trains taken at Mattoon and Del Rio.	1906 Feb.	unknown	Docks--Louisiana--New Orleans--Photographs.;New Orleans (La.)--Photographs.	15340001	New Orleans Levee and Other Travel Photos	jpg	2560 x 824	Gelatin silver prints<br>6" x 9"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Levee and Other Travel Photographs, Mss. 15340001, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/59	59	60.jpg		/NewOrleans/image/60.jpg
Jackson Square and St. Louis Cathedral, New Orleans.	No	Bird's eye view of the square, the cathedral, the Presbytere, and the Cabildo, seen from atop the Pontalba Apartments.	unknown	unknown	Jackson Square (New Orleans, La.)--Pictorial works.;St. Louis Cathedral (New Orleans, La.)--Pictorial works.;New Orleans (La.)--Pictorial works.;Vieux Carre (New Orleans, La.)--Pictorial works.	15340003	New Orlean's Jackson Square and St. Louis Cathedral	jpg	2560 x 2023	Halftone photomechanical prints<br>8 1/2" x 10"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orlean's Jackson Square and St. Louis Cathedral, Mss. 1534, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/60	60	61.jpg		/NewOrleans/image/61.jpg
New Orleans, La. Levee Scene.	No	Image of dockside freighter; cargo and boxcars on wharf.  Bend of the river and Algiers in background.	unknown	unknown	New Orleans (La.)--Pictorial works.;Docks--Louisiana--New Orleans--Pictorial works.;Wharves--Louisiana--New Orleans--Pictorial works.;Cargo ships--Pictorial works.	15340004	New Orleans Levee Scene	jpg	2560 x 1990	Halftone photomechanical prints<br>8 1/2" x 10"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Levee Scene, Mss. 15340004, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/61	61	62.jpg		/NewOrleans/image/62.jpg
New Orleans.	No	Color engraving showing Mississippi River with steam boats and sailing vessels.  View of city on right bank. Recto: Eng'd by Capewell & Kimmell 208 Broady. N. York.	ca. 1850	unknown	New Orleans--19th century--Pictorial works.	15980001	New Orleans Engraving	jpg	2560 x 1762	Engravings<br>5 3/4" x 8 1/2"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Engraving, Mss. 15980001, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/62	62	63.jpg		/NewOrleans/image/63.jpg
Beauregard-Keyes House Stairway	No	View of exterior stairway taken from across the street.	ca. 1925	unknown	New Orleans (La.)--Buildings, structures, etc.--Photographs.;Beauregard-Keyes House (New Orleans, La.)--Photographs.;Stairs--Louisiana--New Orleans--Photographs.	17370001	Beauregard-Keyes House Stairway, New Orleans	jpg	2560 x 1178	Gelatin silver prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Beauregard-Keyes House Stairway Photograph, Mss. 1737, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/63	63	64.jpg		/NewOrleans/image/64.jpg
Ursuline Convent (New Orleans, La.)	No	Exterior view of portico with palm tree.	unknown	unknown	New Orleans (La.)--Photographs.;Ursuline Convent (New Orleans, La.)--Photographs.;Convents--Louisiana--New Orleans--Photographs.	17370002	Ursuline Convent, New Orleans	jpg	2560 x 2061	Gelatin silver prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Ursuline Convent Photograph, Mss. 17370002, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/64	64	65.jpg		/NewOrleans/image/65.jpg
Beauregard-Keyes House, New Orleans.	No	Exterior view from street.	ca. 1925	unknown	Beauregard-Keyes House (New Orleans, La.)--Photographs.;New Orleans (La.)--Buildings, structures, etc.--Photographs.;Architectural photography--Louisiana--New Orleans.	17620001	Beauregard-Keyes House, New Orleans	jpg	2560 x 2066	Gelatin silver prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Beauregard-Keyes House Photograph, Mss. 17620001, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/65	65	66.jpg		/NewOrleans/image/66.jpg
Group Portrait at Banquet	No	View of men in sombreros around a banquet table.	ca. 1920-1930	unknown	Dinners and dining--Louisiana--New Orleans--Photographs;New Orleans (La.)--Photographs.	17620004	New Orleans Banquet	jpg	2560 x 1997	Gelatin silver prints<br>11.00" x 14.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Banquest Photograph, Mss. 17620004, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/66	66	67.jpg		/NewOrleans/image/67.jpg
Azalea Bush with Boy.	No	Mounted, color-tinted image of boy standing next to a large azalea bush.	ca. 1925	unknown	Azaleas--Louisiana--New Orleans--Photographs;New Orleans (La.)--Photographs	17620005	New Orleans Garden with Azalea	jpg	2560 x 1994	Gelatin silver prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Garden with Azalea Photograph, Mss. 17620005, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/67	67	68.jpg		/NewOrleans/image/68.jpg
New Orleans National Bank Building, ca. 1900.	No	The camera stands in an elevated position diagonally across the intersection of Camp Street and Common from the New Orleans National Bank Building looking toward the corner of the bank building. There are a few pedestrians on the sidewalk.	ca. 1929	unknown	Bank buildings--Louisiana--New Orleans--Photographs.;New Orleans (La.)--Buildings, structures, etc.--Photographs.;Architectural photography--Louisiana--New Orleans.	17620006	New Orleans National Bank Building	jpg	2560 x 2019	Gelatin silver prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans National Bank Building Photograph, Mss. 17620006, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/68	68	69.jpg		/NewOrleans/image/69.jpg
Unidentified African American Child	No	Full portrait of young boy with hat, seated in a chair and looking to right.	ca. 1920	unknown	African Americans--Photographs.;African American children--Photographs.	17620009	Unidentified African American Child in New Orleans	jpg	2560 x 1939	Gelatin silver prints<br>6" x 8"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Unidentified African American Child in New Orleans Photograph, Mss. 17620009, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/69	69	70.jpg		/NewOrleans/image/70.jpg
Chef-Rigolet Bridges-Dec. 12, 1927	No	Image of cranes and bridge construction.  Studio imprint on verso: Photographs from Chas. L. Franck. 409 Baronne St. New Orleans, La.	1927 Dec. 12	Chas. L. Franck (New Orleans, La.)	Bridges--Design and construction--Louisiana--St. Tammany Parish--Photographs.;Cranes, derricks, etc.--Photographs.;Chef-Rigolets Bridge (St. Tammany Parish, La.)--Photographs.	25570001	Chef-Rigolets Bridge	jpg	2560 x 2090	Gelatin silver prints<br>8.00" x 10.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		Chef-Rigolets Bridge Photograph, Mss, 2557, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/70	70	71.jpg		/NewOrleans/image/71.jpg
St. Louis Cathedral	No	Partial view of facade with cars (ca. 1940 models) parked directly in front between cathedral and Jackson Square.	ca. 1940	unknown	Saint Louis Cathedral (New Orleans, La.)--Photographs.;Vieux Carre (New Orleans, La.)--Photographs.;New Orleans (La.)--Photographs.	42010001	St. Louis Cathedral	jpg	2560 x 1828	Gelatin silver prints<br>5.00" x 7.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		St. Louis Cathedral Photograph, Mss. 42010001, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/71	71	72.jpg		/NewOrleans/image/72.jpg
Canal Street Levee	No	Stereograph view of wharf with cargo and steamboats.  Additional imprints on recto and verso: Centennial Photographic Co. 1884 New Orleans 1885.	1885	Edward L. Wilson, Centennial Photographic Company ( Philadelphia, Pa.)	Steamboats--Louisiana--New Orleans--Photographs.;Docks--Louisiana--New Orleans--Photographs.;New Orleans ( La.)--Photographs.;Edward L. Wilson, Centennial Photographic Company ( Philadelphia, Pa.)	42330001	New Orleans Dock Views	jpg	2560 x 1559	Albumen prints<br>± 4.0" x 7.0" (Stereograph Studio Card)	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP		New Orleans Dock Views, Mss. 4233, Louisiana and Lower Mississippi Collections, LSU Libraries, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-11-01	2005-11-01	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/NewOrleans/id/72	72	73.jpg		/NewOrleans/image/73.jpg
