Title	Creator	Contributors	Date	Publisher	Subject	Coverage	Description	Notes	Language	Type	Repository	Restrictions	Cite As	Format	Contact and Ordering Information	Object File Name	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Mudflat erosion	Walker, H. J. (Harley Jesse), 1921-		1961		Erosion;Mudflats;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000624	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/615	615	9904316782003_cd000624.gif	/CRD/image/9904316782003_cd000624.gif
Tent and windbreak	Walker, H. J. (Harley Jesse), 1921-		1961		Tents;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000625	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/616	616	1314416782003_cd000625.gif	/CRD/image/1314416782003_cd000625.gif
Helmerick's and George Woods' houses	Walker, H. J. (Harley Jesse), 1921-		1961		Dwellings;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000626	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/617	617	3034416782003_cd000626.gif	/CRD/image/3034416782003_cd000626.gif
Midnight sun and tent at Summer Solstice	Walker, H. J. (Harley Jesse), 1921-		1961		Tents;Sunshine;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000627	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/618	618	4754416782003_cd000627.gif	/CRD/image/4754416782003_cd000627.gif
Desiccation cracks in lake sediments	Walker, H. J. (Harley Jesse), 1921-		1961		Colville River Delta (Alaska);Mudflats;Desiccation cracks;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000628	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/619	619	6154416782003_cd000628.gif	/CRD/image/6154416782003_cd000628.gif
Ptarmigan eggs	Walker, H. J. (Harley Jesse), 1921-		1961		Ptarmigans;Colville River Delta (Alaska);Bird's nest;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000629	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/620	620	7564416782003_cd000629.gif	/CRD/image/7564416782003_cd000629.gif
Abandoned canal	Walker, H. J. (Harley Jesse), 1921-		1961		Meander;Abandoned channel;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000630	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/621	621	8974416782003_cd000630.gif	/CRD/image/8974416782003_cd000630.gif
Cross-section of sphagnum moss	Walker, H. J. (Harley Jesse), 1921-		1961		Peat mosses;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000631	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/622	622	224516782003_cd000631.gif	/CRD/image/224516782003_cd000631.gif
Abandoned channel lake	Walker, H. J. (Harley Jesse), 1921-		1961		Lakes;Colville River Delta (Alaska);Abandoned channel;Cutbank;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000632	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/623	623	1624516782003_cd000632.gif	/CRD/image/1624516782003_cd000632.gif
Pingo	Walker, H. J. (Harley Jesse), 1921-		1961		Pingo;Colville river Delta (Alaska)				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000633	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/624	624	3034516782003_cd000633.gif	/CRD/image/3034516782003_cd000633.gif
Lake drainage channel	Walker, H. J. (Harley Jesse), 1921-		1961		Colville River Delta (Alaska);Drainage channel;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000634	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/625	625	4594516782003_cd000634.gif	/CRD/image/4594516782003_cd000634.gif
Driftwood line above Ox-Bow Lake	Walker, H. J. (Harley Jesse), 1921-		1961		Driftwood;Colville River Delta (Alaska);Cutbank;Turfur;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000635	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/626	626	5844516782003_cd000635.gif	/CRD/image/5844516782003_cd000635.gif
Vegetated former lake	Walker, H. J. (Harley Jesse), 1921-		1961		Spartina;Colville River Delta (Alaska);Marsh grasses;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000636	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/627	627	7254516782003_cd000636.gif	/CRD/image/7254516782003_cd000636.gif
Water moat around lake ice	Walker, H. J. (Harley Jesse), 1921-		1961		Ice on rivers, lakes, etc.;Colville River Delta (Alaska);Lake ice;Fog;Moats;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000637	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/628	628	8654516782003_cd000637.gif	/CRD/image/8654516782003_cd000637.gif
Supplies from NARL	Walker, H. J. (Harley Jesse), 1921-		1961		Camping--Equipment and supplies;Equipment and supplies;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000638	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/629	629	224616782003_cd000638.gif	/CRD/image/224616782003_cd000638.gif
Low terrace with Wood's camp in background	Walker, H. J. (Harley Jesse), 1921-		1961		Terrace;Terrace;Tundras;Tundras surface;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000639	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/630	630	1624616782003_cd000639.gif	/CRD/image/1624616782003_cd000639.gif
Drying an uguruk skin	Walker, H. J. (Harley Jesse), 1921-		1961		Hides and skins;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000640	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/631	631	3034616782003_cd000640.gif	/CRD/image/3034616782003_cd000640.gif
Driftwood at Nigilik	Walker, H. J. (Harley Jesse), 1921-		1961		Terrace;Terrace;Driftwood;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000641	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/632	632	4594616782003_cd000641.gif	/CRD/image/4594616782003_cd000641.gif
Mudflat from terrace	Walker, H. J. (Harley Jesse), 1921-		1961		Driftwood;Mudflats;Floodway;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000642	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/633	633	6154616782003_cd000642.gif	/CRD/image/6154616782003_cd000642.gif
Campsite of Nigilik	Walker, H. J. (Harley Jesse), 1921-		1961		Tents;Camping--Equipment and supplies;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000643	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/634	634	8034616782003_cd000643.gif	/CRD/image/8034616782003_cd000643.gif
Jim Helmericks and arctic char	Walker, H. J. (Harley Jesse), 1921-	Helmericks, Jim.	1961		Fishing--Equipment and supplies;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000644	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/635	635	9594616782003_cd000644.gif	/CRD/image/9594616782003_cd000644.gif
Drying white fish	Walker, H. J. (Harley Jesse), 1921-		1961		Fishing--Equipment and Supplies;Culture;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000645	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/636	636	844716782003_cd000645.gif	/CRD/image/844716782003_cd000645.gif
George Woods hanging white fish	Walker, H. J. (Harley Jesse), 1921-	Wood, George.	1961		Fishing--Equipment and Supplies;Culture;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000646	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/637	637	2404716782003_cd000646.gif	/CRD/image/2404716782003_cd000646.gif
Joeb Woods and white fish	Walker, H. J. (Harley Jesse), 1921-	Woods, Joeb.	1961		Fishing--Equipment and Supplies;Boats and boating;Boats and boating;Culture;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000647	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/638	638	3974716782003_cd000647.gif	/CRD/image/3974716782003_cd000647.gif
Joeb Woods and white fish	Walker, H. J. (Harley Jesse), 1921-	Woods, Joeb.	1961		Fishing--Equipment and Supplies;Boats and boating;Boats and boating;Culture;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000648	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/639	639	5694716782003_cd000648.gif	/CRD/image/5694716782003_cd000648.gif
Nannie Woods with white fish	Walker, H. J. (Harley Jesse), 1921-	Woods, Nannie.	1961		Fishing--Equipment and Supplies;Culture;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000649	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/640	640	7254716782003_cd000649.gif	/CRD/image/7254716782003_cd000649.gif
Nannie Woods cleaning white fish	Walker, H. J. (Harley Jesse), 1921-	Woods, Nannie.	1961		Fishing--Equipment and Supplies;Ulu;Culture;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000650	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/641	641	8814716782003_cd000650.gif	/CRD/image/8814716782003_cd000650.gif
Nannie Woods cleaning white fish	Walker, H. J. (Harley Jesse), 1921-	Woods, Nannie.	1961		Fishing--Equipment and Supplies;Ulu;Culture;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000651	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/642	642	224816782003_cd000651.gif	/CRD/image/224816782003_cd000651.gif
White fish ready for cleaning	Walker, H. J. (Harley Jesse), 1921-		1961		Fishing;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000652	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/643	643	1784816782003_cd000652.gif	/CRD/image/1784816782003_cd000652.gif
Exposed ice-wedge at Woods' camp	Walker, H. J. (Harley Jesse), 1921-		1961		Erosion;Ice-Wedges;Riparian areas;				en	Image	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	Colville River Delta, Alaska Collection, LOUISiana Digital Library, Baton Rouge, La.		E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	cd000653	See 'reference url' on the navigation bars.	http://www.louisianadigitallibrary.org/cdm4/index_CRD.php?CISOROOT=/CRD		2004-08-13	2004-08-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/CRD/id/644	644	3504816782003_cd000653.gif	/CRD/image/3504816782003_cd000653.gif
