SortOrder	Title	Compound	Date	Photographer	Subjects	Notes	Original Format/Size	Digital Format	Repository	Repository Collection	Repository Collection Guide	Restrictions	Collection Source	Cite As	Relation	Contact and Ordering Information	Item URL	Item Number	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
57	Road beds between Moreauville and Hamburg, La.	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Roads--Maintenance and repair--Photographs; Moreauville (La.)--Photographs; Hamburg (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-146 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730047b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/486	486	487.jpg	/LSU_MRF/image/487.jpg
58	Church crevasse-Bayou Deglaze	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Crevasses--Louisiana--Bayou des Glaises--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-132 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730049a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/487	487	488.jpg	/LSU_MRF/image/488.jpg
59	Church crevasse Bayou Deglaze section	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Crevasses--Louisiana--Bayou des Glaises--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-133 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730049b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/488	488	489.jpg	/LSU_MRF/image/489.jpg
60	Mourevauville, La. Home of Dr. Fox	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Moreauville (La.)--Photographs; Dwellings--Flood damage--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-137 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730051a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/489	489	490.jpg	/LSU_MRF/image/490.jpg
61	Moureauville, La. Home of Dr. Fox	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Moreauville (La.)--Photographs; Dwellings--Flood damage--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-138 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730051b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/490	490	491.jpg	/LSU_MRF/image/491.jpg
62	Remains of-2-homes Bayou Deglaze	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Dwellings--Flood damage--Photographs; des Glaises, Bayou (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-139 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730053a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/491	491	492.jpg	/LSU_MRF/image/492.jpg
63	Home again-?	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Dwellings--Flood damage--Photographs; des Glaises, Bayou (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-140 7-18-27 View of damaged house	Gelatin silver prints; 4.75" x 5.50"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730053b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/492	492	493.jpg	/LSU_MRF/image/493.jpg
64	Bennett Crevasse Bayou Deglaze	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Crevasses--Louisiana--Bayou des Glaises--Photographs; Crevasses--Louisiana--Bennett--Photographs; des Glaises, Bayou (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-134 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730055a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/493	493	494.jpg	/LSU_MRF/image/494.jpg
65	Bennett Crevase Bayou Delgaze	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Crevasses--Louisiana--Bayou des Glaises--Photographs; Crevasses--Louisiana--Bennett--Photographs; des Glaises, Bayou (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-135 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730055b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/494	494	495.jpg	/LSU_MRF/image/495.jpg
66	Crevasse-Bayou Deglaze section	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Crevasses--Louisiana--Bayou des Glaises--Photographs; des Glaises, Bayou (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-131 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730057b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/495	495	496.jpg	/LSU_MRF/image/496.jpg
67	Underpass-Melville, La.	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Railroads--Louisiana--Flood damage--Photographs; Melville (La.)--Photographs; Melville (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-124 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730059a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/496	496	497.jpg	/LSU_MRF/image/497.jpg
68	Street scene Town of Melville	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Flood damage--Louisiana--Melville--Photographs; Melville (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-125 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730059b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/497	497	498.jpg	/LSU_MRF/image/498.jpg
69	Street scene-Melville	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Flood damage--Louisiana--Melville--Photographs; Melville (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-128 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730061a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/498	498	499.jpg	/LSU_MRF/image/499.jpg
70	Moreauville crevasse-waters receding	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Moreauville Crevasse (La.)--Photographs; Moreauville (La.)--Photographs; Crevasses--Louisiana--Moreauville--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-128 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730061b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/499	499	500.jpg	/LSU_MRF/image/500.jpg
71	Jefferson highway west-Melville	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Roads--Flood damage--Photographs; Jefferson Highway (Melville, La.)--Photographs; Melville (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-118 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730063a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/500	500	501.jpg	/LSU_MRF/image/501.jpg
72	Along Jefferson highway-Melville	No	1927 July 18	J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Roads--Flood damage--Photographs; Jefferson Highway (Melville, La.)--Photographs; Melville (La.)--Photographs; Ewing, Inc.; Mississippi River--Floods--Photographs	&#169; Ewing Inc M-119 7-18-27	Gelatin silver prints; 5.00" x 7.00"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730063b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/501	501	502.jpg	/LSU_MRF/image/502.jpg
73	Melville from RR	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Flood damage--Louisiana--Melville--Photographs; Melville (La.)--Photographs; Mississippi River--Floods--Photographs	[image number]  M-5	Gelatin silver prints; 3.50" x 4.50"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730065a	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/502	502	503.jpg	/LSU_MRF/image/503.jpg
74	Main street	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Flood damage--Louisiana--Melville--Photographs; Melville (La.)--Photographs; Mississippi River--Floods--Photographs	[image number]  M-9	Gelatin silver prints; 3.50" x 4.50"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730065b	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/503	503	504.jpg	/LSU_MRF/image/504.jpg
75	North from RR	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Flood damage--Louisiana--Melville--Photographs; Melville (La.)--Photographs; Mississippi River--Floods--Photographs	[image number]  M-10	Gelatin silver prints; 3.50" x 4.50"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730065c	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/504	504	505.jpg	/LSU_MRF/image/505.jpg
76	Jefferson highway Melville	No	ca. 1927	Ascribed to J. G. Ewing	Floods--Louisiana--History--20th century--Photographs; Jefferson Highway (Melville, La.)--Photographs; Melville (La.)--Photographs; Mississippi River--Floods--Photographs	[image number]  M-11	Gelatin silver prints; 3.50" x 4.50"	jpeg	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Mississippi River Flood of 1927 Album	Finding aid for the original photographs: http://www.lib.lsu.edu/special/findaid/4373.pdf	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	Mississippi River Flood of 1927 Album (Mss. 4373), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	http://louisdl.louislibraries.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	43730065d	http://www.louisianadigitallibrary.org/cdm4/index_LSU_MRF.php?CISOROOT=/LSU_MRF	Gelatin Silver Prints	Image		2005-10-27	2005-10-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_MRF/id/505	505	506.jpg	/LSU_MRF/image/506.jpg
