Title	Creator	Contributors	Subject(s)	Description	Notes	Publisher	Date	Type	Series	Digital Reproduction Information	Item URL	Repository	Language	Relation	Coverage-Spatial	Coverage-Temporal	Restrictions	Cataloger	Cataloged Date	Object File Name	Contact and Ordering Information	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
uacomm009p01_Front										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/179	179	180.jpg	/p120701coll24/image/180.jpg
uacomm009p02_Pages 2-3										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/180	180	181.jpg	/p120701coll24/image/181.jpg
uacomm009p03_Page 4										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/181	181	182.jpg	/p120701coll24/image/182.jpg
uacomm006p01_Front Cover										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/182	182	183.jpg	/p120701coll24/image/183.jpg
uacomm006p02_Page 1										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/183	183	184.jpg	/p120701coll24/image/184.jpg
uacomm006p03_Page 2										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/184	184	185.jpg	/p120701coll24/image/185.jpg
uacomm006p04_Page 3										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/185	185	186.jpg	/p120701coll24/image/186.jpg
uacomm006p05_Page 4										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/186	186	187.jpg	/p120701coll24/image/187.jpg
uacomm006p06_Page 5										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/187	187	188.jpg	/p120701coll24/image/188.jpg
uacomm006p07_Page 6										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/188	188	189.jpg	/p120701coll24/image/189.jpg
uacomm006p08_Page 7										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/189	189	190.jpg	/p120701coll24/image/190.jpg
uacomm006p09_Page 8										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/190	190	191.jpg	/p120701coll24/image/191.jpg
uacomm006p10_Page 9										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/191	191	192.jpg	/p120701coll24/image/192.jpg
uacomm006p11_Page 10										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/192	192	193.jpg	/p120701coll24/image/193.jpg
uacomm006p12_Back Cover										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-27	2009-04-27	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/193	193	194.jpg	/p120701coll24/image/194.jpg
uacomm002p01_Page 1										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/194	194	195.jpg	/p120701coll24/image/195.jpg
uacomm002p02_Page 2										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/195	195	196.jpg	/p120701coll24/image/196.jpg
uacomm002p03_Page 3										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/196	196	197.jpg	/p120701coll24/image/197.jpg
uacomm002p04_Page 4										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/197	197	198.jpg	/p120701coll24/image/198.jpg
uacomm002p05_Page 5										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/198	198	199.jpg	/p120701coll24/image/199.jpg
uacomm002p06_Page 6										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/199	199	200.jpg	/p120701coll24/image/200.jpg
uacomm008p01_Page 1										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/200	200	201.jpg	/p120701coll24/image/201.jpg
uacomm008p02_Page 2										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/201	201	202.jpg	/p120701coll24/image/202.jpg
uacomm008p03_Page 3										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/202	202	203.jpg	/p120701coll24/image/203.jpg
uacomm008p04_Page 4										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/203	203	204.jpg	/p120701coll24/image/204.jpg
uacomm008p05_Page 5										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/204	204	205.jpg	/p120701coll24/image/205.jpg
uacomm008p06_Page 6										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/205	205	206.jpg	/p120701coll24/image/206.jpg
uacomm008p07_Page 7										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/206	206	207.jpg	/p120701coll24/image/207.jpg
uacomm008p08_Page 8										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/207	207	208.jpg	/p120701coll24/image/208.jpg
uacomm008p09_Page 9										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/208	208	209.jpg	/p120701coll24/image/209.jpg
uacomm008p10_Page 10										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/209	209	210.jpg	/p120701coll24/image/210.jpg
uacomm008p11_Page 11										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/210	210	211.jpg	/p120701coll24/image/211.jpg
uacomm005p01_Front Cover										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/211	211	212.jpg	/p120701coll24/image/212.jpg
uacomm005p02_Page 1										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/212	212	213.jpg	/p120701coll24/image/213.jpg
uacomm005p03_Page 2										Imagery digitally captured with a digiBook 10000RGB scanner at 600 dpi and saved as TIFF.  Enhanced with PhotoShop 6.0.  Converted to JPEG.	See 'reference url' on the navigation bars.	Louisiana State University Libraries, Special Collections					Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									http://www.lib.lsu.edu/special/archives/digital		2009-04-28	2009-04-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p120701coll24/id/213	213	214.jpg	/p120701coll24/image/214.jpg
