Title	Date	Summary	Author	Index Terms	Author's Biographical Information	Addressee's Biographical Information	Finding Aid	Cite as	Repository	Transcriptions/Translations Note	Restrictions	Donor Information	Contact and Ordering Information	Item URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/141	141	142.jp2	/p16313coll34/image/142.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/142	142	143.jp2	/p16313coll34/image/143.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/143	143	144.jp2	/p16313coll34/image/144.jp2
duplantierf03022d_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/144	144	145.pdf	/p16313coll34/image/145.pdf
duplantierf03022e_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/145	145	146.pdf	/p16313coll34/image/146.pdf
Armand Allard Duplantier to Guy Allard Duplantier, 1801 March 15	1801-03-15	Armand Allard Duplantier informs his brother, Guy Allard Duplantier, Voiron, France, that he is sending a package care of Joseph Poignand [Poignaud?], 'who escaped the horrors of St. Domingue' and whose family in Nantes suffered from the French Revolution.  The addresser asks the recipient to take care of Poignand and relates how the latter has helped the writer after the death of Duplantier’s wife.	Duplantier, Armand, 1753-1827.	Haiti--History--Revolution, 1791-1804--Refugees.	Born in Voiron, France, on June 28, 1753, to Joseph Guy Allard du Plantier (1721-1801) and Jeanne Gabrielle Trénonay Allard du Plantier (ca. 1724-1797), Armand Gabriel Allard Duplantier ('Armand, Sr.') came to the Americas in 1778, attached to the Foix Regiment sent to support the American Revolution. He served as an aide-de-camp to General Lafayette. Mustered out of the service in 1780, he attempted to find a commission in the American forces under George Washington but was refused. At the invitation of his uncle Jean-Claude Trénonay, Armand traveled to Louisiana. He first intended to make the trip by sea, but was turned back by the events surrounding the siege of Charleston. He then made the voyage overland, starting in Fort Pitt (now Pittsburgh) and descending the Ohio River. His first expedition down the Ohio turned back under threat of capture by the Shawnee, allies of the British. The second attempt reached Vincennes safely, and from there, Armand gained the Mississippi River, arriving in Pointe Coupee Parish in March 1781. Armand married Augustine Gérard, his uncle's stepdaughter, in July 1781. She bore him seven children, only four of whom survived: Fergus Augustin Duplantier (1783-1844), Armand Allard Duplantier (1785-1862), Guy Allard Duplantier (1791-1835), and Augustine Eulalie Duplantier (1799-1864), wife of Louis Favrot (1788-1876).  Augustine Gérard Duplantier died in 1799 during an outbreak of yellow fever, shortly after giving birth to their surviving daughter.  Three years later, in 1802, Armand married Constance Rochon (d. 1840), widow of John Joyce (d. 1798), and through her gained possession of Magnolia Mound Plantation in Baton Rouge.  Constance bore him five more children: Euphémie Amelia Duplantier (1804-1826), wife of Anthony F. Peniston, Sr. (1796-1826), Augustin Duplantier (1805-1860), Didier Duplantier (1806-1835), Alberic Nicholas Duplantier (1808-1891), and Alfred Joseph Duplantier (1813-1892).  Beginning with the death of his uncle Jean-Claude Trénonay in 1792 and the complications in settling the estate, Armand was involved in continual legal and financial difficulties for the remainder of his life.  He dabbled in land speculation to augment the income from his plantation, but none of his schemes appears to have been successful. In addition, the United States government refused to recognize Spanish land grants in Louisiana, making it impossible for Armand to sell what land he owned before the Louisiana Purchase. With his debts mounting, his wife petitioned the courts for a separation of property in 1814. When Armand died in 1827, he was deeply in debt. His funeral procession included an honor guard from the local garrison in Baton Rouge, in recognition of his service in the American Revolution. Armand is buried in Highland Cemetery in Baton Rouge.	Duplantier, Guy Antoine Joseph Allard, 1747-1821: Armand Duplantier’s brother and frequent correspondent, he married Euphrosine Tivollier.	http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/146	146	147.cpd	/p16313coll34/image/147.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/147	147	148.jp2	/p16313coll34/image/148.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/148	148	149.jp2	/p16313coll34/image/149.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/149	149	150.jp2	/p16313coll34/image/150.jp2
Page 4																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/150	150	151.jp2	/p16313coll34/image/151.jp2
duplantierf03025e_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/151	151	152.pdf	/p16313coll34/image/152.pdf
duplantierf03025f_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/152	152	153.pdf	/p16313coll34/image/153.pdf
Armand Allard Duplantier to Guy Allard Duplantier, 1802 Jan. 28	1802-01-28	Armand Allard Duplantier, Baton Rouge, writes his brother, Guy Allard Duplantier, acknowledging the death of their father.  The writer mentions Gariot, Poignand [Poignaud?], Tricou’s boat, and Girod and indicates that the recipient has a child.  Duplantier relates the progress in Claude Trénonay's succession and ongoing plans to return to France.  He discusses cotton, indigo, slaves, and sugar, indicating the move toward cotton and sugar cane as major cash crops in Louisiana.  The addresser describes his attachment to his slaves and his concern for their welfare as some of the reasons for his delay in returning to France.  He speaks of property at Falque, La Rochette, Tullins ('Tulin'), and Le Plantier, France.  In a postscript, Duplantier refers to his cousin Madame Faure, Gariot, Faure, and Louisiana's retrocession to France.	Duplantier, Armand, 1753-1827.	Trénonay, Jean Claude, d. 1792--Estate.; Cotton growing--Louisiana.; Sugarcane industry--Louisiana.; Slaves--Louisiana--Social conditions.; Louisiana--Politics and government--To 1803.	Born in Voiron, France, on June 28, 1753, to Joseph Guy Allard du Plantier (1721-1801) and Jeanne Gabrielle Trénonay Allard du Plantier (ca. 1724-1797), Armand Gabriel Allard Duplantier ('Armand, Sr.') came to the Americas in 1778, attached to the Foix Regiment sent to support the American Revolution. He served as an aide-de-camp to General Lafayette. Mustered out of the service in 1780, he attempted to find a commission in the American forces under George Washington but was refused. At the invitation of his uncle Jean-Claude Trénonay, Armand traveled to Louisiana. He first intended to make the trip by sea, but was turned back by the events surrounding the siege of Charleston. He then made the voyage overland, starting in Fort Pitt (now Pittsburgh) and descending the Ohio River. His first expedition down the Ohio turned back under threat of capture by the Shawnee, allies of the British. The second attempt reached Vincennes safely, and from there, Armand gained the Mississippi River, arriving in Pointe Coupee Parish in March 1781. Armand married Augustine Gérard, his uncle's stepdaughter, in July 1781. She bore him seven children, only four of whom survived: Fergus Augustin Duplantier (1783-1844), Armand Allard Duplantier (1785-1862), Guy Allard Duplantier (1791-1835), and Augustine Eulalie Duplantier (1799-1864), wife of Louis Favrot (1788-1876).  Augustine Gérard Duplantier died in 1799 during an outbreak of yellow fever, shortly after giving birth to their surviving daughter.  Three years later, in 1802, Armand married Constance Rochon (d. 1840), widow of John Joyce (d. 1798), and through her gained possession of Magnolia Mound Plantation in Baton Rouge.  Constance bore him five more children: Euphémie Amelia Duplantier (1804-1826), wife of Anthony F. Peniston, Sr. (1796-1826), Augustin Duplantier (1805-1860), Didier Duplantier (1806-1835), Alberic Nicholas Duplantier (1808-1891), and Alfred Joseph Duplantier (1813-1892).  Beginning with the death of his uncle Jean-Claude Trénonay in 1792 and the complications in settling the estate, Armand was involved in continual legal and financial difficulties for the remainder of his life.  He dabbled in land speculation to augment the income from his plantation, but none of his schemes appears to have been successful. In addition, the United States government refused to recognize Spanish land grants in Louisiana, making it impossible for Armand to sell what land he owned before the Louisiana Purchase. With his debts mounting, his wife petitioned the courts for a separation of property in 1814. When Armand died in 1827, he was deeply in debt. His funeral procession included an honor guard from the local garrison in Baton Rouge, in recognition of his service in the American Revolution. Armand is buried in Highland Cemetery in Baton Rouge.	Duplantier, Guy Antoine Joseph Allard, 1747-1821: Armand Duplantier’s brother and frequent correspondent, he married Euphrosine Tivollier.	http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/153	153	154.cpd	/p16313coll34/image/154.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/154	154	155.jp2	/p16313coll34/image/155.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/155	155	156.jp2	/p16313coll34/image/156.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/156	156	157.jp2	/p16313coll34/image/157.jp2
Page 4																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/157	157	158.jp2	/p16313coll34/image/158.jp2
duplantierf03030e_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/158	158	159.pdf	/p16313coll34/image/159.pdf
duplantierf03030f_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/159	159	160.pdf	/p16313coll34/image/160.pdf
Armand Allard Duplantier to Guy Allard Duplantier, 1802 June 03	1802-06-03	Armand Allard Duplantier, New Orleans, informs his brother, Guy Allard Duplantier, that his sons Armand and Guy are leaving for France with Dr. and Mrs. Giovellina.  The writer provides background on the Giovellinas, alluding to their connections with Joseph Bonaparte and mentioning that they have adopted an orphan that they are taking to France for education.  Duplantier discusses educational arrangements for his sons, investing in a boat, and returning to France.  He continues to refer to the effects that the colony's uncertain future are having on Louisiana.  He states that he has written to Tivollier and recommends sending correspondence through the de l’Arbres in Le Havre and Mr. Mérieult in New Orleans.  At the beginning of the letter, the addresser notes that the addressee is a father, and, at the end, he sends his regards to 'your little Joseph.'  Duplantier says to tell Gariot that Mr. Dorsière has not yet arrived.	Duplantier, Armand, 1753-1827.	Duplantier, Armand, 1753-1827--Family.; French--Family relationships--Louisiana.; Colonists--Family relationships--Louisiana.; Louisiana--Politics and government--To 1803.	Born in Voiron, France, on June 28, 1753, to Joseph Guy Allard du Plantier (1721-1801) and Jeanne Gabrielle Trénonay Allard du Plantier (ca. 1724-1797), Armand Gabriel Allard Duplantier ('Armand, Sr.') came to the Americas in 1778, attached to the Foix Regiment sent to support the American Revolution. He served as an aide-de-camp to General Lafayette. Mustered out of the service in 1780, he attempted to find a commission in the American forces under George Washington but was refused. At the invitation of his uncle Jean-Claude Trénonay, Armand traveled to Louisiana. He first intended to make the trip by sea, but was turned back by the events surrounding the siege of Charleston. He then made the voyage overland, starting in Fort Pitt (now Pittsburgh) and descending the Ohio River. His first expedition down the Ohio turned back under threat of capture by the Shawnee, allies of the British. The second attempt reached Vincennes safely, and from there, Armand gained the Mississippi River, arriving in Pointe Coupee Parish in March 1781. Armand married Augustine Gérard, his uncle's stepdaughter, in July 1781. She bore him seven children, only four of whom survived: Fergus Augustin Duplantier (1783-1844), Armand Allard Duplantier (1785-1862), Guy Allard Duplantier (1791-1835), and Augustine Eulalie Duplantier (1799-1864), wife of Louis Favrot (1788-1876).  Augustine Gérard Duplantier died in 1799 during an outbreak of yellow fever, shortly after giving birth to their surviving daughter.  Three years later, in 1802, Armand married Constance Rochon (d. 1840), widow of John Joyce (d. 1798), and through her gained possession of Magnolia Mound Plantation in Baton Rouge.  Constance bore him five more children: Euphémie Amelia Duplantier (1804-1826), wife of Anthony F. Peniston, Sr. (1796-1826), Augustin Duplantier (1805-1860), Didier Duplantier (1806-1835), Alberic Nicholas Duplantier (1808-1891), and Alfred Joseph Duplantier (1813-1892).  Beginning with the death of his uncle Jean-Claude Trénonay in 1792 and the complications in settling the estate, Armand was involved in continual legal and financial difficulties for the remainder of his life.  He dabbled in land speculation to augment the income from his plantation, but none of his schemes appears to have been successful. In addition, the United States government refused to recognize Spanish land grants in Louisiana, making it impossible for Armand to sell what land he owned before the Louisiana Purchase. With his debts mounting, his wife petitioned the courts for a separation of property in 1814. When Armand died in 1827, he was deeply in debt. His funeral procession included an honor guard from the local garrison in Baton Rouge, in recognition of his service in the American Revolution. Armand is buried in Highland Cemetery in Baton Rouge.	Duplantier, Guy Antoine Joseph Allard, 1747-1821: Armand Duplantier’s brother and frequent correspondent, he married Euphrosine Tivollier.	http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/160	160	161.cpd	/p16313coll34/image/161.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/161	161	162.jp2	/p16313coll34/image/162.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/162	162	163.jp2	/p16313coll34/image/163.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/163	163	164.jp2	/p16313coll34/image/164.jp2
Page 4																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/164	164	165.jp2	/p16313coll34/image/165.jp2
duplantierf03030e_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/165	165	166.pdf	/p16313coll34/image/166.pdf
duplantierf03030f_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/166	166	167.pdf	/p16313coll34/image/167.pdf
Armand Allard Duplantier to Guy Allard Duplantier, 1802 June 03	1802-06-03	Armand Allard Duplantier, New Orleans, tells his brother, Guy Allard Duplantier, that the writer's son Armand is taking the recipient a power of attorney that will allow the addressee to represent the addresser in Europe.  Duplantier asks his brother to present his sons to their relatives in Voiron, especially the Faures.  The writer expresses particular concern for Armand's education.  Duplantier encloses a bill to be forwarded to Tivollier.  The bill concerns indigo;  John Francis Merieult;  the ship Captain Josiah Burnham, destined for London via Cowes, England;  Armand Duplantier;  and Louis Giovellina.	Duplantier, Armand, 1753-1827.	Duplantier, Armand, 1753-1827--Family.; Duplantier, Armand, 1785-1862.; French--Family relationships--Louisiana.; Colonists--Family relationships--Louisiana.; Boys--Education--France.; Power of attorney--France.	Born in Voiron, France, on June 28, 1753, to Joseph Guy Allard du Plantier (1721-1801) and Jeanne Gabrielle Trénonay Allard du Plantier (ca. 1724-1797), Armand Gabriel Allard Duplantier ('Armand, Sr.') came to the Americas in 1778, attached to the Foix Regiment sent to support the American Revolution. He served as an aide-de-camp to General Lafayette. Mustered out of the service in 1780, he attempted to find a commission in the American forces under George Washington but was refused. At the invitation of his uncle Jean-Claude Trénonay, Armand traveled to Louisiana. He first intended to make the trip by sea, but was turned back by the events surrounding the siege of Charleston. He then made the voyage overland, starting in Fort Pitt (now Pittsburgh) and descending the Ohio River. His first expedition down the Ohio turned back under threat of capture by the Shawnee, allies of the British. The second attempt reached Vincennes safely, and from there, Armand gained the Mississippi River, arriving in Pointe Coupee Parish in March 1781. Armand married Augustine Gérard, his uncle's stepdaughter, in July 1781. She bore him seven children, only four of whom survived: Fergus Augustin Duplantier (1783-1844), Armand Allard Duplantier (1785-1862), Guy Allard Duplantier (1791-1835), and Augustine Eulalie Duplantier (1799-1864), wife of Louis Favrot (1788-1876).  Augustine Gérard Duplantier died in 1799 during an outbreak of yellow fever, shortly after giving birth to their surviving daughter.  Three years later, in 1802, Armand married Constance Rochon (d. 1840), widow of John Joyce (d. 1798), and through her gained possession of Magnolia Mound Plantation in Baton Rouge.  Constance bore him five more children: Euphémie Amelia Duplantier (1804-1826), wife of Anthony F. Peniston, Sr. (1796-1826), Augustin Duplantier (1805-1860), Didier Duplantier (1806-1835), Alberic Nicholas Duplantier (1808-1891), and Alfred Joseph Duplantier (1813-1892).  Beginning with the death of his uncle Jean-Claude Trénonay in 1792 and the complications in settling the estate, Armand was involved in continual legal and financial difficulties for the remainder of his life.  He dabbled in land speculation to augment the income from his plantation, but none of his schemes appears to have been successful. In addition, the United States government refused to recognize Spanish land grants in Louisiana, making it impossible for Armand to sell what land he owned before the Louisiana Purchase. With his debts mounting, his wife petitioned the courts for a separation of property in 1814. When Armand died in 1827, he was deeply in debt. His funeral procession included an honor guard from the local garrison in Baton Rouge, in recognition of his service in the American Revolution. Armand is buried in Highland Cemetery in Baton Rouge.	Duplantier, Guy Antoine Joseph Allard, 1747-1821: Armand Duplantier’s brother and frequent correspondent, he married Euphrosine Tivollier.	http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/167	167	168.cpd	/p16313coll34/image/168.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/168	168	169.jp2	/p16313coll34/image/169.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/169	169	170.jp2	/p16313coll34/image/170.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/170	170	171.jp2	/p16313coll34/image/171.jp2
Page 4																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/171	171	172.jp2	/p16313coll34/image/172.jp2
duplantierf03026e_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/172	172	173.pdf	/p16313coll34/image/173.pdf
duplantierf03026f_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/173	173	174.pdf	/p16313coll34/image/174.pdf
Armand Allard Duplantier to Guy Allard Duplantier, 1802 Mar. 15	1802-03-15	Armand Allard Duplantier, New Orleans, writes his brother, Guy Allard Duplantier, Voiron, France.  He speaks of smallpox in Louisiana, inoculation against it, and the disease's effect on slave sales.  He continues to track the progress in Claude Trénonay's succession and gives information on indigo, cotton, and sugar in Louisiana.  Duplantier relates the economic effect of Louisiana's retrocession to France as well as his plans to send his son Guy to Europe.  The writer repeats his interest in property at Falque and Tullins ('Tulin'), France.  He sends his regards to Eduvige, his aunts Allard and Guimard, Madame Faure, the 'Penaillon,' Fr. Perrin, and the recipient's wife and child.  In the margin, Duplantier adds that Poignand [Poignaud?] has returned to Louisiana and has expressed his regrets at not having been able to see the recipient while in France.	Duplantier, Armand, 1753-1827.	French--Family relationships--Louisiana.; Colonists--Family relationships--Louisiana.; Smallpox--Louisiana.; Louisiana--Politics and government--To 1803.	Born in Voiron, France, on June 28, 1753, to Joseph Guy Allard du Plantier (1721-1801) and Jeanne Gabrielle Trénonay Allard du Plantier (ca. 1724-1797), Armand Gabriel Allard Duplantier ('Armand, Sr.') came to the Americas in 1778, attached to the Foix Regiment sent to support the American Revolution. He served as an aide-de-camp to General Lafayette. Mustered out of the service in 1780, he attempted to find a commission in the American forces under George Washington but was refused. At the invitation of his uncle Jean-Claude Trénonay, Armand traveled to Louisiana. He first intended to make the trip by sea, but was turned back by the events surrounding the siege of Charleston. He then made the voyage overland, starting in Fort Pitt (now Pittsburgh) and descending the Ohio River. His first expedition down the Ohio turned back under threat of capture by the Shawnee, allies of the British. The second attempt reached Vincennes safely, and from there, Armand gained the Mississippi River, arriving in Pointe Coupee Parish in March 1781. Armand married Augustine Gérard, his uncle's stepdaughter, in July 1781. She bore him seven children, only four of whom survived: Fergus Augustin Duplantier (1783-1844), Armand Allard Duplantier (1785-1862), Guy Allard Duplantier (1791-1835), and Augustine Eulalie Duplantier (1799-1864), wife of Louis Favrot (1788-1876).  Augustine Gérard Duplantier died in 1799 during an outbreak of yellow fever, shortly after giving birth to their surviving daughter.  Three years later, in 1802, Armand married Constance Rochon (d. 1840), widow of John Joyce (d. 1798), and through her gained possession of Magnolia Mound Plantation in Baton Rouge.  Constance bore him five more children: Euphémie Amelia Duplantier (1804-1826), wife of Anthony F. Peniston, Sr. (1796-1826), Augustin Duplantier (1805-1860), Didier Duplantier (1806-1835), Alberic Nicholas Duplantier (1808-1891), and Alfred Joseph Duplantier (1813-1892).  Beginning with the death of his uncle Jean-Claude Trénonay in 1792 and the complications in settling the estate, Armand was involved in continual legal and financial difficulties for the remainder of his life.  He dabbled in land speculation to augment the income from his plantation, but none of his schemes appears to have been successful. In addition, the United States government refused to recognize Spanish land grants in Louisiana, making it impossible for Armand to sell what land he owned before the Louisiana Purchase. With his debts mounting, his wife petitioned the courts for a separation of property in 1814. When Armand died in 1827, he was deeply in debt. His funeral procession included an honor guard from the local garrison in Baton Rouge, in recognition of his service in the American Revolution. Armand is buried in Highland Cemetery in Baton Rouge.	Duplantier, Guy Antoine Joseph Allard, 1747-1821: Armand Duplantier’s brother and frequent correspondent, he married Euphrosine Tivollier.	http://www.lib.lsu.edu/special/findaid/5060.pdf	Armand Duplantier Family Letters, Mss. 5060, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special ).	The transcriptions and translations remain true to the nonstandard grammar, punctuation, and spelling of the original documents, with only minimal corrections made in isolated instances for the sake of clarity.	Physical rights are retained by the LSU Libraries. In accordance with U. S. copyright laws, this work is in the public domain.	The Armand Duplantier Family Letters were given by the descendants of Guy Antoine Allard Duplantier, elder brother of Armand Duplantier, to their Louisiana cousins, and subsequently donated to the LSU Libraries.	See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request. E-mail lsudiglib@lsu.edu with questions or comments.			2015-03-03	2015-03-03	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/174	174	175.cpd	/p16313coll34/image/175.cpd
Page 1																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/175	175	176.jp2	/p16313coll34/image/176.jp2
Page 2																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/176	176	177.jp2	/p16313coll34/image/177.jp2
Page 3																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/177	177	178.jp2	/p16313coll34/image/178.jp2
page 4																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/178	178	179.jp2	/p16313coll34/image/179.jp2
duplantierf03027e_Transcription																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/179	179	180.pdf	/p16313coll34/image/180.pdf
duplantierf03027f_Translation																2013-04-11	2013-04-11	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll34/id/180	180	181.pdf	/p16313coll34/image/181.pdf
