Title	Creator	Contributors	Date	Publisher	Subjects	Geographic term	Biographical Note	Description	Notes	Original Format	Format	Language	Repository	Coverage	Restrictions	Cite As	Contact and Ordering Information	Cataloger	Catalog Date	Object File Name	Item URL	Collection URL	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Map 03																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/24	24	5.jp2	/LMP/image/5.jp2
Map 04																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/25	25	6.jp2	/LMP/image/6.jp2
Map 05																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/26	26	7.jp2	/LMP/image/7.jp2
Map 06																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/27	27	8.jp2	/LMP/image/8.jp2
Map 07																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/28	28	9.jp2	/LMP/image/9.jp2
Map 08																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/29	29	10.jp2	/LMP/image/10.jp2
Map 09																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/30	30	11.jp2	/LMP/image/11.jp2
Map 10																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/31	31	12.jp2	/LMP/image/12.jp2
Map 11																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/32	32	13.jp2	/LMP/image/13.jp2
Map 12																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/33	33	14.jp2	/LMP/image/14.jp2
Map 13																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/34	34	15.jp2	/LMP/image/15.jp2
Map 14																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/35	35	16.jp2	/LMP/image/16.jp2
Map 15																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/36	36	17.jp2	/LMP/image/17.jp2
Map 16																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/37	37	18.jp2	/LMP/image/18.jp2
Map 17																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/38	38	19.jp2	/LMP/image/19.jp2
Map 18																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/39	39	20.jp2	/LMP/image/20.jp2
Map 19																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/40	40	21.jp2	/LMP/image/21.jp2
Map 20																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/41	41	22.jp2	/LMP/image/22.jp2
Map 21																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/42	42	23.jp2	/LMP/image/23.jp2
Map 22																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/43	43	24.jp2	/LMP/image/24.jp2
Map 23																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/44	44	25.jp2	/LMP/image/25.jp2
Map 24																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/45	45	26.jp2	/LMP/image/26.jp2
Map 25																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/46	46	27.jp2	/LMP/image/27.jp2
Map 26																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/47	47	28.jp2	/LMP/image/28.jp2
Map 27																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/48	48	29.jp2	/LMP/image/29.jp2
Map 28																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/49	49	30.jp2	/LMP/image/30.jp2
Map 29																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/50	50	31.jp2	/LMP/image/31.jp2
Map 30																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/51	51	32.jp2	/LMP/image/32.jp2
Map 31																	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/52	52	33.jp2	/LMP/image/33.jp2
Map of a reconnaissance of the Mississippi River from Cairo, Ill's. to New Orleans, La. To accompany the report on that portion of the third subdivision of the Mississippi route to the seaboard made in accordance with an Act of Congress approved June 23rd, 1874		Suter, Charles R., 1842-1920.	1874/06/03	[Washington, N. Peters, photo-lithographers, 1878?]		Mississippi River--Maps.		On cover: Survey of the Mississippi River, Jos. R. Pursell, California, O.	Scale of maps 1:63,360 or 1 inch to 1 mile.	Maps			Louisiana State University Libraries, Special Collections http://www.lib.lsu.edu/special				E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.				See 'reference url' on the navigation bars.					2009-10-15	2009-10-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/53	53	34.jp2	/LMP/image/34.jp2
Map of a reconnaissance of the Mississippi River from Cairo, Ill's. to New Orleans, La. To accompany the report on that portion of the third subdivision of the Mississippi route to the seaboard made in accordance with an Act of Congress approved June 23rd, 1874	United States. Army. Corps of Engineers.;	Suter, Charles R., 1842-1920.;	1874/06/23	[Washington, N. Peters, photo-lithographers, 1878?]		Mississippi River--Maps.;		31 (i.e. 32) l. of maps. 40 x 60 cm.	On cover: Survey of the Mississippi River, Jos. R. Pursell, California, O.; The map, "Map of a reconnaissance of the Mississippi River from Cairo, Ill's. to New Orleans, La. To accompany the report on that portion of the third subdivision of the Mississippi route to the seaboard made in accordance with an Act of Congress approved June 23rd, 1874, by Charles R. Suter," is comprised of 31 maps providing details of the Mississippi River channel and some aspects of the flora along its banks.	maps		en	Louisiana State University Libraries, Special Collections			Army Corps of Engineers Mississippi River Map and Photographs, Mss. 4966, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.				See 'reference url' on the navigation bars.					2010-02-25	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/54	54	35.cpd	/LMP/image/35.cpd
Map of the city of New Orleans showing location of exposition grounds and all approaches thereto by land and water	New Orleans (La.) World's Industrial and Cotton Centennial Exposition, 1884-1885.		1884	N[ew] O[rleans] Southern Lith. Co. [1884]	New Orleans (La.)--Description and travel--Maps.; New Orleans (La.)--Maps;			map 70 x 96 cm.	At head of title: The World's Industrial and Cotton Centennial Exposition, New Orleans, La., U.S.A. Department of Installation. Plan no. 2. Inset at top right: "The Ground Plan."	Maps;							E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.									2010-02-25	2010-02-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LMP/id/55	55	36.jp2	/LMP/image/36.jp2
