Title	Creator	Contributors	Publisher	Subjects	Description	Notes	Date	Coverage	Original Format	Format	Language	Object File Name	Repository	Restrictions	Cite As	Contact and Ordering Information	Item URL	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Fort Adams loc. on bend Miss R.	Russell, Richard Joel, 1895-			;		1 p. 8x5""			Field notes		en	rj000166	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/47	47	27615172492004_rj000166.jpg	/RJR/image/27615172492004_rj000166.jpg
Cinclare Louisiana climate 1910-1930	Russell, Richard Joel, 1895-			Climatology; Cinclare (La.)--Climate;		1 p. 12x5""			Field notes		en	rj000223	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/48	48	58831172492004_rj000223.jpg	/RJR/image/58831172492004_rj000223.jpg
Louisiana State University monthly weather report for July 1934	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 14x8.5""			Field notes		en	rj000109	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/49	49	8838172492004_rj000109.pdf	/RJR/image/8838172492004_rj000109.pdf
Louisiana Bunkie quadrangle	United States. War Dept. Corps of Engineers	United States. Mississippi River Commission	Engineer Reproduction Plant, U. S. Army, Washington, D. C.	Maps; Bunkie (La.); Coastal ecology--Louisiana; Louisiana--Maps;		21x17.75""	1933	W0921500; W0920000; N0310000; N0304500; N30°45'00""/W92°00'00""; N30d45'00""/W92d00'00""	Maps		en	rj000018	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/50	50	93219172492004_rj000018.jpg	/RJR/image/93219172492004_rj000018.jpg
Louisiana State University monthly weather report for December 1933	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 14x8.5""			Field notes		en	rj000122	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2008-05-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/51	51	96349172492004_rj000122.pdf	/RJR/image/96349172492004_rj000122.pdf
Natchitoches Louisiana climate 1893-1896, 1922-1930	Russell, Richard Joel, 1895-			Climatology; Natchitoches (La.)--Climate;		1 p. 12x5""			Field notes		en	rj000199	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/52	52	91624172492004_rj000199.jpg	/RJR/image/91624172492004_rj000199.jpg
Louisiana (Calcasieu Parish) West Lake quadrangle	United States. Dept. of the Interior. Geological Survey			Coastal ecology--Louisiana; Louisiana--Maps; Maps; West Lake (La.);		19.5x16.71""		W0932230; W0931500; N0301500; N0300730; N30°07'30""/W93°15'00""; N30d07'30""/W93d15'00""	Maps		en	rj000025	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with the U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/53	53	60421172492004_rj000025.jpg	/RJR/image/60421172492004_rj000025.jpg
Oral history interview, 1996	Gremillion, Jack P. F.	Louisiana State University (Baton Rouge, La.) T. Harry Williams Center for Oral History		Submerged lands--Louisiana; Louisiana--Coastal ecology; Coasts--Louisiana; Civil rights; Mineral resources conservation--Louisiana;		2.5 x 4""; Sound cassette. Tape no. 929. Side A. Time 004438. Hebert, Mary Jacqueline, interviewer.	1/31/1996		Audiocassettes		en	rj000249	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2005-07-29	2005-07-29	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/54	54	1037172492004_rj000249.ram	/RJR/image/1037172492004_rj000249.ram
Louisiana State University monthly weather report for January 1934	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 14x8.5""			Field notes		en	rj000105	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/55	55	26033172492004_rj000105.pdf	/RJR/image/26033172492004_rj000105.pdf
Louisiana Odenburg quadrangle	United States. War Dept. Corps of Engineers	United States. Mississippi River Commission	Engineer Reproduction Plant, U. S. Army, Washington, D. C.	Coastal ecology--Louisiana; Louisiana--Maps; Maps; Odenburg (La.);		21x17.25""	1934	W0920000; W0914500; N0310000; N0304500; N30°45'00""/W91°45'00""; N30d45'00""/W91d45'00""	Maps		en	rj000034	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/56	56	99523172492004_rj000034.jpg	/RJR/image/99523172492004_rj000034.jpg
Tallulah Louisiana climate 1907-1917, 1924-1930	Russell, Richard Joel, 1895-			Climatology; Tallulah (La.)--Climate;		1 p. 12x5""			Field notes		en	rj000208	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/57	57	30727172492004_rj000208.jpg	/RJR/image/30727172492004_rj000208.jpg
Louisiana Glenmora quadrangle	United States. Dept. of the Interior. Geological Survey			Maps; Glenmora (La.); Louisiana--Maps;		19.28x16.13""		W0923730; W0923000; N0310000; N0305230; N30°52'30""/W92°30'00""; N30d51'30""/W92d30'00""	Maps		en	rj000045	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/58	58	94826172492004_rj000045.jpg	/RJR/image/94826172492004_rj000045.jpg
Parallels Development of Oil Geology Department aids oil industry			Sunday Advocate, Baton Rouge, La.	Petroleum industry and trade--Louisiana; Louisiana; Coastal ecology--Louisiana; Louisiana State University (Baton Rouge, La.) Dept. of Geology;		Section A, p. 12	2/6/1966		Articles		en	rj000073	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/59	59	82332172492004_rj000073.pdf	/RJR/image/82332172492004_rj000073.pdf
Elizabeth Louisiana climate1893-1930	Russell, Richard Joel, 1895-			Climatology; Elizabeth (La.)--Climate;		1 p. 12x5""			Field notes		en	rj000231	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/60	60	79133172492004_rj000231.jpg	/RJR/image/79133172492004_rj000231.jpg
Louisiana Jena quadrangle	United States. War Dept. Corps of Engineers	United States. Mississippi River Commission	Engineer Reproduction Plant, U. S. Army, Washington, D. C.	Maps; Jena (La.); Louisiana--Maps;		19x15.46""	1933	W0921500; W0920000;	Maps		en	rj000039	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with the U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/61	61	41625172492004_rj000039.jpg	/RJR/image/41625172492004_rj000039.jpg
Boyce, La. (SE)	United States. Dept. of the Interior. Geological Survey			Maps; Boyce (La.); Louisiana--Maps;		19x16.02""		W0923000; N0311500; N31°15'00""/W92°30'00""; N31d15'00""/W92d30'00""	Maps		en	rj000010	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/62	62	93217172492004_rj000010.jpg	/RJR/image/93217172492004_rj000010.jpg
Louisiana (Calcasieu Parish) Moss Bluff quadrangle	United States. Dept. of the Interior. Geological Survey			Coastal ecology--Louisiana; Louisiana--Maps; Maps; Moss Bluff (La.);		19.38x16.40""		W0931500; W0930730; N0302230; N0301500; N30°15'00""/W93°07'30""; N30d15'00""/W93d07'30""	Maps		en	rj000053	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/63	63	90128172492004_rj000053.jpg	/RJR/image/90128172492004_rj000053.jpg
Louisiana Lecompte quadrangle	United States. War Dept. Corps of Engineers	United States. Mississippi River Commission.	Engineer Reproduction Plant, U. S. Army, Washington, D. C.	Maps; Lecompte, (La.); Coastal ecology--Louisiana; Louisiana--Maps;		21.63x17.49""	1933	W0923000; W0921500; N0311500; N0310000; N31°00'00""/W92°15'00""; N31d00'00""/W92d15'00""	Maps		en	rj000037	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with the U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/64	64	77624172492004_rj000037.jpg	/RJR/image/77624172492004_rj000037.jpg
Jeanerette Louisiana climate 1889-1903, 1913-1930	Russell, Richard Joel, 1895-			Climatology; Jeanerette (La.)--Climate;		1 p. 12x5""			Field notes		en	rj000238	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/65	65	74535172492004_rj000238.jpg	/RJR/image/74535172492004_rj000238.jpg
Cades climate 1910-1919	Russell, Richard Joel, 1895-			;		1 p. 12x5""			Field notes		en	rj000219	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/66	66	65130172492004_rj000219.jpg	/RJR/image/65130172492004_rj000219.jpg
Louisiana State University monthly weather report for August 1934	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 14x8.5""			Field notes		en	rj000110	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/67	67	77638172492004_rj000110.pdf	/RJR/image/77638172492004_rj000110.pdf
Monroe Louisiana climate 1886-1930	Russell, Richard Joel, 1895-			Climatology; Monroe (La.)--Climate;		1 p. 12x5""			Field notes		en	rj000197	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/68	68	49524172492004_rj000197.jpg	/RJR/image/49524172492004_rj000197.jpg
Louisiana;  No. 252	Goode, J. Paul, 1862-1932		University of Chicago Press, Chicago, Ill.	Rain and rainfall--Louisiana; Louisiana--Maps;		16.75x20.75""; Scale 1:1267200. Sinusoidal equal area proj. Uncoded coordinates denote the southeastern point of this map.  This map was attached to the title ""Louisiana State University monthly weather report of June, 1933.""		W0940000; W0890000; N0330000; N0290000; N29d00'00""/W89d00'00""; N29d00'00""/W89d00'00""	Maps		eng.	rj000244	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/69	69	91636172492004_rj000244.jpg	/RJR/image/91636172492004_rj000244.jpg
Opelousas quadrangle	United States. War Dept. Corps of Engineers	United States. Mississippi River Commission	Engineer Reproduction Plant, U. S. Army, Washington D. C.	Coastal ecology--Louisiana; Louisiana--Maps; Maps; Opelousas (La.);		20x17.76""	1932	W0921500; W0920000; N0304500; N0303000; N30°30'00""/W92°00'00""; N30d30'00""/W92d00'00""	Maps		en	rj000040	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/70	70	66625172492004_rj000040.jpg	/RJR/image/66625172492004_rj000040.jpg
New Iberia, South to Houma	Russell, Richard Joel, 1895-			Local geography; Louisiana; Louisiana--Description and travel;		4 p. 11x8.5""			Field notes		en	rj000067	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/71	71	54131172492004_rj000067.pdf	/RJR/image/54131172492004_rj000067.pdf
Land survey	Russell, Richard Joel, 1895-			;		4 p. 5x8""			Field notes		en	rj000152	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/72	72	576172492004_rj000152.pdf	/RJR/image/576172492004_rj000152.pdf
Louisiana State University monthly weather report for July 1931	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 11x8.5""			Field notes		en	rj000140	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/73	73	4790172492004_rj000140.pdf	/RJR/image/4790172492004_rj000140.pdf
Survey of Pearl River	Russell, Richard Joel, 1895-			Louisiana; Surveying; Pearl River (Miss. and La.);		26 p. 8x5""			Field notes		en	rj000179	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/74	74	76015172492004_rj000179.pdf	/RJR/image/76015172492004_rj000179.pdf
Louisiana State University monthly weather report for March 1934	Russell, Richard Joel, 1895-			Weather--Louisiana State University (Baton Rouge, La.); Louisiana State University (Baton Rouge, La.);		2 p. 14x8.5""			Field notes		en	rj000106	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	Physical rights are retained by the LSU Libraries. Copyright is retained in accordance with U. S. copyright laws.	Louisiana Coastal Ecology: Richard J. Russell Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_RJR.php?CISOROOT=/RJR			2004-09-24	2004-09-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/RJR/id/75	75	85433172492004_rj000106.pdf	/RJR/image/85433172492004_rj000106.pdf
