Title	Compound	Notes	Date	Photographer	Index Terms	Item Number	Collection Name	Digital Type	Digital Size	Original Type/Size	Rights	Collection Source	Repository Collection Guide	Source	Cite As	Contact and Ordering Information	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
McGill Bend, opening in canopy, June 1937		Singer Tract, Madison Parish, LA.	June 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs;McGIll Bend (La.)--Photographs	4171033p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1863 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/24	24	25.jpg	/Tensas/image/25.jpg
Partially logged woods in Ayer Tract in McGill Bend, June 1937		Singer Tract, Madison Parish, LA.	June 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs;Logging--Louisiana--Madison Parish--Photographs	4171034p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1870 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/25	25	26.jpg	/Tensas/image/26.jpg
Dead limb scaled of bark by ivory-billed woodpeckers, June 1937		Singer Tract, Madison Parish, LA.	June 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171037p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1875 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/26	26	27.jpg	/Tensas/image/27.jpg
Dead hackberry fed upon by ivory-billed woodpeckers, June 1937		Singer Tract, Madison Parish, LA.	June 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Hackberry--Photographs	4171038p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1842 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/27	27	28.jpg	/Tensas/image/28.jpg
Cabin on Sharkey Road, near Alligator Bayou, July 1937		Singer Tract, Madison Parish, LA.	July 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Cabins--Louisiana--Madison Parish--Photographs	4171042p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1864 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/28	28	29.jpg	/Tensas/image/29.jpg
Tensas River, July 1937		Singer Tract, Madison Parish, LA.	July 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Tensas River (La.)--Photographs	4171043p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1843 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/29	29	30.jpg	/Tensas/image/30.jpg
Woods near John's Bayou, December 1937		Singer Tract, Madison Parish, LA.	December 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171048p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1845 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/30	30	31.jpg	/Tensas/image/31.jpg
Greenleaf Bend, gum ridge, December 1937		Singer Tract, Madison Parish, LA.	December 1937	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171049p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1846 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/31	31	32.jpg	/Tensas/image/32.jpg
Horse, "Charlie," used in ivory-billed [woodpecker] study in 1938		Singer Tract, Madison Parish, LA.	1938	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Horses--Photographs	4171055p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1875 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/32	32	33.jpg	/Tensas/image/33.jpg
Ridge woods, 1938		Singer Tract, Madison Parish, LA.	1938	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171056p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1827 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/33	33	34.jpg	/Tensas/image/34.jpg
John's Bayou, winter 1937 or 1938		Singer Tract, Madison Parish, LA.	1937/1938	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;John's Bayou (La.)--Photographs	4171057p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1860 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/34	34	35.jpg	/Tensas/image/35.jpg
Nestling ivory-billed woodpecker on J.J. Kuhn, March 6, 1938		Singer Tract, Madison Parish, LA.	March 6, 1938	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Ivory-billed woodpecker--Photographs;Kuhn, J.J.--Photographs	4171058p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1874 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/35	35	36.jpg	/Tensas/image/36.jpg
Nestling ivory-billed woodpecker and J.J. Kuhn, March 6, 1938		Singer Tract, Madison Parish, LA.	March 6, 1938	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Ivory-billed woodpecker--Photographs;Kuhn, J.J.--Photographs	4171059p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1871 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/36	36	37.jpg	/Tensas/image/37.jpg
Cabin at Sharkey Road at Alligator Bayou, Spring 1939		Singer Tract, Madison Parish, LA.	Spring 1939	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Cabins--Louisiana--Madison Parish--Photographs	4171066p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1857 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/37	37	38.jpg	/Tensas/image/38.jpg
Jesse Laird and horses, Spring 1939		Singer Tract, Madison Parish, LA.	Spring 1939	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Laird, Jesse--Photographs	4171068p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1739 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/38	38	39.jpg	/Tensas/image/39.jpg
Big cottonwood, near Methiglum Bayou, Spring 1939		Singer Tract, Madison Parish, LA.	Spring 1939	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Cottonwood--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171070p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1757 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/39	39	40.jpg	/Tensas/image/40.jpg
Young ivory-billed woodpecker in flight, April 1939		Singer Tract, Madison Parish, LA.	April 1939	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Ivory-billed woodpecker--Photographs	4171079p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1761 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/40	40	41.jpg	/Tensas/image/41.jpg
Adult ivory-billed woodpecker in flight, April 1939		Singer Tract, Madison Parish, LA.	April 1939	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Ivory-billed woodpecker--Photographs	4171080p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1777 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/41	41	42.jpg	/Tensas/image/42.jpg
Lake in Andrews Bend, May 1939		Singer Tract, Madison Parish, LA. [This image shows a different view than that in 4171083, q.v.]	May 1939	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Lakes--Photographs;Cypress--Photographs	4171081p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1766 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/42	42	43.jpg	/Tensas/image/43.jpg
Rainey Lake, Greenlea Bend, May 1939		Singer Tract, Madison Parish, LA. [This image shows a different view than that in 4171085, q.v.]	May 1939	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Lakes--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171084p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1759 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/43	43	44.jpg	/Tensas/image/44.jpg
Rainey Lake, Greenlea Bend, May 1939		Singer Tract, Madison Parish, LA. [This image shows a different view than that in 4171086, q.v.]	May 1939	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Lakes--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171085p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	1757 ppi x 2560 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/44	44	45.jpg	/Tensas/image/45.jpg
Temporary camp on Indian Lake		Singer Tract, Madison Parish, LA.	ca. 1940	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Camp sites, facilities, etc.--Photographs;Automobiles 1900-1940--Photographs	4171087p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1881 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/45	45	46.jpg	/Tensas/image/46.jpg
Bridge on Sharley Road over John's Bayou, March 1940		Singer Tract, Madison Parish, LA.	March 1940	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Bridges--Photographs	4171089p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1773 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/46	46	47.jpg	/Tensas/image/47.jpg
Slough or cypress brake, near Rainey Lake, March 1940		Singer Tract, Madison Parish, LA.	March 1940	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Cypress--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171093p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1747 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/47	47	48.jpg	/Tensas/image/48.jpg
Big tree (gum?) in area south of Alligator Bayou, December 1941		Singer Tract, Madison Parish, LA. [This image shows a different view than that in 4171099, 4171100,q.v.]	December 1941	James T. Tanner	Tensas River National Wildlife Refuge (La.)--Photographs;Horses--Photographs;Forests--Louisiana--Madison Parish--Photographs	4171098p	Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records	jpg	2560 ppi x 1729 ppi	Resin-coated paper prints<br>4.00" x 5.00"	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws.	IRP	http://www.lib.lsu.edu/special/findaid/4171.pdf		Tensas River National Wildlife Refuge, U.S. Fish & Wildlife Service, Ivory-Billed Woodpecker Records (Mss. 4171), Louisiana and Lower Mississippi Valley Collections, Louisiana State University Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		2005-10-13	2005-10-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/Tensas/id/48	48	49.jpg	/Tensas/image/49.jpg
