Title	Date	Caption/Description	Notes	Physical description	Cite as	Creator	Subject Headings	Category	Sub-category	Publisher	Restrictions	Repository	Contact and Ordering Information	File Name(s)	File Name	Identifier	Language	Relation	Coverage-Spatial	Coverage-Temporal	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Object File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Wringing out a pelt		A Louisiana innovation.  An ordinary clothes wringer is used to clean off the fats, meats and water on a freshly skinned muskrat pelt before it is stretched and hung up to cure.		TIF	Louisiana Department of Conservation.  Seventh Biennial Report of the Department of Conservation of the State of Louisiana, 1924-1926.  New Orleans: Department of Conservation, 1927.		Hides and skins--Louisiana; Muskrat--Louisiana	Trapping	Hides and Skins	Louisiana. Dept. of Conservation	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	126	ladoc0173																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1155	1155	1360.jp2	/p15140coll21/image/1360.jp2
Wringing out a muskrat pelt		The use of the clothes wringer for cleaning muskrat pelts before they are hung up to cure is becoming universal in the Louisiana marshes and is recommended by this Department.		TIF	Louisiana Department of Conservation.  Seventh Biennial Report of the Department of Conservation of the State of Louisiana, 1924-1926.  New Orleans: Department of Conservation, 1927.		Hides and skins--Louisiana; Muskrat--Louisiana	Trapping	Hides and Skins	Louisiana. Dept. of Conservation	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	127	ladoc0174																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1156	1156	1361.jp2	/p15140coll21/image/1361.jp2
Terrapin		Young diamond back terrapin.		TIF	Louisiana Department of Conservation.  Report of the Department of Conservation of the State of Louisiana.  New Orleans: Department of Conservation.		Turtles--Louisiana	Aquaculture	Turtles	Louisiana. Dept. of Conservation	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	196	ladoc0175																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1157	1157	1362.jp2	/p15140coll21/image/1362.jp2
The swamp	1929	Tupelo and cypress swamp, LA.			Louisiana Department of Conservation.  Ninth Biennial Report of the Department of Conservation of the State of Louisiana, 1928-1929. New Orleans: Department of Conservation, 1929.		Swamps--Louisiana	Landforms	Swamps	Louisiana. Dept. of Conservation	Copyright of federal and state documents is in the public domain.	Louisiana State University Libraries	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	159	ladoc0146																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1158	1158	1363.jp2	/p15140coll21/image/1363.jp2
Betsy damage at Grand Isle		Damage from Hurricane Betsy in Grand Isle, LA, 1965.		TIF	Slide collection of the United States Army Corps of Engineers, New Orleans District, Louisiana Digital Library, Baton Rouge, La.		Hurricane damage--Louisiana--Grand Isle; Hurricane Betsy; 1965	Natural disasters		United States. Army. Corps of Engineers.  New Orleans District	Copyright of federal and state documents is in the public domain.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	25	corps0002																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1159	1159	796.jp2	/p15140coll21/image/796.jp2
1927 flood at Plaucheville		Flood damage in Plaucheville, Avoyelles Parish, LA, 1927.		TIF	Slide collection of the United States Army Corps of Engineers, New Orleans District, Louisiana Digital Library, Baton Rouge, La.		Flood damage--Louisiana--Avoyelles Parish	Natural disasters		United States. Army. Corps of Engineers.  New Orleans District	Copyright of federal and state documents is in the public domain.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	29	corps0001																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1160	1160	797.jp2	/p15140coll21/image/797.jp2
Betsy damage at Grand Isle	1967	Hurricane Betsy damage in Grand Isle, LA, 1965.		TIF	Slide collection of the United States Army Corps of Engineers, New Orleans District, Louisiana Digital Library, Baton Rouge, La.		Hurricane damage--Louisiana--Grand Isle; Hurricane Betsy; 1965	Natural disasters		United States. Army. Corps of Engineers.  New Orleans District	Copyright of federal and state documents is in the public domain.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	26	corps0003																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1161	1161	798.jp2	/p15140coll21/image/798.jp2
Bonne Carre Spillway		Bonnet Carre Spillway, aerial view		TIF	Slide collection of the United States Army Corps of Engineers, New Orleans District, Louisiana Digital Library, Baton Rouge, La.		Bonnet Carre Floodway (La.)	Waterways		United States. Army. Corps of Engineers.  New Orleans District	Copyright of federal and state documents is in the public domain.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	21	corps0005																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1162	1162	799.jp2	/p15140coll21/image/799.jp2
Bonnet Carre Spillway		Bonnet Carre Spillway with crews standing on top.		TIF	Slide collection of the United States Army Corps of Engineers, New Orleans District, Louisiana Digital Library, Baton Rouge, La.		Bonnet Carre Floodway (La.)	Waterways		United States. Army. Corps of Engineers.  New Orleans District	Copyright of federal and state documents is in the public domain.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	22	corps0006																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1163	1163	800.jp2	/p15140coll21/image/800.jp2
Canal.Toulouse Streed floodway in New Orleans		Proposed Canal-Toulouse Streets-Floodwall- Foot of canal street with gates opened		TIF	Slide collection of the United States Army Corps of Engineers, New Orleans District, Louisiana Digital Library, Baton Rouge, La.		New Orleans (La." Canals--Louisiana	Manmade or Engineered waterways		United States. Army. Corps of Engineers.  New Orleans District	Copyright of federal and state documents is in the public domain.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	28	corps0007																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1164	1164	801.jp2	/p15140coll21/image/801.jp2
Completed beach nourishment at Grant Isle	1988	Completed beach nourishment at Grand Isle, LA.		TIF	Slide collection of the United States Army Corps of Engineers, New Orleans District, Louisiana Digital Library, Baton Rouge, La.		Beach nourishment--Louisiana--Grand Isle	Eco-tourism		United States. Army. Corps of Engineers.  New Orleans District	Copyright of federal and state documents is in the public domain.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	30	corps008																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1165	1165	802.jp2	/p15140coll21/image/802.jp2
Bonne Carre Spillway Sand deposits	1973	Sand deposits on the Bonnet Carre Spillway.		TIF	Slide collection of the United States Army Corps of Engineers, New Orleans District, Louisiana Digital Library, Baton Rouge, La.		Bonnet Carre Floodway (La.)	Waterways		United States. Army. Corps of Engineers.  New Orleans District	Copyright of federal and state documents is in the public domain.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	27	corps0004																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1166	1166	803.jp2	/p15140coll21/image/803.jp2
Pilot Town		Shoreline of Pilot Town.		TIF	Slide collection of the United States Army Corps of Engineers, New Orleans District, Louisiana Digital Library, Baton Rouge, La.		Coasts--Louisiana--Pilot Town	Eco-tourism		United States. Army. Corps of Engineers.  New Orleans District	Copyright of federal and state documents is in the public domain.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	24	corps0010																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1167	1167	804.jp2	/p15140coll21/image/804.jp2
Dredging around Atchafalaya Bay's islands	1975	Dredging around Atchafalaya Bay's islands.		TIF	Slide collection of the United States Army Corps of Engineers, New Orleans District, Louisiana Digital Library, Baton Rouge, La.		Barrier islands--Louisiana--Iberia Parish; Dredging Industry--Louisiana	Landforms		United States. Army. Corps of Engineers.  New Orleans District	Copyright of federal and state documents is in the public domain.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	23	corps0009																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1168	1168	805.jp2	/p15140coll21/image/805.jp2
Late-19th century oyster camp	1895?	Typical late-ninteenth century oyster camp and lugger, circa 1895.		TIF	Vujnovich, M.M.  Yugoslavs in Louisiana: Published on the occasion of the United Slavonian Benevolent Association Centennial 1874-1974.  Gretna: Pelican Publishing Company, 1974.		Boats and boating--Louisiana; Camp sites; facilities; etc--Louisiana; Oyster fisheries--Louisiana	Vehicles, Fishing, Buildings	Boats, Oystermen, Other	Pelican Publishing Co.	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	3	yugos0002.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1169	1169	806.jp2	/p15140coll21/image/806.jp2
Dredging for oysters		Capt. Ralph Pausina and his crew dredging for oysters.		TIF	Vujnovich, M.M.  Yugoslavs in Louisiana: Published on the occasion of the United Slavonian Benevolent Association Centennial 1874-1974.  Gretna: Pelican Publishing Company, 1974.		Oyster fisheries--Louisiana; Yugoslav Americans--Louisiana	Ethnic groups, Fishing-commercial	Croatians/Yugoslav, Oysters	Pelican Publishing Co.	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	2	yugos0001.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1170	1170	807.jp2	/p15140coll21/image/807.jp2
Modern oyster camp		Bird's eye view of modern-day oyster camp.  Photo courtesy Kurma Tesvich family.		TIF	Vujnovich, M.M.  Yugoslavs in Louisiana: Published on the occasion of the United Slavonian Benevolent Association Centennial 1874-1974.  Gretna: Pelican Publishing Company, 1974.		Camp sites; facilities; etc--Louisiana; Oyster fisheries--Louisiana	Fishing, Buildings	Oystermen, Other	Pelican Publishing Co.	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	4	yugos0003.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1171	1171	808.jp2	/p15140coll21/image/808.jp2
Oyster boats at the Dumaine Street dock	1899?	Oyster luggers unloading oysters at the Mississippi River levee at the foot of Dumiane Street, New Orleans, circa 1899.  Photo courtesy Glenn E. Martina.		TIF	Vujnovich, M.M.  Yugoslavs in Louisiana: Published on the occasion of the United Slavonian Benevolent Association Centennial 1874-1974.  Gretna: Pelican Publishing Company, 1974.		Boats and boating--Louisiana; Oyster fisheries--Louisiana; Docks--Louisiana	Vehicles, Fishing-commercial	Boats, Oysters	Pelican Publishing Co.	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	5	yugos0004.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1172	1172	809.jp2	/p15140coll21/image/809.jp2
Oyster boats at the Empire locks		Oyster luggers awaiting their turn to pass through the Empire locks to deliver the seed oysters to the oyster bedding grounds, circa 1938.  Photo courtesy Joseph M. Jurisich.		TIF	Vujnovich, M.M.  Yugoslavs in Louisiana: Published on the occasion of the United Slavonian Benevolent Association Centennial 1874-1974.  Gretna: Pelican Publishing Company, 1974.		Boats and boating--Louisiana; Oyster fisheries--Louisiana	Vehicles, Fishing-commercial	Boats, Oysters	Pelican Publishing Co.	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	6	yugos0005.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1173	1173	810.jp2	/p15140coll21/image/810.jp2
Oyster boats, Esplanade Street wharf, New Orleans, LA		Oyster luggers Enterprise, Desoto, New Petrograd, and Frisco at the Esplanade Street wharf on the Mississippi River, circa 1938.		TIF	Vujnovich, M.M.  Yugoslavs in Louisiana: Published on the occasion of the United Slavonian Benevolent Association Centennial 1874-1974.  Gretna: Pelican Publishing Company, 1974.		Boats and boating--Louisiana; Oyster fisheries--Louisiana--New Orleans	Vehicles, Fishing-commercial	Boats, Oysters	Pelican Publishing Co.	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	7	yugos0006.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1174	1174	811.jp2	/p15140coll21/image/811.jp2
Burrwood, LA, 1903.	1903	Construction Of The Facilites At Southwest Pass And The Establishment Of The Community Of Burrwood Began In 1898.  This Photograph Shows Burrwood As It Appeared In 1903.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Levees--Louisiana--Plaquemines Parish--Design and construction	Manmade or Engineered landforms	Levees	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	1	buras0001.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1175	1175	812.jp2	/p15140coll21/image/812.jp2
Dock in Burrwood, LA.		Dock in Burrwood, LA		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Docks--Louisiana--Plaquemines Parish			Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	2	buras0002.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1176	1176	813.jp2	/p15140coll21/image/813.jp2
Burrwood, LA		The town of Burrwood, LA.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Housing--Louisiana--Plaquemines Parish	Buildings	Community	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	3	buras0003.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1177	1177	814.jp2	/p15140coll21/image/814.jp2
Housing development in Burrwood, LA		Community in Burrwood, LA		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Housing--Louisiana--Plaquemines Parish	Buildings	Houses	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	4	buras0004.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1178	1178	815.jp2	/p15140coll21/image/815.jp2
Housing in Burrwood, LA		Community in Burrwood, LA		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Housing--Louisiana--Plaquemines Parish	Buildings	Houses	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	5	buras0005.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1179	1179	816.jp2	/p15140coll21/image/816.jp2
Leiter's hunter's camp bunk house, 1930.	1930	Leiter's Hunting Camp Bunk House, 1930.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Hunting lodges--Louisiana--Plaquemines Parish	Hunting	Guides and camps	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	6	buras0006.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1180	1180	817.jp2	/p15140coll21/image/817.jp2
Leiter's hunting camp guest house, 1930.	1930	Leiter's Hunting Camp Guest House, 1930.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Hunting lodges--Louisiana--Plaquemines Parish	Hunting	Guides and camps	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	7	buras0007.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1181	1181	818.jp2	/p15140coll21/image/818.jp2
Oysters being loaded at Olga		Loading Oysters At The Docks Of Olga.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Docks--Louisiana--Plaquemines Parish; Oyster industry--Louisiana--Plaquemines Parish	Fishing-commercial	Oysters	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	8	buras0008.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1182	1182	819.jp2	/p15140coll21/image/819.jp2
Port Eads Hotel		The Port Eads Hotel During Its Thriving Era.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Hotels--Louisiana--Plaquemines Parish	Buildings	Other	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	9	buras0009.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1183	1183	820.jp2	/p15140coll21/image/820.jp2
Pilottown Post Office, 1930	1930?	Pilottown Post Office, Circa, 1930.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Post office buildings--Louisiana--Plaquemines Parish	Buildings	Community	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	10	buras0010.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1184	1184	821.jp2	/p15140coll21/image/821.jp2
Buildings at Pilottown		Buildings At Pilottown		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Buildings--Louisiana--Plaquemines Parish	Buildings	Houses	Pelican Publishing Co.	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	11	buras0011.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1185	1185	822.jp2	/p15140coll21/image/822.jp2
Quarantine building, 1950	1950	Quarantine Building, 1950.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Buildings--Louisiana--Plaquemines Parish; Quarantine--Louisiana--Plaquemines Parish	Buildings	Other	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	12	buras0012.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1186	1186	823.jp2	/p15140coll21/image/823.jp2
Quarantine station		Quarantine Station		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Buildings--Louisiana--Plaquemines Parish; Quarantine--Louisiana--Plaquemines Parish	Buildings	Other	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	13	buras0013.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1187	1187	824.jp2	/p15140coll21/image/824.jp2
Racking oysters		Racking Oysters.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Oyster fisheries--Louisiana--Plaquemines Parish	Fishing-commercial	Oysters	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	14	buras0014.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1188	1188	825.jp2	/p15140coll21/image/825.jp2
Sacking the oysters		Sacking The Oysers (sic)" The tank on top of the boat is filled with fuel.  It was positioned high on top so the fuel could be gravity fed to the engine.  Oysters were bagged from the edge of the dock and worked toward the river.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Oyster industry--Louisiana--Plaquemines Parish	Fishing-commercial	Oysters	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	15	buras0015.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1189	1189	826.jp2	/p15140coll21/image/826.jp2
Community of Oysterville		The community of Oysterville was built near the long building in the background, the shucking shed.  Frank Lobrano, Sr. stands behind his son, Jay, seated at his feet.		TIF	Buras, Janice P.  Way Down Yonder in Plaquemines.  Gretna: Pelican Publishing Company, 1996.		Oyster industry--Louisiana--Plaquemines Parish	Buildings	Community	Pelican Publishing	Physical rights are retained by Donald W. Davis.  Copyright is retained in accordance with U.S. copyright laws.	Donald W. Davis Collection	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the Title or File Name in your request.	16	buras0016.tif																				2010-07-30	2010-07-30	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll21/id/1190	1190	827.jp2	/p15140coll21/image/827.jp2
