Title	Author	Date	Dates	Physical Description	Description / Notes	Biographical Note	Language	Type	Subjects	Digital Collection	Repository	Repository Collection Guide	Call Number / Shelving Location	Cite as	Restrictions	Contact and Ordering Information	Item URL	Contributors	Publisher	Format	Coverage-Spatial	Coverage-Temporal	Cataloger	Cataloged Date	Object File Name	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
5b02f1119f_Transcript												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/107	107	108.pdf	/p16313coll8/image/108.pdf
Letter from Francis Palms to Henrietta Lauzin, 1862 Apr. 04	Palms, Francis F., 1837-1904.	1862-04-04	1862	letter (6 p.)	Francis Palms, Corinth, Mississippi, writes to Henrietta Lauzin, Baton Rouge, informing her that his Regiment had relocated to Corinth and of his recent transfer to the Engineer's Department.  He states that the 4th Regiment has moved on, but that he was ordered to Head Quarters.  Upon reporting to the office he states he was surprised to learn, 'all the officials of the Engineering Depart. had gone to join our advance forces'.  Finally, he states 'if I do not receive orders from Capt. Fremaux or an answer to my letter to Col. Allen, I shall take my gun and accoutrements and march off on Sunday Morning early to join my comrades'.	Francis Palms (1837-1904) enlisted as a private in the Confederate Army on May 23, 1861, at Camp Moore, Louisiana.  He was assigned to Co. F of the Delta Rifles, which was part of the 4th Louisiana Infantry.  Following the war, he returned to his birthplace of  Detroit, Michigan, where he helped to manage his father's many interests.   Mr. Palms was married three times, and, with his second wife, Miss C.F. Pellerin, had seven children.  Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Palms, Francis F., 1837-1904.; Lauzin, Henrietta, b. 1842..; Corinth (Miss.)--History--Civil War, 1861-1865.; Confederate States of America. Army. Louisiana Infantry Regiment, 4th.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 11	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/108	108	109.cpd	/p16313coll8/image/109.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/109	109	110.jp2	/p16313coll8/image/110.jp2
Page 2												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/110	110	111.jp2	/p16313coll8/image/111.jp2
Page 3												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/111	111	112.jp2	/p16313coll8/image/112.jp2
5b02f1120d_Transcript												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/112	112	113.pdf	/p16313coll8/image/113.pdf
Letter from Amelia Faulkner to Henrietta Lauzin, 1862 Apr. 14	Faulkner, Amelia.	1862-04-14	1862	letter (3p.)	Amelia Faulkner, Faulkland Plantation writes to Henrietta Lauzin, Baton Rouge, inquiring about Baton Rouge society and commenting on the fact that most of the men have left in support of the war effort.  She states 'Now Henrietta I entirely agree with you in thinking the girls ought to have nothing but soldiers for their beaux, and if girls thought as we do, there would be more companies leave this state'.	Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Faulkner, Amelia.; Lauzin, Henrietta, b. 1842.; Louisiana--History--Civil War, 1861-1865--Women.; Louisiana--History--Civil War, 1861-1865--Social aspects.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 11	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/113	113	114.cpd	/p16313coll8/image/114.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/114	114	115.jp2	/p16313coll8/image/115.jp2
Page 2												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/115	115	116.jp2	/p16313coll8/image/116.jp2
5b02f1121c_Transcript												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/116	116	117.pdf	/p16313coll8/image/117.pdf
Letter from Francis Palms to Henrietta Lauzin, 1862 Apr. 27	Palms, Francis F., 1837-1904.	1862-04-27	1862	letter (2p.)	Francis Palms, Corinth, Mississippi, writes to Henrietta Lauzin, Baton Rouge, following the loss of New Orleans to Union soldiers.  He urges her to remain strong, stating 'Yes, you are now subjects of Lincoln but you can do much by not countenancing these Tyrants..' He informs her that he must remain in his current location stating 'I am still attached to the Engineering Dept.- and my services are required there'.  In the margin of the letter he writes 'We shall fight on here until we are all killed or taken-prisoners.'	Francis Palms (1837-1904) enlisted as a private in the Confederate Army on May 23, 1861, at Camp Moore, Louisiana.  He was assigned to Co. F of the Delta Rifles, which was part of the 4th Louisiana Infantry.  Following the war, he returned to his birthplace of  Detroit, Michigan, where he helped to manage his father's many interests.   Mr. Palms was married three times, and, with his second wife, Miss C.F. Pellerin, had seven children. Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Palms, Francis F., 1837-1904.; Lauzin, Henrietta, b. 1842.; Louisiana--History--Civil War, 1861-1865.; Corinth (Miss.)--History--Civil War, 1861-1865.; Soldiers--Louisiana.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 11	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/117	117	118.cpd	/p16313coll8/image/118.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/118	118	119.jp2	/p16313coll8/image/119.jp2
Page 2												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/119	119	120.jp2	/p16313coll8/image/120.jp2
Letter from Francis Palms to Henrietta Lauzin, 1862 Jul. 05	Palms, Francis F., 1837-1904.	1862-07-05	1862	letter (2p.)	Francis Palms, Babina Plantation, Louisiana, writes to Henrietta Lauzin, Baton Rouge, informing her that he is a prisoner of war on parole, but states 'nothing but death only will force me to swear allegiance to the Federal Government.' He finishes by stating that he is leaving for Vicksburg and Oklahoma 'for the purpose of being exchanged'.	Francis Palms (1837-1904) enlisted as a private in the Confederate Army on May 23, 1861, at Camp Moore, Louisiana.  He was assigned to Co. F of the Delta Rifles, which was part of the 4th Louisiana Infantry.  Following the war, he returned to his birthplace of  Detroit, Michigan, where he helped to manage his father's many interests.   Mr. Palms was married three times, and, with his second wife, Miss C.F. Pellerin, had seven children. Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Palms, Francis F., 1837-1904.; Lauzin, Henrietta, b. 1842.; Louisiana--History--Civil War, 1861-1865--Prisoners and prisons.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 11	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/120	120	121.cpd	/p16313coll8/image/121.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/121	121	122.jp2	/p16313coll8/image/122.jp2
Page 2												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/122	122	123.jp2	/p16313coll8/image/123.jp2
Page 3												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/123	123	124.jp2	/p16313coll8/image/124.jp2
Letter from M.E. Faulkner to Henrietta Lauzin, 1862 Nov. 26	Faulkner, M. E.	1862-11-26	1862	letter (3p.)	M.E. Faulkner, Faulkland Plantation, Louisiana, writes to Henrietta Lauzin, Baton Rouge, regarding the well-being of soldiers with whom they are acquainted.  She states that she is knitting for the soldiers and invites Henrietta to their home, stating 'it would give us much pleasure to see you.'	Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Faulkner, M. E.; Lauzin, Henrietta, b. 1842.; Louisiana--History--Civil War, 1861-1865--Women.; Louisiana--History--Civil War, 1861-1865--Social aspects.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 11	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/124	124	125.cpd	/p16313coll8/image/125.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/125	125	126.jp2	/p16313coll8/image/126.jp2
Page 2												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/126	126	127.jp2	/p16313coll8/image/127.jp2
Page 3												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/127	127	128.jp2	/p16313coll8/image/128.jp2
Letter from J.W. Youngblood to Henrietta Lauzin, 1863 Feb. 22	Youngblood, J. W.	1863-02-22	1863	letter (3p.)	J.W. Youngblood, Port Hudson, Louisiana, writes to Henrietta Lauzin, Baton Rouge, thanking her for her letters and praising her for her kindness.  In explaining the impact such letters have on the soldiers, he states 'The many thousand little fingers now at work send forth to the heart of the soldier far more cheer and comfort than all the promises of foreign aid based on the promises of princes...'.	Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Youngblood, J. W.; Lauzin, Henrietta, b. 1842.; Port Hudson (La.)--History--Siege, 1863.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 12	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/128	128	129.cpd	/p16313coll8/image/129.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/129	129	130.jp2	/p16313coll8/image/130.jp2
Letter from J.W. Youngblood to Henrietta Lauzin, 1863 Aug. 12	Youngblood, J. W.	1863-08-12	1863	letter (1p.)	J.W. Youngblood, Johnson's Island, Ohio, (a Union prisoner of war camp) writes to Henrietta Lauzin, Baton Rouge, informing her that he had been relocated and asks when he might see her again.	Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Youngblood, J. W.; Lauzin, Henrietta, b. 1842.; Ohio--History--Civil War, 1861-1865--Prisoners and prisons.; Louisiana--History--Civil War, 1861-1865.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 12	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/130	130	131.cpd	/p16313coll8/image/131.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/131	131	132.jp2	/p16313coll8/image/132.jp2
Pass belonging to Madame Lauzin, 1863 Oct. 02	Page, Edward.	1863-10-02	1863	Pass (1 leaf)	Edward Page, Capt. and Provost Marshal, Baton Rouge, grants Leocadie Lauzin access into Baton Rouge.  The Pass contains an inventory of all goods taken out of the city and an oath of allegiance.	Leocadie Lauzin (b. 1820) was the daughter of Leocadie Gras Teetzman and Godfrey Teetzman.  In 1841 she married Dr. Jean Lauzin.  Their daughter, Henrietta Lauzin, was born in 1842.	en	text	Lauzin, Leocadie, b. 1820.; Baton Rouge (La.)--History--Civil War--1861-1865.; Louisiana--History--Civil War, 1861-1865.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 12	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/132	132	133.cpd	/p16313coll8/image/133.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/133	133	134.jp2	/p16313coll8/image/134.jp2
Letter from Francis Palms to Henrietta Lauzin and her mother, 1863 Oct. 22	Palms, Francis F., 1837-1904.	1863-10-22	1863	letter (1p.)	Francis Palms, Bayou Poydras, Louisiana, writes to Henrietta Lauzin and her mother, Baton Rouge, requesting that Henrietta ask her mother to purchase some silk and fabric for him when she goes to 'the Big Union City'.  He encloses $15.00 and addresses Madame Lauzin stating 'If you should cross the river will you confer a favor upon me by purchasing the above articles and by presenting the enclosed order for my watch'.	Francis Palms (1837-1904) enlisted as a private in the Confederate Army on May 23, 1861, at Camp Moore, Louisiana.  He was assigned to Co. F of the Delta Rifles, which was part of the 4th Louisiana Infantry.  Following the war, he returned to his birthplace of  Detroit, Michigan, where he helped to manage his father's many interests.   Mr. Palms was married three times, and, with his second wife, Miss C.F. Pellerin, had seven children. Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Palms, Francis F., 1837-1904.; Louisiana--History--Civil War, 1861-1865.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 12	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/134	134	135.cpd	/p16313coll8/image/135.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/135	135	136.jp2	/p16313coll8/image/136.jp2
5b02f1206b_Transcript												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/136	136	137.pdf	/p16313coll8/image/137.pdf
Letter from Amelia Faulkner to Leocadie Lauzin, 1863 Oct. 27	Faulkner, Amelia.	1863-10-27	1863	letter (1 leaf)	Amelia Faulkner, Faulkland Plantation, Louisiana, writes to Madam Lauzin, Baton Rouge, regarding the letter Madam Lauzin had recently sent to her (Madame Lauzins) son.  Amelia states, 'Pa forwarded to him by a line of Courriers then passing this way'.  Additionally, she states that her father 'also made inquiry for him of different persons passing this way and at length heard that he was at Washington sick'.	Leocadie Lauzin (b. 1820) was the daughter of Leocadie Gras Teetzman and Godfrey Teetzman.  In 1841 she married Dr. Jean Lauzin.  Their daughter, Henrietta Lauzin, was born in 1842.	en	text	Faulkner, Amelia.; Lauzin, Leocadie, b. 1820.; Louisiana--History--Civil War, 1861-1865.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 12	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/137	137	138.cpd	/p16313coll8/image/138.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/138	138	139.jp2	/p16313coll8/image/139.jp2
Page 2												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/139	139	140.jp2	/p16313coll8/image/140.jp2
Page 3												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/140	140	141.jp2	/p16313coll8/image/141.jp2
Letter from J. W. Youngblood to Henrietta Lauzin, 1863 Dec. 6	Youngblood, J. W.	1863-12-06	1863	letter (2p.)	J.W. Youngblood, Bolton, Georgia, writes to Henrietta Lauzin, Baton Rouge, relaying his discontent regarding his current state and his wish to return home.  He states 'I have passed so far through without the least scratch. I hope and trust in God that I may return to the Sugar Bowl state in like manner.'	Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Youngblood, J. W.; Lauzin, Henrietta, b. 1842.; Louisiana--History--Civil War, 1861-1865.; Georgia--History--Civil War, 1861-1865.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 12	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/141	141	142.cpd	/p16313coll8/image/142.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/142	142	143.jp2	/p16313coll8/image/143.jp2
Page 2												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/143	143	144.jp2	/p16313coll8/image/144.jp2
5b02f1208c_Transcript												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/144	144	145.pdf	/p16313coll8/image/145.pdf
Letter from Francis Palms to Henrietta Lauzin, 1864 Jan. 25	Palms, Francis F., 1837-1904.	1864-01-25	1864	letter (2p.)	Francis Palms, Bayou Poydras, Louisiana, writes to Henrietta Lauzin, Baton Rouge, informing her that he enjoyed his recent visit to her home.  In the postscript he states 'I rec'd a very pretty wedding shirt from my intendedMiss Dora'.	Francis Palms (1837-1904) enlisted as a private in the Confederate Army on May 23, 1861, at Camp Moore, Louisiana.  He was assigned to Co. F of the Delta Rifles, which was part of the 4th Louisiana Infantry.  Following the war, he returned to his birthplace of  Detroit, Michigan, where he helped to manage his father's many interests.   Mr. Palms was married three times, and, with his second wife, Miss C.F. Pellerin, had seven children. Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Palms, Francis F., 1837-1904.; Lauzin, Henrietta, b. 1842.; Louisiana--History--Civil War, 1861-1865.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 12	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/145	145	146.cpd	/p16313coll8/image/146.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/146	146	147.jp2	/p16313coll8/image/147.jp2
Page 2												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/147	147	148.jp2	/p16313coll8/image/148.jp2
Page 3												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/148	148	149.jp2	/p16313coll8/image/149.jp2
Letter from Francis Palms to Henrietta Lauzin, 1864 Jan. 30	Palms, Francis F., 1837-1904.	1864-01-30	1864	letter (3p.)	Francis Palms, Bayou Poydras, Louisiana, writes to Henrietta Lauzin, Baton Rouge, concerning the transfer of gifts between their two locations.  He states that he is sending Frank with an album for Henrietta, and asks that she 'send by Frank the articles your Ma bought me...'.  Additionally, he asks her to return the needles he has made for her if they are not the correct size.	Francis Palms (1837-1904) enlisted as a private in the Confederate Army on May 23, 1861, at Camp Moore, Louisiana.  He was assigned to Co. F of the Delta Rifles, which was part of the 4th Louisiana Infantry.  Following the war, he returned to his birthplace of  Detroit, Michigan, where he helped to manage his father's many interests.   Mr. Palms was married three times, and, with his second wife, Miss C.F. Pellerin, had seven children.  Henrietta Lauzin (b.1842) was the daughter of Dr. Jean Lauzin and Leocadie Teetzman and the great-great-granddaughter of Antonio de Gras.	en	text	Palms, Francis F., 1837-1904.; Lauzin, Henrietta, b. 1842.; Louisiana--History--Civil War, 1861-1865.	Gras-Lauzin Family Papers	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/0005m.pdf	U:153 Box 2, Folder 12	Gras-Lauzin Family Papers, Mss. 5, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.																						2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/149	149	150.cpd	/p16313coll8/image/150.cpd
Page 1												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/150	150	151.jp2	/p16313coll8/image/151.jp2
Page 2												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/151	151	152.jp2	/p16313coll8/image/152.jp2
Page 3												http://www.lib.lsu.edu/special/findaid/0005m.pdf																									2012-04-25	2012-04-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll8/id/152	152	153.jp2	/p16313coll8/image/153.jp2
