Title	Description	Size	Date	Time period	Subject	Provenance continent	Provenance country	Provenance state or other	Associated artifacts	Storage location	File Name	Creator	Contributors	Publisher	Type	Format	Identifier	Language	Relation	Rights	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Contact and Ordering Information	Repository	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Nancy Hanks	Female adult, China shoulder head, cloth body with leather arms and cloth legs, molded and painted features and black hair, white linen and cotton underskirt trimmed with open lace work, vertical tucks, and lace, yellowish-brown floral jacket has wide lace collar, bodice lined with linen, four little buttons, pointed waist, full length gathering skirt, ruffle trimmed hem, brown knit fabric for boots, boots decorated with golden thread, resembles shoe strings. Golden necklace, brooch on front neck. Accompanying information describes that the doll was made in the 1860s. The clothes and jewelry are the original ones, the doll was purchased from an old woman who had been in the circus all her life. Doll body and underwear are machine and hand-made. Dress is hand-made.""	74 cm		1860s	Dolls					Box 2																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/95	95	96.cpd	/p16313coll9/image/96.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/96	96	97.jp2	/p16313coll9/image/97.jp2
China head doll 1860s	Female adult, China shoulder head on cloth body, China forearms and lower limbs with boots, molded and painted features and hair, jointed at shoulders and hips, silk underwear and under-skirt with lace trimming, beige tiered lace dress has the same color under-fabric, bateau neckline, flower decoration for forehead and waist, yellow velvet ribbon on waist, doll body, hand-made, dress, hand and machine-made. Accompanying information describes that the China heads were made in the 1850s and 1860s. The dolls were popular during the war between the States especially in the South. The dolls were often hung on the wall near the child's bed. Deterioration of the silk underwear.""	60 cm		1850s-1860s	Dolls					Box 7																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/97	97	98.cpd	/p16313coll9/image/98.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/98	98	99.jp2	/p16313coll9/image/99.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/99	99	100.jp2	/p16313coll9/image/100.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/100	100	101.jp2	/p16313coll9/image/101.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/101	101	102.jp2	/p16313coll9/image/102.jp2
China head doll 1870s	Female adult, China shoulder on cloth body, leather arms, cloth legs with leather ankle boots, jointed at shoulders and hips, molded and painted features and hair, painted black hair-band, white underwear, under-skirt with eyelet lace trimming, deep decolletage cream colored jacquard silk full length dress, flower decoration on shoulders, golden necklace, pearl pin at back. Accompanying information describes that the hair is beautifully molded with a luster band on the top of the head. The material of the dress is old but not as old as the doll. The red shoes are the original ones. Underwear is machine-made, dress is hand-made. Deterioration of the dress.""	50 cm		1870s	Dolls					Box 4																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/102	102	103.cpd	/p16313coll9/image/103.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/103	103	104.jp2	/p16313coll9/image/104.jp2
Detail																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/104	104	105.jp2	/p16313coll9/image/105.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/105	105	106.jp2	/p16313coll9/image/106.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/106	106	107.jp2	/p16313coll9/image/107.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/107	107	108.jp2	/p16313coll9/image/108.jp2
China head doll 1895	Female adult, China shoulder head on cloth body, China forearms and lower limbs with boots, molded and painted features and hair, curly blonde, blue eyes, white underwear and under-skirt of eyelet trimmed fabric, red purple full length separated dress, lined with green satin and polyester blend, fabric added on the top of the skirt gives bustle effect, pointed bodice, lace replaced stomacher has fullness at neck, ruffle effect with lace on sleeves, five metal buttons on the back of the bodice. Accompanying information describes that the material of the dress is not very old. The dress is made in bustle style. This was known as the 'pull-back skirt' because most of the fullness in the skirt was in the back. Doll body is hand-made, dress is hand and machine-made.	68 cm	1895	1890s	Dolls					Box 1																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/108	108	109.cpd	/p16313coll9/image/109.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/109	109	110.jp2	/p16313coll9/image/110.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/110	110	111.jp2	/p16313coll9/image/111.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/111	111	112.jp2	/p16313coll9/image/112.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/112	112	113.jp2	/p16313coll9/image/113.jp2
Bisque doll	Female, girl, bonnet doll, bisque shoulder head with bonnet, molded and painted features, blonde, blue eyes, cloth body with bisque forearms, cloth limbs with black flat sole shoes, white stockings, jointed at shoulders and hips, ribbon of bonnet is molded on front neck and painted with blue, white lace trimmed underwear, under-skirt, lavender(it was blue) drop-waist knee length dress, back opening, lace collar, front bodice with lace cover, pleated skirt has two layers, under layer has lace cover, blue velvet ribbon for waist band. Accompanying information describes as bisque doll with bonnet molded on head. Head is older than body. Head, made in 1890s. Machine-made. Right forearm separated from body. Shoes were replaced.	42 cm		1890s	Dolls					Box 8																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/113	113	114.cpd	/p16313coll9/image/114.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/114	114	115.jp2	/p16313coll9/image/115.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/115	115	116.jp2	/p16313coll9/image/116.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/116	116	117.jp2	/p16313coll9/image/117.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/117	117	118.jp2	/p16313coll9/image/118.jp2
My Victoria	Female adult, wax shoulder head, cloth body with composition arms and lower limbs, glass eyes, blonde wig, jointed at shoulders, hips, and knees, flat sole navy blue shoes with brown knitted stockings, shoes have buckles and buttons, white underwear with lace trimming, three underskirts, including one with wool, full length separated red wool dress, side-skirt has pressed pleats, under-skirt with another fabric, front panel has three horizontal pleats on top of the skirt, flower embroidered lower front, same color velvet stripes next to the front panel, pointed waist, velvet decoration on front bodice and sleeves, ribbon on shoulders and front and back, lace trimmed, collar and edge of sleeves, velvet bonnet with ribbon decoration. The doll was given to Miss M. Blake by Queen Victoria of England. Accompanying information describes that Miss Blake was the daughter of the caretaker of the Osborn house from 1890-95. As a child, Miss Blake attended the Royal Family Christmas parties and received many delightful gifts. 'My Victoria' was the choicest gift of all. Kimport obtained this doll through our agent in London direct from Miss Blake in 1957. Doll body is machine-made. Dress is hand-made.""	56 cm			Dolls	Europe	England			Box 18																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/118	118	119.cpd	/p16313coll9/image/119.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/119	119	120.jp2	/p16313coll9/image/120.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/120	120	121.jp2	/p16313coll9/image/121.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/121	121	122.jp2	/p16313coll9/image/122.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/122	122	123.jp2	/p16313coll9/image/123.jp2
Bride of 1890s	Female adult, China shoulder head on cloth body, China forearms and lower limbs with molded boots, molded and painted features and hair, blonde, blue eyes, jointed at shoulders and hips, linen underwear with lace trimming, cream silk under-skirt with self fabric ruffle: cream stain bridal dress has slightly longer pointed back train, pleats at waist: lace covering on front panel: lower skirt of front side to back has vertical tucks decorated with pearls and beads, tucks released as ruffle at hem, lower part of skirt reinforced by adding thick material in between fashion fabric and lining, deep squared neck has lace collar, back opening, lace finishing on sleeves, pointed waist with pearls and beads decoration, ribbon bow on back, lace bridal veil with pearl and beads decoration at forehead bandeau. Accompanying information describes as bridal of 1890s. The bridal dress is a part of an original wedding dress. The dress was never worn. The bride, a sixteen-year-old girl, ran away from home the night before the wedding. (The groom was an old man). The mother placed all the bridal clothes in the daughter's room and locked the door. It was not opened until after the mother's death. The doll's dress is made from parts of the original dress. Doll body is hand-made. Dress is hand and machine-made. Deterioration of the lace.""	72 cm		1890s	Dolls					Box 3																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/123	123	124.cpd	/p16313coll9/image/124.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/124	124	125.jp2	/p16313coll9/image/125.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/125	125	126.jp2	/p16313coll9/image/126.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/126	126	127.jp2	/p16313coll9/image/127.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/127	127	128.jp2	/p16313coll9/image/128.jp2
Jennie Lind doll	Female adult, flesh toned, pink luster china shoulder head on cloth body, cloth arms and limbs, molded and painted features, black hair, blue eyes, jointed at shoulders, elbows, hips, and knees, black flat sole shoes, lace trimmed white underwear, lace under-skirt, black velvet bodice with white lace collar, lace ruffle on sleeves, cream satin full length gathered skirt with vertical lace decoration on front panel, horizontal lace decoration on lower part of skirt, black ribbon on back. Accompanying information describes that one of the first dolls made in the United States is the Jennie Lind Doll. Jennie Lind, the actress, had sandy blonde hair. Since she preferred dark hair, she usually wore a black wig on stage. The shoes are the original ones. Jennie Lind came to the United States in 1850. Doll body is hand and machine -made. Dress is machine-made.""	39 cm		1850s	Dolls	North America	USA			Box 8																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/128	128	129.cpd	/p16313coll9/image/129.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/129	129	130.jp2	/p16313coll9/image/130.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/130	130	131.jp2	/p16313coll9/image/131.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/131	131	132.jp2	/p16313coll9/image/132.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/132	132	133.jp2	/p16313coll9/image/133.jp2
Navajo woman	27a: Female adult, Navajo woman, medium brown cloth head and all body, painted features, black hair wig, white yarn tied at the back of the hair, red velvet blouse with bead buttons, leather belt with metallic decorated beads, bead decoration on sleeves, blue stain skirt with red ric-rac decoration, bead earrings and necklace, she is sitting on wooden board and weaving navajo blanket, baby doll is on cradle beside her, four colors of yarn balls are on other side, machine-made. Accompanying information describes as blue of the sky, red of the desert color Navajo life. The industrious Navajo, largest and one of the most adaptable of the united States tribes today weave bright blankets, rugs and work silver and turquoise with traditional artistry. The style of dress dates back to early Spanish invasions.""	31 cm			Dolls	North America	USA		Navajo man	Box 14																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/133	133	134.cpd	/p16313coll9/image/134.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/134	134	135.jp2	/p16313coll9/image/135.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/135	135	136.jp2	/p16313coll9/image/136.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/136	136	137.jp2	/p16313coll9/image/137.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/137	137	138.jp2	/p16313coll9/image/138.jp2
Detail																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/138	138	139.jp2	/p16313coll9/image/139.jp2
Navajo man	Male adult, Navajo man, brown cloth head and all body, painted features, black hair wig, white head-band, white yarn tied at the back of the hair, brown cloth boots, blue velvet blouse with lining, bead buttons, belt with bead decorations, white pants have side slit on each leg, beads earrings and necklace. Accompanying information describes that Navajo men wear loose flapping trousers and velveteen blouses. Their wide belts are decorated with silver and often with turquoise. Doll body is hand and machine-made. Costume is machine-made.	41 cm			Dolls	North America	USA		Navajo woman	Box 14																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/139	139	140.cpd	/p16313coll9/image/140.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/140	140	141.jp2	/p16313coll9/image/141.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/141	141	142.jp2	/p16313coll9/image/142.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/142	142	143.jp2	/p16313coll9/image/143.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/143	143	144.jp2	/p16313coll9/image/144.jp2
Osage Indian doll	Female adult, 20cm, Osage Indian doll, bisque shoulder head on cloth body, bisque forearms and lower limbs, molded and painted dark skin color and features, jointed at shoulder and hips, long human hair breaded with beads, bead decorated head-band, brown animal skin dress has fringe on sleeves and hem, bead necklace, left foot wears moccasin decorated with beads. Accompanying information describes that imitating the white man's customs in many ways, North American Indians soon began to make dolls with which their children also might play. The Indians of the plains made doll clothes of skins and decorated them with fringe and beads. In making the costumes, the Indians tried to be as realistic as possible. These are valuable records of early Indian costumes. Doll body is hand-made. Costume is machinemade. The Indians of the plains made doll clothes of skins and decorated them with fringe and beads. In making the costumes, the Indians tried to be as realistic as possible. These are valuable records of early Indian costumes. Doll body is hand-made. Costume is machine-made.""	20cm			Dolls	North America	USA			Box 14																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/144	144	145.cpd	/p16313coll9/image/145.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/145	145	146.jp2	/p16313coll9/image/146.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/146	146	147.jp2	/p16313coll9/image/147.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/147	147	148.jp2	/p16313coll9/image/148.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/148	148	149.jp2	/p16313coll9/image/149.jp2
South Dakota Indian doll	Female adult, Off-white animal skin head, cloth body, jointed at shoulders and hips, molded face, features are done with beads, black beads for eyebrows and eyes, red for mouth, breaded human hair, off white skin dress, fringe on sleeves and hem of the dress, bead decoration on front and back yoke of bodice, bead decorated belt tied on front, bead decorated boots, beads necklace, earrings, another one longer skin necklace decorated with five white beads. Accompanying information describes that it is a south Dakota Indian doll. This doll was dressed by a very old Indian woman. She used her own dark hair on the doll. The bead work is of designs of the trive. All are hand-made.""	49 cm			Dolls	North America	USA	South Dakota		Box 14																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/149	149	150.cpd	/p16313coll9/image/150.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/150	150	151.jp2	/p16313coll9/image/151.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/151	151	152.jp2	/p16313coll9/image/152.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/152	152	153.jp2	/p16313coll9/image/153.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/153	153	154.jp2	/p16313coll9/image/154.jp2
Indian woman doll, Montana	Female adult, Indian woman doll, wooden doll, jointed shoulders, painted feature, breaded white horse hair, leather moccasin, decorated black under-pants, light brown flannel under-dress, red brown printed cotton ankle length dress, bead necklace, all, hand-made. Accompanying information describes as Indian woman doll, Montana. This doll was made by an Indian man and the costume was made by an Indian woman. This is the kind and the style of costume of the 1940s.""	24 cm		1940s	Dolls	North America	USA	Montana		Box 14																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/154	154	155.cpd	/p16313coll9/image/155.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/155	155	156.jp2	/p16313coll9/image/156.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/156	156	157.jp2	/p16313coll9/image/157.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/157	157	158.jp2	/p16313coll9/image/158.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/158	158	159.jp2	/p16313coll9/image/159.jp2
Seminole Indian doll, Florida	Female adult, Hoke-tee Seminole Indian, palm tree fiber head and all body, stitched features, long skirt is made of several different colors of fabric, horizontally patched together, semi-fitted strapless under-bodice, another short skirt-like outer cape patched with different fabrics, bead necklace, body, hand-made, costume, machine-made. Accompanying information describes that a totally different Indian people live in the Southeastern part of this country. In Florida, these are the Seminoles, a tribe that separated from the Greek nation in the late 18th century. The name Seminole means 'seceder'. Bands of various colored materials are sewed together to make the dress and often the cape. Many strings of beads are worn. The doll is made from palm tree fiber.""	27 cm			Dolls	North America	USA	Florida		Box 11																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/159	159	160.cpd	/p16313coll9/image/160.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/160	160	161.jp2	/p16313coll9/image/161.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/161	161	162.jp2	/p16313coll9/image/162.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/162	162	163.jp2	/p16313coll9/image/163.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/163	163	164.jp2	/p16313coll9/image/164.jp2
Indian Squaw from Minnesota	Female adult and a child, inner bark of the basswood tree head and all body, mother has braided hair beads for features, child is attached on mother's back with string band, hand-made. Accompanying information describes as Indian Squaw from Minnesota, Neconegizio and poose wawan (wawan is a name given to first child and means egg). From Cass Lake Indian Reservation, Chippewa Indians, Minnesota. This doll was made by an Indian mother for her little girl in 1905. The inner bark of the basswood tree was used. The fiber was colored.""	29 cm			Dolls	North America	USA	Minnesota		Box 11																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/164	164	165.cpd	/p16313coll9/image/165.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/165	165	166.jp2	/p16313coll9/image/166.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/166	166	167.jp2	/p16313coll9/image/167.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/167	167	168.jp2	/p16313coll9/image/168.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/168	168	169.jp2	/p16313coll9/image/169.jp2
My Ascension, New Mexico	Female adult, cloth head and all body, painted features, painted boots, black fabric was sewn for long hair, red head-band, floral print under-pants, knee length red floral dress, red ribbon waist belt, beads earrings and necklace. Accompanying information describes as 'My Ascension', New Mexico, the desert Indian are natural artists for all about them nature has spread her richest, most brilliant colors, and beneath the earth are other riches, silver, copper, and turquoise from which they fashion their jewelry. A Navajo woman sold the dolls she had made on the streets of Santa Fe. She was asked, 'What is your name?' Her answer was 'Ascension', doll body, hand and machine-made. Note: Catalog says Santa Fe, but tag on doll says Santa Domingo.""	23 cm			Dolls	North America	USA	New Mexico		Box 11																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/169	169	170.cpd	/p16313coll9/image/170.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/170	170	171.jp2	/p16313coll9/image/171.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/171	171	172.jp2	/p16313coll9/image/172.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/172	172	173.jp2	/p16313coll9/image/173.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/173	173	174.jp2	/p16313coll9/image/174.jp2
Corn-husk doll	Female adult and child, corn-husk doll, corn-husk heads and all bodies, painted features, no other materials used, mother holds her body, all, hand-made. Accompanying information describes that the corn-husk dolls were first made by the Indians. The making of the dolls reveals a good deal of careful planning. In late Spring, the corn flowers were gathered and dried. In mid Summer the corn silk was dried and in late Summer the husks and corn cobs were gathered and then the dolls were made. In pioneer days in New England the Indian women taught the children of the early settlers to make the corn-husk dolls. Today, the dolls are made in the mountain states. This little mother with her baby was made in the mountains of Kentucky.	14 cm			Dolls	North America	USA	Kentucky		Box 11																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/174	174	175.cpd	/p16313coll9/image/175.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/175	175	176.jp2	/p16313coll9/image/176.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/176	176	177.jp2	/p16313coll9/image/177.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/177	177	178.jp2	/p16313coll9/image/178.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/178	178	179.jp2	/p16313coll9/image/179.jp2
Austrian boy doll	Male child, composition head on cloth body, wire arms, felt hands, dark brown wig, molded and painted features, grey felt hat, white shirt with standing collar, black bow tie, grey vest with two golden buttons, brown trousers, blue long jacket has lapel, two golden buttons. Slit at back, all felt except bow tie, all,  machine-made: company label, AUSTRIAN, TYROLIAN, Helga, DOLLS AND TOYS. Accompanying information describes that this Austrian boy doll is made by Compana Helga in Austria. English influence in design. Bought in London, 1957.""	21 cm		1950s	Dolls	Europe	Austria			Box 12																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/179	179	180.cpd	/p16313coll9/image/180.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/180	180	181.jp2	/p16313coll9/image/181.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/181	181	182.jp2	/p16313coll9/image/182.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/182	182	183.jp2	/p16313coll9/image/183.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/183	183	184.jp2	/p16313coll9/image/184.jp2
Woman of Bethlehem	Female adult, cloth head and all body, painted features, black yarn hair, full length dress, embroidered plate on bodice front, four panels of skirt decorated with different color threads, dress sleeves cover hands, shorter sleeve satin jacket with embroidery decoration, cone shaped red hat with one golden coin and white veil, all are machine and hand-made. Accompanying information describes as costume of the women of Bethlehem. The phylactery worn on the head piece is a reminder to the person to keep the law (Deut.VI:8 XI:18), or it might be a charm or safeguard. It is often worn by Jewish women today.	23 cm			Dolls					Box 13																										2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/184	184	185.cpd	/p16313coll9/image/185.cpd
Front																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/185	185	186.jp2	/p16313coll9/image/186.jp2
Left																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/186	186	187.jp2	/p16313coll9/image/187.jp2
Right																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/187	187	188.jp2	/p16313coll9/image/188.jp2
Back																																				2012-06-19	2012-06-19	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll9/id/188	188	189.jp2	/p16313coll9/image/189.jp2
