Title	Photographer	Date	Subject	Description	Type	Original Format	Original Size	Collection Number	Digital Collection	Repository Collection	Repository	Digital Reproduction Information	Restrictions	Cite As	Contact and Ordering Information	Item URL	Collection URL	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Darryl Berger Party	Donn Young	2002 November 30	New Orleans (La.)--Photographs;People--Photographs;	Image of 3 men and two women at a party.	Image	TIF	16.8 MB	494437575a042	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/74	74	75.jpg	Volume14\494437575a042.tif	/LSU_DYP/image/75.jpg
Mardi Gras Painting	Donn Young	unknown	New Orleans (La.)--Photographs;Mardi Gras--Photographs;French Quarter (New Orleans, La.)--Photographs;	Image of a painting that depicts a Mardi Gras scene in the French Quarter area of New Orleans.	Image	TIF	39.7 MB	494437576a002	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/75	75	76.jpg	Volume14\494437576a002.tif	/LSU_DYP/image/76.jpg
Basin Street Records logo	Donn Young	2002 November 29	New Orleans (La.)--Photographs; Signs and signboards--Photographs; Basin Street Records--Photographs;	Image of the poster with laser projection of website address of Basin Street Records, taken at Tipitina's.	Image	TIF	7.51 MB	494437578a030	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/76	76	77.jpg	Volume14\494437578a030.tif	/LSU_DYP/image/77.jpg
Basketball Game	Donn Young	2002 December 4	New Orleans (La.)--Photographs; New Orleans Hornets (Basketball team)--Photographs; Toronto Raptors (Basketball team)--Photographs; National Basketball Association--Photographs; Basketball--Louisiana--New Orleans--Photographs;	New Orleans Hornets vs. Toronto Raptors	Image	TIF	7.51 MB	494437597a007	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/77	77	78.jpg	Volume14\494437597a007.tif	/LSU_DYP/image/78.jpg
Celeste Street Wharf Exterior	Donn Young	2002 December 14	New Orleans (La.)--Photographs;Piers & wharves--Louisiana--New Orleans--Photographs;Wharves--Photographs;	Exterior view of the Celeste Street Wharf.	Image	TIF	7.51 MB	494437631a176	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/78	78	79.jpg	Volume14\494437631a176.tif	/LSU_DYP/image/79.jpg
Church Altar	Donn Young	2003 November 20	New Orleans (La.)--Photographs;Weddings--Photographs;Church architecture--Photographs;	White stone altar in a catholic church, taken as part of "Lizotte" wedding ceremony.	Image	TIF	16.8 MB	494437836b019	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/79	79	80.jpg	Volume14\494437836b019.tif	/LSU_DYP/image/80.jpg
Lizotte Wedding Portrait	Donn Young	2003 November 20	New Orleans (La.)--Photographs;Weddings--Photographs;	Image of bridal couple in church for their wedding, kneeling, with guests in the background.	Image	TIF	16.8 MB	494437836b047	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/80	80	81.jpg	Volume14\494437836b047.tif	/LSU_DYP/image/81.jpg
Playing the Piano	Donn Young	2003 February 14	New Orleans (La.)--Photographs;Musicians--Photographs;	Sax player from Doctor Bone and the Hepcats playing the piano	Image	TIF	7.51 MB	494437869a006	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-15	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/81	81	82.jpg	Volume14\494437869a006.tif	/LSU_DYP/image/82.jpg
Saxophone player	Donn Young	2003 February 14	New Orleans (La.)--Photographs;Musicians--Photographs;	Close up of the sax player for Doctor Bone and the Hepcats	Image	TIF	7.51 MB	494437869a037rev	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/82	82	83.jpg	Volume14\494437869a037rev.tif	/LSU_DYP/image/83.jpg
Drummer	Donn Young	2003 February 14	New Orleans (La.)--Photographs;Musicians--Photographs;	The Drummer of Doctor Bone and the Hepcats.	Image	TIF	7.51 MB	494437869a115	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/83	83	84.jpg	Volume14\494437869a115.tif	/LSU_DYP/image/84.jpg
Man playing tambourine	Donn Young	2003 February 14	New Orleans (La.)--Photographs;Musicians--Photographs;	From same photographic session with Doctor Bone and the Hepcats.	Image	TIF	7.51 MB	494437869a144rev	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/84	84	85.jpg	Volume14\494437869a144rev.tif	/LSU_DYP/image/85.jpg
Trumpet Player	Donn Young	2003 February 14	New Orleans (La.)--Photographs;Trumpet players--Photographs;	Image of the trumpet player from the group Doctor Bone and the Hepcats.	Image	TIF	7.51 MB	494437869a210	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/85	85	86.jpg	Volume14\494437869a210.tif	/LSU_DYP/image/86.jpg
Doctor Bone and the Hepcats	Donn Young	2003 February 14	New Orleans (La.)--Photographs;Musicians--Photographs;	Image of the musical group in the Andy Galbiati studio.	Image	TIF	7.51 MB	494437869a277	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/86	86	87.jpg	Volume14\494437869a277.tif	/LSU_DYP/image/87.jpg
Aaron Neville	Donn Young	2003 February 19	New Orleans (La.)--Photographs; Neville, Aaron, 1941---Photographs; McKeithen, W. Fox--Photographs; Award presentations--Photographs;	Image of Aaron Neville accepting a certificate naming him an honorary Secretary of State for Louisiana from Fox McKeithen the Secretary of State for Louisiana.	Image	TIF	7.51 MB	494437875a017	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/87	87	88.jpg	Volume14\494437875a017.tif	/LSU_DYP/image/88.jpg
Commander's Palace	Donn Young	2003 February 19	New Orleans (La.)--Photographs;Commander’s Palace (Restaurant);	View of the outside of the restaurant Commander's Palace in uptown New Orleans.	Image	TIF	7.51 MB	494437875a024	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/88	88	89.jpg	Volume14\494437875a024.tif	/LSU_DYP/image/89.jpg
Unknown Gravesite	Donn Young	2003 February 20	New Orleans (La.)--Photographs;Cemeteries--Photographs;	Close up of cracked white surface with BORN and DIED written on it.	Image	TIF	7.51 MB	494437875a029	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/89	89	90.jpg	Volume14\494437875a029.tif	/LSU_DYP/image/90.jpg
Weavers Po-Boys sign	Donn Young	2003 February 19	New Orleans (La.)--Photographs;Signs and signboards--Photographs;	Sign for a po-boy shop, white boards with red block letters.	Image	TIF	7.51 MB	494437875a030	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/90	90	91.jpg	Volume14\494437875a030.tif	/LSU_DYP/image/91.jpg
Mardi Gras Mask	Donn Young	2003 February 22	New Orleans (La.)--Photographs;Mardi Gras--Photographs;Holiday decorations--Photographs;	Party decoration for Mardi Gras, mask is gold with purple trim and green accents. Attached to a small tree inside a house with beads draped around it.	Image	TIF	16.9 MB	494437877a027	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/91	91	92.jpg	Volume14\494437877a027.tif	/LSU_DYP/image/92.jpg
King Barkus XI, His Majesty Norm Cooper-Smith (English Setter)	Donn Young	2003 February 22	New Orleans (La.)--Photographs;Mardi Gras--Photographs;English Setters--Photographs;	Image of a dog, English setter, who was the king of the Krewe of Barkus for Mardi Gras in a hallway in front of a door.	Image	TIF	7.51 MB	494437878a076	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/92	92	93.jpg	Volume14\494437878a076.tif	/LSU_DYP/image/93.jpg
Church Congregation	Donn Young	2003 February 22	New Orleans (La.)--Photographs;Church attendance--Photographs;Public worship--Photographs;	Image of the congregation of the Franklin Chapel House of Prayer during services. Taken from a balcony down at the congregation.	Image	TIF	16.8 MB	494437893a002	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/93	93	94.jpg	Volume14\494437893a002.tif	/LSU_DYP/image/94.jpg
Clergy member speaking	Donn Young	2003 February 22	New Orleans (La.)--Photographs;Clergy--Photographs;	Image of a member of the Clergy at the Franklin Chapel House of Prayer.	Image	TIF	16.8 MB	494437893a064	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/94	94	95.jpg	Volume14\494437893a064.tif	/LSU_DYP/image/95.jpg
Franklin Chapel House of Prayer	Donn Young	2003 February 22	New Orleans (La.)--Photographs;Church buildings--Photographs;	Exterior view of white church building.	Image	TIF	16.8 MB	494437893a105	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/95	95	96.jpg	Volume14\494437893a105.tif	/LSU_DYP/image/96.jpg
Krewe of Wrecks	Donn Young	2003	New Orleans (La.)--Photographs;Families--Portraits;Boats and boating--Photographs;Mardi Gras--Photographs;	Family on the boat with life jackets to participate in the Krewe of Wrecks parade on the water. Mom, Dad, and two sons.	Image	TIF	16.8 MB	494437905a007	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/96	96	97.jpg	Volume14\494437905a007.tif	/LSU_DYP/image/97.jpg
Krewe of Wrecks	Donn Young	2003	New Orleans (La.)--Photographs;Boats and boating--Photographs;Mardi Gras--Photographs;Holiday decorations--Photographs;	Krewe of Wrecks parade takes place on the water, so all the floats are boats. This is one of the boats decorated for the parade.	Image	TIF	16.8 MB	494437905a111	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/97	97	98.jpg	Volume15\494437905a111.tif	/LSU_DYP/image/98.jpg
Mardi Gras Stands	Donn Young	2003	New Orleans (La.)--Photographs;Mardi Gras--Photographs;Krewe of Bacchus (Organization)--Photographs.	Image of the stands of seating set up for Mardi Gras parade goers in New Orleans, La. File indicated image was from the Krewe of Bacchus parade.	Image	TIF	16.8 MB	494437906a001	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/98	98	99.jpg	Volume15\494437906a001.tif	/LSU_DYP/image/99.jpg
Bacchus: Fantasy World	Donn Young	2003 March 02	New Orleans (La.)--Photographs; Mardi Gras--Photographs; Krewe of Bacchus (Organization)--Photographs;	Bacchus parade float decorated with the head of Bacchus and grape bunches, carrying people in green throwing beads etc. at night.	Image	TIF	16.8 MB	494437906a018	Donn Young Photograph Collection	IRP	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )		Physical rights and copyright retained by the LSU Libraries.	Images of New Orleans: The Donn Young Photograph Collection, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See "reference url" on the navigation bars	Homepage: http://www.louisianadigitallibrary.org/cdm4/index_LSU_DYP.php?CISOROOT=/LSU_DYP;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_DYP		2007-05-09	2007-05-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_DYP/id/99	99	100.jpg	Volume15\494437906a018.tif	/LSU_DYP/image/100.jpg
