Common name (Title of work)	Scientific name (Species)	Family name (English)	Family name (Latin)	Habitat	Related drawings	Artist	Date(s) collected	Coverage-Temporal	Publisher	Place collected	Name(s) of collector(s)	Description	Notes	Language	Original Format	Original Size	Digital Format	Repository	Cataloger	Restrictions	Cite As	Cataloged Date	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Contact and Ordering Information	Item URL	Object File Name	Collection URL	Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Solomon's Seal	Polygonatum biflorum (Walt.) Ell.	Lily Family	LILIACEAE			Stones, Margaret	April 13, 1986	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	West Feliciana Parish	Standifer, Marie	"Graceful, arching, leafy stems typify Solomon's seal, a plant of the rich, wooded slopes of eastern North America.  From the axils of each leaf are two or sometimes more pendulous flower; each blossom's six-parted perianth is fused into a tubular corolla with tiny lobes.  Within the corolla are six stamens, the number typical for members of the lily family.  Berries, the fruits of this plant, are fist green, turning dark purple when mature.  Shoots and roots of Solomon's seal are said to be edible.  Although reported from several parishes, this species is uncommon in Louisiana.  Solomon's seal is a relatively easy plant to grow in the shade garden if provided with rich, moist, but well-drained soil.  Different accounts have been given for this plant's common name.  The leaf scars on the rhizome resemble a seal's impression into the wax used on letters or documents in former times.  Alternatively, the ancients thought that medicines prepared from the roots of this plant had magical healing properties like those of the healing acts that could have been performed by Solomon."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 116		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.0 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-12	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000162	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/166	166	166.jp2		/MSW/image/166.jp2
Pickerel Weed	Pontederia cordata L.	Pickerel Weed Family	PONTEDERIACEAE			Stones, Margaret	June 2, 1978	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Ascension Parish	Barton, Paula	"Pickerel weed is common along ditches and streams and in the shallow water of ponds and lakes throughout much of eastern North America.  Rooting in the mud, this aquatic plant produces upright stems as tall as three feet.  Arising from near the plant's base are several erect, long-petiolate leaves with cordate to lanceolate blades.  Just below the base of the inflorescence is a heart-shaped, leaflike bract.  Elongated spikes of bilaterally symmetrical flowers appear in late spring, and flowering may continue throughout the summer.  The sepals and petals are showy and bluish violet, and the upper segment bears a yellow mark.  Six stamens of two lengths are attached within the perianth, and a single-seeded fruit matures from the ovary.  A small solitary bee, Dufourea, appears to depend completely on a pickerel weed for its livelihood.  Pickerel weed is attractive and worthy of planting in a garden pond, especially one in a natural setting.  It is related to water hyacinth, the introduced, attractive, but troublesome weed of waterways in the southern United States."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 192		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.3 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-19	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000163	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/167	167	167.jp2		/MSW/image/167.jp2
Black Cherry	Prunus serotina Ehrh.	Rose Family	ROSACEAE			Stones, Margaret	March 30, 1979 (flowers); May 25, 1978 (fruit)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Urbatsch, Lowell E.	"Well known for its valuable wood used in making furniture and cabinets, black cherry is a common forest tree found throughout much of eastern North America.  Bark on the younger branches characteristically shows horizontal silvery bands, and the older bark is an irregular patchwork of plates.  In the vegetative state, this plant can be readily recognized by a line of reddish hairs along either side of the midvein on the lower side of its simple, alternate leaves.  Its individual, white, plumlike flowers are arranged in cylindrical racemes.  Five small sepals subtend the five white petals surrounding the twenty or so stamens.  The cherries, which develop from the single simple pistil, are purplish black and usually less than one-half inch in diameter.  Their flavor may vary from bitter to sweet, depending on the individual tree.  Black cherry may grow quite large.  The national champion, located in Michigan, is 132 feet tall."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 174		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.6 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-19	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000164	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/168	168	168.jp2		/MSW/image/168.jp2
Flatwoods Plum	Prunus umbellata Ell.	Rose Family	ROSACEAE			Stones, Margaret	March 17, 1981 (flowers); September 30, 1978 (fruit)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Bossier Parish	Robbins, Jim	"Flatwoods plum grows along riverbanks and sandy hillsides throughout much of Louisiana and the southeastern United States.  It is a small tree, attaining only about thirty feet in height.  In the spring, somewhat round-topped clusters of white, fragrant flowers with colorful stamens appear.  Chickasaw plum (Prunus angustifolia) is a similar native species, but several features offer useful diagnostic markets.  The small teeth along the margins of Chickasaw plum leaves are tipped with red or yellow glands, and those of flatwoods plum are glandless.  One bite of the fruit will readily identify the species.  Flatwoods plum fruit are very bitter and distasteful, while the other species has tart, pleasant-tasting plums.  Both species would provide interesting ornamental accent plants.  Chickasaw plum is sometimes grown for the fruit, which is desirable for preserves or for eating raw."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 197	Date collected for fruit as appears on the drawing is September 30, 1981.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.1 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-19	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000165	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/169	169	169.jp2		/MSW/image/169.jp2
Sampson's Snakeroot	Psoralea psoralioides (Walt.) Cory	Legume Family	FABACEAE			Stones, Margaret	April 14, 1982	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Tangipahoa Parish	Smith, Latimore	"Sampson's snakeroot is widely distributed in the dry, sandy soils of Louisiana, and it presents an attractive floral display, especially when grown in mass.  The numerous, branching stems arising from the tuberous roots of this perennial bear several alternately inserted trifoliolate leaves.  Arranged in dense, terminal racemes are its lilac flowers, resembling those of the pea plant.  Its legumes, the fruit of Sampson's snakeroot, are tiny pods about one-half inch long.  Sometime in the past, a concoction from the roots of this plant apparently was prescribed for the treatment of snakebite.  Evidently, the results were not greatly successful.  Sampson's snakeroot is colorful while in flower but has a rather short blooming season.  Nevertheless, it could provide an attractive, early spring flora display in a naturalistic setting, and perhaps it has potential for use in roadside plantings.  Psoralea, a genus of more than one hundred species mainly from tropical and subtropical regions, is sometimes subdivided into several smaller genera.  Its name means "scabby" and refers to the glandular dots typically found on its lower leaf surfaces."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 92		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.1 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-19	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000166	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/170	170	170.jp2		/MSW/image/170.jp2
Wafer Ash or Hop Tree	Ptelea trifoliata L.	Citrus Family	RUTACEAE			Stones, Margaret	April 29, 1980 (flowers); September 17, 1980 (fruit)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Lafayette Parish	Landry, Garrie; Reese, Bill (flowers); Smith, Latimore (fruit)	"Wafer ash, a deciduous shrub or small tree, is known from Ontario, Canada, southward to central Florida and Mexico.  Its alternate, trifoliolate leaves vaguely resemble those of poison ivy, which, of course, is a vine.  Three kinds of flowers occur on individual plants:  bisexual, pollen-bearing, and seed-bearing.  All have minute sepals and four to five small, greenish petals.  The pistillate flowers have imperfect, sterile anthers, and the staminate ones have nonfunctional pistils.  "Wafer ash" describes the fruit, which consist of pale, yellowish green, disk-shaped samaras about the size of quarters.  Typically, the fruits occur in relatively large, dense, conspicuous clusters.  This species is actually not an ash but a member of the citrus family, and like others in this group, it is very aromatic.  Crushed foliage and twigs have a strong musty odor."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 198	Common name as appears on drawing is Common Hoptree.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.3 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-19	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000167	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/171	171	171.jp2		/MSW/image/171.jp2
Cow Oak or Basket Oak	Quercus michauxii Nutt.	Beech Family	FABACEAE			Stones, Margaret	March 9, 1981 (flowers); April 14, 1981 (leaves); October 16, 1981 (acorn)	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Urbatsch, Lowell E.	"Cow oak is common deciduous forest tree of the rich, mesic slopes and river bottom forests subject to floods of short duration.  The bark of its straight, upright trunk is light gray and shaggy, somewhat like that of white oak.  Leaves of cow oak, which clearly place it in the chestnut oak group, are usually six to eight inches long and have about a dozen large teeth along each edge and several evenly spaced, secondary veins running from the midvein to the margin.  Flowers of both sexes occur on the same tree.  The staminate flowers form dense, drooping catkins, and the seed-producing ones are borne singly or in small clusters.  Relatively large acorns with caps about one-half their length mature in one season.  Cow oak is a desirable shade tree and timber species.  Because the wood splits evenly into thin strips, it is used for basket-making and for shingles.  Late in the season, the leaves of cow oak become red, and it is one of the few species in the Deep South to dependably provide autumn coloration.  The scientific name for this species has been the source of confusion over the years.  Quercus prinus, a name often used for cow oak, is no longer in use."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 76	Common name as appears on drawing is Swamp Chestnut Oak.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.1 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-19	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000168	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/172	172	172.jp2		/MSW/image/172.jp2
Live Oak	Quercus virginiana Miller	Beech Family	FAGACEAE			Stones, Margaret	February 2, 1976	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Brown, Clair A.	"Live oak is native to the coastal regions from eastern Texas to Virginia, but because it is highly prized for its spreading form and attractive foliage, it has been extensively planted on more inland sites.  Its thick, glossy leaves, which are shed each spring about the time flowers and new leaves appear, have pubescent lower leaf surfaces and smooth or slightly toothed to lobed margins.  Live oak flowers are unisexual; pollen-producing ones are clustered in pendulous catkins, and the much fewer seed-producing ones are borne individually or in small clusters.  Because of their adaptation for wind pollination, the flowers lack petals and are not showy.  Elongated acorns are often produced in abundance in the fall.  Live oak is long-lived and can grow to enormous size.  The national champion tree, growing in Louisburg, Louisiana, is thirty-six feet seven inches in circumference.  Live oak often provides suitable habitat for various epiphytes such as Spanish moss and resurrection fern."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 78	Common name as appears on drawing is Southern Live Oak.  Spanish moss (Tillandsia usneoides) also appears on this drawing.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.2 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-19	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000169	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/173	173	173.jp2		/MSW/image/173.jp2
Carolina Buckthorn	Rhamnus caroliniana Walt.	Buckthorn Family	RHAMNACEAE			Stones, Margaret	October 25, 1979	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	East Baton Rouge Parish	Odenwald, Neil	"Fruits of Carolina buckthorn are an outstanding and colorful feature of this small tree.  The small, grape-sized, berrylike drupes are at first red and then black.  Because the drupes mature at different times, various colors are typically present in each cluster.  Flowers of this species are rather small and five-merous with yellowish green petals.  Their bright green color, elliptical shape, and prominent veins make Carolina buckthorn leaves attractive and distinctive.  Found throughout the southeastern United States, this species grows in the understory and at the borders of rich, moist, deciduous woodlands.  The largest individual tree is reported to be nearly fifty feet tall; most trees, however, rarely attain thirty feet.  Although little used as a landscape plant, Carolina buckthorn has considerable potential for this purpose.  Rhamus is a genus of about one hundred species widely distributed in temperate and tropical regions.  Some species are used in the manufacture of dyes, others have medicinal uses, and a few are cultivated ornamentals."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 194	Collection date for flowers as appears on drawing is May 5, 1980.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.4 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-08	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000170	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-12-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/175	175	175.jp2		/MSW/image/175.jp2
Smooth Meadow Beauty	Rhexia alifanus Walt.	Meadow Beauty Family	MELASTOMATACEAE			Stones, Margaret	July 6, 1984	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Tangipahoa Parish	Urbatsch, Lowell E.; Givens, Florence M.	"Rhexia is the only genus of the large, mostly tropical meadow beauty family to grow in the United States, where it is represented by approximately a dozen species.  These are readily recognizable by their four angled stems and opposite, simple leaves with three main veins running from the leaf base to its tip.  The flowers of all species are exquisite.  Smooth meadow beauty (center), with its glabrous, upright stems that branch only in the inflorescence and its vividly colored flowers, is one of the showiest.  Its four rose-lavender petals are about one inch in length, and its eight bright yellow anthers site on filaments having an elbowlike bend.  The urn-shaped fruits persist on the plant long after its seeds have been shed.  Smooth meadow beauty flowers throughout the summer and provides one of the main sources of color in its native habitat, the wet pine savannas of extreme southeastern and central Louisiana.  Although this species has been little used as a garden plant, it has considerable potential in this regard.  Most likely it could be propagated from seed and would require moist, but well-drained, acid soil in a sunny location.  Rhexia mariana (left) is a common, highly variable species that grows in similar habitats.  This species differs from the smooth meadow beauty in having pubescent stems and diverse shades of pink to rose petals."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 132	Note on drawing: "Caution! The pink colour may be fugitive if exposed for long periods to the light."	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.4 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-08	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000171	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/176	176	176.jp2		/MSW/image/176.jp2
Yellow Meadow Beauty	Rhexia lutea Walt.	Meadow Beauty Family	MELASTOMATACEAE			Stones, Margaret	May 13, 1981	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	St. Tammany Parish	Urbatsch, Lowell E.	"Yellow meadow beauty is the only species of Rhexia to have yellow flowers.  Like the smooth meadow beauty, it inhabits pitcher plant bogs and wet pine savannas from northern Florida westward to eastern Texas.  It is a bushier plant that grows to about fifteen inches in height and bears more numerous, but somewhat smaller, flowers with short, straight stamens.  This species also would provide and interesting, colorful, summer flowering ornamental if given a suitable location.  The name Rhexia was taken from some of the ancient naturalist who used it for an unknown plant.  Melastomataceae is a family of about four thousand species mostly of shrubs and small trees with a circumtropical and subtropical distribution.  They are richly represented in the Brazilian flora.  Several of the profusely flowering species of melastomes are grown in their native tropics, but unfortunately they would not be hardy where low temperatures occur."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 145	Common name as appears on drawing is Yellow Rhexia.	en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.0 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-19	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000172	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/177	177	177.jp2		/MSW/image/177.jp2
Wild Azalea	Rhododendron canescens (Michx.) Sw.	Heath Family	ERICACEAE			Stones, Margaret	April 8, 1978	1976-1989	Louisiana State University (Baton Rouge, La.). Libraries	Washington Parish	Urbatsch, Lowell E.	"This well-known, large, deciduous-leaved shrub inhabits moist, sandy soils along many of the streams in Louisiana and the southeastern United States.  Mature individuals may be nearly twenty feet tall.  Their alternate leaves range from one to four inches long and are often crowded near the branch tips.  A tangled mass of small, soft hairs typically cover this plant's twigs and lower leaf surfaces.  Flowering buds are formed by midsummer and remain a prominent feature of this plant after its autumnal leaf drop.  Immediately preceding or occurring with the new leaves in early spring, innumerable clusters of tubular, fragrant flowers completely cover the plant.  Because of the shape of its corolla and its floral fragrance, this plant is sometimes called honeysuckle azalea.  Colors of the petals vary from nearly white to a deep pink, depending on the genetic constitution of the individual.  Wild azalea grows well in cultivation in moist, sandy acid soil and needs a sunny location to flower profusely."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 70		en	watercolor drawing	Approx. 57 x 38 cm	JPEG2000	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	kas	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, LOUISiana Digital Library, Baton Rouge, La.	2006-10-14	600 dpi	8-bit	Color RGB		Contrast and brightness adjusted to match original.	21.2 MB	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in.  Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	KAS	2006-08-19	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	See 'reference url' on the navigational bars.	ms000173	http://louisdl.louislibraries.org/cdm4/index_MSW.php?CISOROOT=/MSW	Image		2006-10-14	2006-10-14	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/MSW/id/178	178	178.jp2		/MSW/image/178.jp2
