Common name (on plate)	Notes	Current common name	Scientific name (on plate)	Current scientific name	Common name of plant	Scientific name of plant	Current scientific plant name	Artist	Date drawn	Publication Date	Plate number	Part number	Printer (publisher)	Engraver/lithographer	Donated by	Physical description	Original Format	Subjects	Author of notes	Language	Location of bird drawn	Bibliographic Information	Digital Collection	Repository	Repository Collection	Collection Information	Digital reproduction information	Restrictions	Cite As	Contact and Ordering Information	Item number	Accession number	Item URL	Collection URL	Cataloger	Cataloged date	Type	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Roscoe's Yellow Throat		Common Yellowthroat	Sylvia rosco	Geothlypis trichas	Swamp Oak			Audubon, John James (1785-1851)	1821		24	5	R. Havell and Son	R. Havell and Son	Mr. and Mrs. Malcolm G. Parker	30in x 40in; Depicts one male bird on a limb of the water oak.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00007	20025	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/32	32	33.jp2		/LSU_JJA/image/33.jp2
Children's Warbler		Yellow Warbler	Silvia childreni	Dendroica petechia	Spanish Coffee	Plant cassia occidentalis		Audubon, John James (1785-1851)	1821		35	7	R. Havell & Son.	R. Havell & Son.	Mrs. Calvin Schwing	30in x 40in; Depicts a female, below, and a young, above, in a coffee-wood.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00008	20037	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/33	33	34.jp2		/LSU_JJA/image/34.jp2
American Redstart		American Redstart	Muscicapa ruticilla	Setophaga ruticilla	Scrub Elm	Ostrya virginica		Audubon, John James (1785-1851)	1821	1828	40	8	R. Havell Sr.	Rob. Havell Jr.	Dr. and Mrs. O.J. Baker	30in x40in; depicts the male attacking a wasp that is part of the colony living in the large wasp's nest shown. The female is separate.	water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00009	20043	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/34	34	35.jp2		/LSU_JJA/image/35.jp2
Mississippi Kite		Mississippi Kite		Ictinia mississippiensis				Audubon, John James (1785-1851)	1821		17 (E. Fol. 117)	4	J.B. Chevalier	J.T. Bowen		7in x 11in; Depicts one bird on a dead branch holding a b	Water-colored lithograph	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Scanned with a DigiBook 10000 RGB Color Scanner	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00016		See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Lithographs	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/35	35	36.jp2		/LSU_JJA/image/36.jp2
Summer Red Bird		Summer Tanager	Tanagra aestiva	Piranga rubra	Wild Muscadine	Vitis rotundifolia		Audubon, John James (1785-1851)	1821		44	9	R. Havell. Sr.	R. Havell. Jr.	Dr. and Mrs. Stanley W. Preston	30in x 40in; Depicts a male, top, a female, center, and a young, bottom, in a muscadine vine.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00010	20047	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/36	36	37.jp2		/LSU_JJA/image/37.jp2
Blue-Green Warbler		Cerulean Warbler	Sylvia rara	Dendroica cerulea	Spanish Mulberry	Callicarpa americana		Audubon, John James (1785-1851)	1821	1828	49	10	R. Havell Sr.	R. Havell Jr.	Mr. and Mrs. Harold F. Dyson	30in x 40in; depicts a female in a stack of French mulberry.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00011	20052	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/37	37	38.jp2		/LSU_JJA/image/38.jp2
Swainson's Warbler		Magnolia Warbler	Sylvicola swainsonia	Dendroica magnolia	White Oak			Audubon, John James (1785-1851)	1821	1828	50	10	R. Havell Sr.	R. Havell Jr.	Dr. and Mrs. John W. Chisholm	30in x 40in; Depicts one immature bird in a branch of swamp white oak.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00012	20054	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/38	38	39.jp2		/LSU_JJA/image/39.jp2
Swallow-tailed Hawk		Swallow-tailed Kite	Falco furcatus	Elanoides forficatus				Audubon, John James (1785-1851)		1829	72	15	R. Havell Sr.	R. Havell Jr.	Dr. John L. Loos, Dr. J. Preston Moore, and Robert B. Holtman	30in x 40in; Depicts one bird in flight holding a garter snake.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00013	20077	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/39	39	40.jp2		/LSU_JJA/image/40.jp2
Indigo-bird		Indigo Bunting	Fringilla cyanea	Passerina cyanea	Sarsaparilla	Schisandra coccinea		Audubon, John James (1785-1851)	1821	1829	74	15	R. Havell Sr.	R. Havell Jr.	Dr. and Mrs. Arthur R. Colmer	30in x 40in; Depicts two immature birds, top, an adult male, center, and a female, bottom.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00014	20079	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	050707	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/40	40	41.jp2		/LSU_JJA/image/41.jp2
Yellow Throat Warbler		Yellow-throated Warbler	Sylvia pensilis	Dendroica dominica	Chinkapin	Castanea pumila		Audubon, John James (1785-1851)	1821	1830	85	17	R. Havell Jr.	R. Havell Jr.	Dr. and Mrs. J.W. Kistler	30in x 40in; Depicts a male bird on a twig of a chinquapin tree.	Water-colored engraving with aquatint	Birds--North America; Birds--Pictorial works		en	Louisiana, Oakley Plantation		John James Audubon in Louisiana	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	E.A. McIlhenny Natural History Collection	http://www.lib.lsu.edu/special/exhibits/audubon	Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.	Physical rights are retained by the LSU Libraries.  Copyright of the original material is retained in accordance with U.S. copyright laws.  Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	John James Audubon in Louisiana, LOUISiana Digital Library, Baton Rouge, La.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	aud00015	20090	See "reference url" on the navigation bars	Homepage: http://www.lib.lsu.edu/special/exhibits/audubon;   List of images: http://www.louisianadigitallibrary.org/cdm4/browse.php?CISOROOT=/LSU_JJA	Lisa Lapointe	070507	Engravings	Image		2007-05-07	2008-06-17	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_JJA/id/41	41	42.jp2		/LSU_JJA/image/42.jp2
