Title	Date	Author	Subject Terms	Geographic Terms	Publication Information	Physical Description	Notes	Call No./Stacks location	Category	Contributors	Type	Format	Language	Relation	Rights	Audience	FILE NAME	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
The Mississippi River : speech of Hon. Newton C. Blanchard of Louisiana in the House of Representatives, Thursday, May 22, 1890	1890	Blanchard, Newton C. (Newton Crain), 1849-1922.	Flood control--Mississippi River.		Washington : [G.P.O.] ; 1890.	22 p. ; 23 cm.	Cover title	TC425 .M66 L44 1890	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/56	56	57.pdf	/p16313coll35/image/57.pdf
Swamp lands in Louisiana ... : Mr. Brodhead, from the Committee on Public Lands, made the following report : The Committee on Public Lands, to whom was referred the bill to aid the State of Louisiana to reclaim the swamp lands therein, unfit for cultivation, report	1848	United States. Congress. House. Committee on the Public Lands.	Reclamation of land--Louisiana; Levees--Louisiana--History; Levees--Mississippi River; Public lands--Louisiana		Washington, D.C. : s.n., 1848	7 p. ; 23 cm.	Caption title; August 8, 1848; At head of title: Thirtieth Congress, first session. Report No. 816 (to accompany bill H.R. No. 635). House of Representatives.	HD1683 .U5 L82 1848 LARA	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/57	57	58.pdf	/p16313coll35/image/58.pdf
Table of distances, water and rail, in Louisiana	1916	United States. Army. Corps of Engineers.		Louisiana--Distances; New Orleans (La.)--Distances	Washington, Govt. pr. Off., 1916.	68 p. 23 cm.	Library does not own Map of Southern Louisiana, dated March, 1915.	F369 .U55 1916	inland navigation										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/58	58	59.pdf	/p16313coll35/image/59.pdf
The levees in Louisiana: Louisianas invitation Prepared by Arsene Perrilliat [Louisiana Purchase Exposition, St. Louis, 1904]	1904	Louisiana. State Commission, Louisiana Purchase Exposition, 1904.	Levees--Louisiana		New Orleans : American Printing, [1904?]	14 p. ; 14 x 21 cm.	Cover title; Caption-title: The alluvial valley of the the Mississippi River and the levee system built to protect it from overflow.	TC424 .L8 L86	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/59	59	60.pdf	/p16313coll35/image/60.pdf
The problem of the Mississippi	1904	Haupt, Herman, 1817-1905.	Floods--Mississippi River; Flood control--Mississippi River; Floods--Louisiana; Autographs		New Orleans, 1904?	27 p. ; 23 cm.	Cover title; Reprint from the Gulf Ports Marine Journal, New Orleans, La.; Librarys copy has authors autograph on p. [2].	TC425 .M6 H3	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/60	60	61.pdf	/p16313coll35/image/61.pdf
Why Uncle Sam must control the Mississippi	1912	Louisiana Delta Lands Company, Chicago.	Floods--Mississippi River		Chicago : The Company, 1912?	folder ([12] p.) : ill. ; 22 cm.	Cover title	TC425 .M62 L8 1912	flood control										2013-05-10	2013-05-10	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/61	61	62.pdf	/p16313coll35/image/62.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume3_Part1																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/197	197	198.pdf	/p16313coll35/image/198.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume3_Part2																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/198	198	199.pdf	/p16313coll35/image/199.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume3_Part3																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/199	199	200.pdf	/p16313coll35/image/200.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume3_Part4																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/200	200	201.pdf	/p16313coll35/image/201.pdf
AtchafalayaBasinFloodwaySystemLouisianaVolume3_Part5																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/201	201	202.pdf	/p16313coll35/image/202.pdf
Atchafalaya Basin floodway system, Louisiana, Feasibility Study, tech appendices E-I	1982	United States. Army. Corps of Engineers. New Orleans District.	Flood control--Louisiana.	Atchafalaya Basin.	New Orleans : The Corps, 1982.	4 v. : ill., maps ; 28 cm.	v.3. Technical appendixes E, F, G, H, and I; On cover: Feasibility study.	D 103.62:AT 21/X/v. 3											2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/202	202	203.cpd	/p16313coll35/image/203.cpd
BayouTecheandVermilionRiver_Part1																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/203	203	204.pdf	/p16313coll35/image/204.pdf
BayouTecheandVermilionRiver_Part2																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/204	204	205.pdf	/p16313coll35/image/205.pdf
BayouTecheandVermilionRiver_Part3																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/205	205	206.pdf	/p16313coll35/image/206.pdf
BayouTecheandVermilionRiver_Part4																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/206	206	207.pdf	/p16313coll35/image/207.pdf
BayouTecheandVermilionRiver_Part5																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/207	207	208.pdf	/p16313coll35/image/208.pdf
BayouTecheandVermilionRiver_Part6																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/208	208	209.pdf	/p16313coll35/image/209.pdf
Draft composite environmental impact statement for operation and maintenance of three projects in the Teche-Vermilion Basin	1976	United States. Army. Corps of Engineers. New Orleans District.	Dredging--Environmental aspects--Louisiana; Environmental protection--Louisiana; Inland navigation--Louisiana; Flood control--Louisiana.	Teche, Bayou (La.); Vermilion River (La.); Freshwater Bayou (La.)	New Orleans : The District, 1976.	540 p. : maps ; 27 cm.		D 103.1000:76-3											2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/209	209	210.cpd	/p16313coll35/image/210.cpd
DetailedDrawingsofDesMoinesRapids																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/222	222	223.jpg	/p16313coll35/image/223.jpg
DetailedDrawingsofDesMoinesRapids0001																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/223	223	224.jpg	/p16313coll35/image/224.jpg
DetailedDrawingsofDesMoinesRapids0002																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/224	224	225.jpg	/p16313coll35/image/225.jpg
DetailedDrawingsofDesMoinesRapids0003																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/225	225	226.jpg	/p16313coll35/image/226.jpg
DetailedDrawingsofDesMoinesRapids0004																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/226	226	227.jpg	/p16313coll35/image/227.jpg
DetailedDrawingsofDesMoinesRapids0005																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/227	227	228.jpg	/p16313coll35/image/228.jpg
DetailedDrawingsofDesMoinesRapids0006																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/228	228	229.jpg	/p16313coll35/image/229.jpg
DetailedDrawingsofDesMoinesRapids0007																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/229	229	230.jpg	/p16313coll35/image/230.jpg
DetailedDrawingsofDesMoinesRapids0008																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/230	230	231.jpg	/p16313coll35/image/231.jpg
DetailedDrawingsofDesMoinesRapids0009																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/231	231	232.jpg	/p16313coll35/image/232.jpg
DetailedDrawingsofDesMoinesRapids0010																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/232	232	233.jpg	/p16313coll35/image/233.jpg
DetailedDrawingsofDesMoinesRapids0011																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/233	233	234.jpg	/p16313coll35/image/234.jpg
DetailedDrawingsofDesMoinesRapids0012																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/234	234	235.jpg	/p16313coll35/image/235.jpg
DetailedDrawingsofDesMoinesRapids0013																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/235	235	236.jpg	/p16313coll35/image/236.jpg
DetailedDrawingsofDesMoinesRapids0014																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/236	236	237.jpg	/p16313coll35/image/237.jpg
DetailedDrawingsofDesMoinesRapids0015																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/237	237	238.jpg	/p16313coll35/image/238.jpg
DetailedDrawingsofDesMoinesRapids0016																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/238	238	239.jpg	/p16313coll35/image/239.jpg
DetailedDrawingsofDesMoinesRapids0017																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/239	239	240.jpg	/p16313coll35/image/240.jpg
DetailedDrawingsofDesMoinesRapids0018																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/240	240	241.jpg	/p16313coll35/image/241.jpg
DetailedDrawingsofDesMoinesRapids0019																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/241	241	242.jpg	/p16313coll35/image/242.jpg
DetailedDrawingsofDesMoinesRapids0020																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/242	242	243.jpg	/p16313coll35/image/243.jpg
DetailedDrawingsofDesMoinesRapids0021																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/243	243	244.jpg	/p16313coll35/image/244.jpg
DetailedDrawingsofDesMoinesRapids0022																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/244	244	245.jpg	/p16313coll35/image/245.jpg
DetailedDrawingsofDesMoinesRapids0023																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/245	245	246.jpg	/p16313coll35/image/246.jpg
DetailedDrawingsofDesMoinesRapids0024																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/246	246	247.jpg	/p16313coll35/image/247.jpg
DetailedDrawingsofDesMoinesRapids0025																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/247	247	248.jpg	/p16313coll35/image/248.jpg
DetailedDrawingsofDesMoinesRapids0026																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/248	248	249.jpg	/p16313coll35/image/249.jpg
DetailedDrawingsofDesMoinesRapids0027																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/249	249	250.jpg	/p16313coll35/image/250.jpg
DetailedDrawingsofDesMoinesRapids0028																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/250	250	251.jpg	/p16313coll35/image/251.jpg
DetailedDrawingsofDesMoinesRapids0029																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/251	251	252.jpg	/p16313coll35/image/252.jpg
DetailedDrawingsofDesMoinesRapids0030																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/252	252	253.jpg	/p16313coll35/image/253.jpg
DetailedDrawingsofDesMoinesRapids0031																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/253	253	254.jpg	/p16313coll35/image/254.jpg
DetailedDrawingsofDesMoinesRapids0032																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/254	254	255.jpg	/p16313coll35/image/255.jpg
DetailedDrawingsofDesMoinesRapids0033																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/255	255	256.jpg	/p16313coll35/image/256.jpg
DetailedDrawingsofDesMoinesRapids0034																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/256	256	257.jpg	/p16313coll35/image/257.jpg
DetailedDrawingsofDesMoinesRapids0035																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/257	257	258.jpg	/p16313coll35/image/258.jpg
DetailedDrawingsofDesMoinesRapids0036																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/258	258	259.jpg	/p16313coll35/image/259.jpg
DetailedDrawingsofDesMoinesRapids0037																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/259	259	260.jpg	/p16313coll35/image/260.jpg
DetailedDrawingsofDesMoinesRapids0038																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/260	260	261.jpg	/p16313coll35/image/261.jpg
DetailedDrawingsofDesMoinesRapids0039																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/261	261	262.jpg	/p16313coll35/image/262.jpg
DetailedDrawingsofDesMoinesRapids0040																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/262	262	263.jpg	/p16313coll35/image/263.jpg
Detailed drawings of Des Moines Rapids, locks and canal, of the Mississippi River	1872	United States. Army. Corps of Engineers.	Canals--Iowa; Canals--Iowa--Keokuk	Des Moines Rapids Canal--Maps; Mississippi River--Channels--Maps	S.l. : Office of the Chief of Engineers, 1872.	37 leaves of plates : maps, plans ; 30 x 48 cm.	Cover title: Des Moines Rapids Canal, Mississippi River, 1872.c	TC425 .M6 W5 FLAT											2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/263	263	264.cpd	/p16313coll35/image/264.cpd
FloodsAndLeveesOfTheMSRiver_Part1																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/267	267	268.pdf	/p16313coll35/image/268.pdf
FloodsAndLeveesOfTheMSRiver_Part2																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/268	268	269.pdf	/p16313coll35/image/269.pdf
FloodsAndLeveesOfTheMSRiver_Part3																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/269	269	270.pdf	/p16313coll35/image/270.pdf
Floods and levees of the Mississippi River	1914	Humphreys, Benjamin Grubb, 1865-1923	Levees--Mississippi River; Floods--Mississippi River		Washington, D.C., [Memphis, The Mississippi River Association] 1914.	349 p. 25 1/2 cm.		TC425 .M6 H85											2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/270	270	271.cpd	/p16313coll35/image/271.cpd
FloodsAndLeveesOfTheMSRiverSup_Part1																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/271	271	272.pdf	/p16313coll35/image/272.pdf
FloodsAndLeveesOfTheMSRiverSup_Part2																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/272	272	273.pdf	/p16313coll35/image/273.pdf
FloodsAndLeveesOfTheMSRiverSup_Part3																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/273	273	274.pdf	/p16313coll35/image/274.pdf
FloodsAndLeveesOfTheMSRiverSup_Part4																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/274	274	275.pdf	/p16313coll35/image/275.pdf
Floods and levees of the Mississippi River supplemental report to accompany H.R. 13811	1914	Humphreys, Benjamin Grubb, 1865-1923.	Levees--Mississippi River; Floods--Mississippi River; Flood control--Mississippi River Valley		Washington, D.C. : GPO, 1914.	iv, 375 p. ; 23 cm.		TC425 .M6 H85 SUPPL.											2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/275	275	276.cpd	/p16313coll35/image/276.cpd
ModelPrototypeComparisonStudyOfDikeSystemsMississippiRiver_Part1																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/284	284	285.pdf	/p16313coll35/image/285.pdf
ModelPrototypeComparisonStudyOfDikeSystemsMississippiRiver_Part2																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/285	285	286.pdf	/p16313coll35/image/286.pdf
ModelPrototypeComparisonStudyOfDikeSystemsMississippiRiver_Part3																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/286	286	287.pdf	/p16313coll35/image/287.pdf
ModelPrototypeComparisonStudyOfDikeSystemsMississippiRiver_Part4																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/287	287	288.pdf	/p16313coll35/image/288.pdf
ModelPrototypeComparisonStudyOfDikeSystemsMississippiRiver_Part5																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/288	288	289.pdf	/p16313coll35/image/289.pdf
Model-prototype comparison study of dike systems, Mississippi River	1982	Franco, John J.	Dikes (Engineering); Hydraulic models; River regulation.	Mississippi River.	Vicksburg, Miss. : The Station ; Springfield, Va. : available from NTIS, 1982.	220 p. in various pagings, 123 p. of plates : ill. ; 27 cm.	Cover title; May 1982; Prepared for The President, Mississippi River Commission.	D 103.24/2:H-82-10											2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/289	289	290.cpd	/p16313coll35/image/290.cpd
NotesOnTheMississippiRiver_Part1																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/290	290	291.pdf	/p16313coll35/image/291.pdf
NotesOnTheMississippiRiver_Part2																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/291	291	292.pdf	/p16313coll35/image/292.pdf
NotesOnTheMississippiRiver_Part3																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/292	292	293.pdf	/p16313coll35/image/293.pdf
NotesOnTheMississippiRiver_Part4																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/293	293	294.pdf	/p16313coll35/image/294.pdf
Notes on the Mississippi River, including brief descriptions of the methods adopted by the Mississippi engineers in its survey, discharge measurements, sediment observation, construction of levees, bank protection, channel improvement works and in dredging, etc	1900	Dawson, Ernest Frederick.	Rivers--United States; Levees--Mississippi River; Shore protection--Mississippi River Valley	Mississippi River	Calcutta, Thacker, Spink & Co., 1900.	2 p. ., x p., 1 ., 335 p. illus. (part fold.) 20 x 26 cm.		TC425 .M6 D25											2013-05-23	2013-06-28	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/294	294	295.cpd	/p16313coll35/image/295.cpd
ProjectMaps_Part1																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/295	295	296.pdf	/p16313coll35/image/296.pdf
ProjectMaps_Part2																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/296	296	297.pdf	/p16313coll35/image/297.pdf
ProjectMaps_Part3																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/297	297	298.pdf	/p16313coll35/image/298.pdf
Project maps rivers and harbors, flood control projects, flood control M.R. & T	1986	United States. Army. Corps of Engineers. New Orleans District.	Flood control--Louisiana.; Harbors--Louisiana.; Rivers--Louisiana.	Louisiana--Maps.	New Orleans, La. : U.S. Army Corps of Engineers, New Orleans District, 1985.	1 v. (loose-leaf) : chiefly maps ; 29 cm.		D 103.2:P  94/4/985 X											2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/298	298	299.cpd	/p16313coll35/image/299.cpd
LakePontchartrainLouisianaandVicinityHurricaneProtectionProject_Part1																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/299	299	300.pdf	/p16313coll35/image/300.pdf
LakePontchartrainLouisianaandVicinityHurricaneProtectionProject_Part10																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/300	300	301.pdf	/p16313coll35/image/301.pdf
LakePontchartrainLouisianaandVicinityHurricaneProtectionProject_Part2																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/301	301	302.pdf	/p16313coll35/image/302.pdf
LakePontchartrainLouisianaandVicinityHurricaneProtectionProject_Part3																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/302	302	303.pdf	/p16313coll35/image/303.pdf
LakePontchartrainLouisianaandVicinityHurricaneProtectionProject_Part4																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/303	303	304.pdf	/p16313coll35/image/304.pdf
LakePontchartrainLouisianaandVicinityHurricaneProtectionProject_Part5																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/304	304	305.pdf	/p16313coll35/image/305.pdf
LakePontchartrainLouisianaandVicinityHurricaneProtectionProject_Part6																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/305	305	306.pdf	/p16313coll35/image/306.pdf
LakePontchartrainLouisianaandVicinityHurricaneProtectionProject_Part7																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/306	306	307.pdf	/p16313coll35/image/307.pdf
LakePontchartrainLouisianaandVicinityHurricaneProtectionProject_Part8																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/307	307	308.pdf	/p16313coll35/image/308.pdf
LakePontchartrainLouisianaandVicinityHurricaneProtectionProject_Part9																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/308	308	309.pdf	/p16313coll35/image/309.pdf
Record of public meeting  Lake Pontchartrain, Louisiana and vicinity hurricane protection project	1975	United States. Army. Corps of Engineers. New Orleans District.	Hurricane protection--Louisiana--Pontchartrain, Lake; Flood control--Louisiana.		(621) p. of ill., 162 p. ; 27 cm.	New Orleans, LA : Dept. of the Army, New Orleans District, Corps of Engineers, 1975.	Meeting held at the University of New Orleans, New Orleans, LA 22 February 1975; June 1975.	D 103.62:P 77/4 X											2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/309	309	310.cpd	/p16313coll35/image/310.cpd
ReferencesToAndExtractsFromActsPassed_Part1																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/310	310	311.pdf	/p16313coll35/image/311.pdf
ReferencesToAndExtractsFromActsPassed_Part2																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/311	311	312.pdf	/p16313coll35/image/312.pdf
ReferencesToAndExtractsFromActsPassed_Part3																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/312	312	313.pdf	/p16313coll35/image/313.pdf
ReferencesToAndExtractsFromActsPassed_Part4																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/313	313	314.pdf	/p16313coll35/image/314.pdf
ReferencesToAndExtractsFromActsPassed_Part5																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/314	314	315.pdf	/p16313coll35/image/315.pdf
References to and extracts from acts passed by the General Assembly of the State of Louisiana	1920	Louisiana	Drainage laws--Louisiana; Reclamation of land--Louisiana	Mississippi River--Levees; Louisiana--Public lands	[New Orleans : Board of State Engineers, 1920?]	555 p. : ill., fold. map ; 24 cm.	On spine: Levee legislation and kindred subjects, 1856-1920; Includes index.	KFL446 .A3 1920											2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/315	315	316.cpd	/p16313coll35/image/316.cpd
ReportUponThePhysicsAndHydraulicsOfTheMSRiver_Part1																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/321	321	322.pdf	/p16313coll35/image/322.pdf
ReportUponThePhysicsAndHydraulicsOfTheMSRiver_Part10																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/322	322	323.pdf	/p16313coll35/image/323.pdf
ReportUponThePhysicsAndHydraulicsOfTheMSRiver_Part2																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/323	323	324.pdf	/p16313coll35/image/324.pdf
ReportUponThePhysicsAndHydraulicsOfTheMSRiver_Part3																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/324	324	325.pdf	/p16313coll35/image/325.pdf
ReportUponThePhysicsAndHydraulicsOfTheMSRiver_Part4																			2013-05-23	2013-05-23	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll35/id/325	325	326.pdf	/p16313coll35/image/326.pdf
