Title	Compound	Photographer	Date	Dates	Subjects	Notes	Type	Original Format/Size	Digital Type	Digital Size	Digital Reproduction Information	Digital Collection	Repository	Repository Collection	Repository Collection Guide	Physical Description	Restrictions	Cite As	Contact and Ordering Information	Item Number	Item URL	Collection URL	General Type	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Palfrey, John C., Cambridge, Mass., Engineers	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits in a chair directly facing the camera, his hands resting on his upper thighs. This page marked "30."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530030	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/73	73	74.jpg	/LSU_GCS/image/74.jpg
Quattlebaum, Paul J., Siesville, Lexington Dist., S.C., Infantry, Rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, what appear to be leather gauntlets, and a wide leather belt with a round buckle, sits in a chair directly facing the camera near a table with a knitted throw covering it. A fully extended billed cap sits on the table. The sitter holds a sword vertically against the inside of his left thigh. This page marked "31."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530031	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/74	74	75.jpg	/LSU_GCS/image/75.jpg
Robinson, Augustus G.	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform and a nearly fully extended billed cap, sits in a chair directly facing the camera, his arms crossed. This page marked "32."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530032	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/75	75	76.jpg	/LSU_GCS/image/76.jpg
Robert, Henry M., Portsmouth, Ohio or Ottumwa, Iowa, Engineers	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, a partially extended billed cap, what appear to be leather gauntlets, and a wide leather belt with a round buckle, sits in a chair facing left. The sitter holds a sword vertically against the inside of his left thigh. This page marked "33."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530033	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/76	76	77.jpg	/LSU_GCS/image/77.jpg
Ryan, George, Conn., Infantry	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair, next to a table with a knitted throw covering it. His right arm rests on the top of the table, his left hand rests in his lap. A partially extended billed cap sits on the table next to his hand. This page marked "34."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530034	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/77	77	78.jpg	/LSU_GCS/image/78.jpg
Reed, Sardine P., Pomeroy, Ohio, No use of feeling bad about it, Sard. Graduates in next class.	No	unknown	ca. 1857		United States Military Academy. Class of 1858--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits sideways in a chair, his right arm resting on the top of the chair, his left hand resting on his left thigh. This page marked "35."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530035	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/78	78	79.jpg	/LSU_GCS/image/79.jpg
Smith, J. L. Kirby, Syracuse, New York, Top Engineers	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform and a sash with tassels, sits sideways in a chair, his right arm slung over the top of the chair, his left hand holding a sword across his left thigh. This page marked "36."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530036	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/79	79	80.jpg	/LSU_GCS/image/80.jpg
Sinclair, William, Woodsfield, Ohio, Artillery (but every inch a dragoon)	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, a barely extended billed cap, leather gauntlets, and a wide leather belt with a round buckle, sits in a chair facing left. The sitter holds a sword vertically against the inside of his left thigh. This page marked "37."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530037	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/80	80	81.jpg	/LSU_GCS/image/81.jpg
Smith, William P., Virginia, Top Engineer, Rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade rests on the table, he wears a sash with tassels around his waist, white dress gloves, and holds a sword at an angle across his lap in his right hand. This page marked "38."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530038	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/81	81	82.jpg	/LSU_GCS/image/82.jpg
Strong, George C., ordnance	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits slightly left in a chair but directly facing the camera, his hands resting on his upper thighs. This page marked "39." Something once written below his name between quotation marks has been effaced.	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530039	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/82	82	83.jpg	/LSU_GCS/image/83.jpg
Williams, Solomon, Jr., No. Carolina, Graduates in next class, Rebel	No	unknown	ca. 1857		United States Military Academy. Class of 1858--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade rests on the table. He wears a sash with tassels around his waist, his left arm is hooked on the chair back and his left hand holds a sword at an angle across his lap. This page marked "40."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530040	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/83	83	84.jpg	/LSU_GCS/image/84.jpg
Walker, Charles J., Kentucky, Dragoons	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits in a chair facing left, his hands resting on his upper thighs. This page is missing its upper left corner and therefore is without a page number.	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530041	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/84	84	85.jpg	/LSU_GCS/image/85.jpg
Warner, Edward R., Montrose, Pa., Artillery	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform with all but the uppermost blouse button open, sits facing left in a chair. His right arm rests on top of the back of the chair, his left hand rests in his lap. This page marked "42."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530042	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/85	85	86.jpg	/LSU_GCS/image/86.jpg
Weeks, George H., Orono, Maine, Artillery	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing left in a chair next to a table with a knitted throw covering it. His dress uniform hat with cockade rests on the table. He wears a sash with tassels around his waist, his left arm holds a sword at an angle across his lap. This page marked "43."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530043	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/86	86	87.jpg	/LSU_GCS/image/87.jpg
Wildrick, Abram C., Blairstowne, N.J., Artillery	No	unknown	ca. 1857		United States Military Academy. Class of 1857--Portrait photographs	This is a 3/4 seated portrait. The subject, wearing a uniform, sits facing slightly left in a chair. His right arm rests on top of the back of the chair, his left hand rests in his lap. This page marked "44."	Photographs	Albumen prints;7.5" X 5.5" oval	jpg	640 x 480	This image has been digitally enhanced for viewability. The original is considerably darker and has less contrast.	George C. Strong Photograph Album	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	George C. Strong Photograph Album (Mss. 1453).	http://www.lib.lsu.edu/special/findaid/1453.pdf		Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	George C. Strong Photograph Album (Mss. 1453), Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, Louisiana, USA.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	14530044	See 'reference url' on the navigation bars.	http://louisdl.louislibraries.org/cdm4/index_LSU_GCS.php?CISOROOT=/LSU_GCS	Image		2005-10-25	2005-10-25	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/LSU_GCS/id/87	87	88.jpg	/LSU_GCS/image/88.jpg
